OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
8,Stanford,Win 9-8,18.85,Counts,0.029900000000000003,2023-02-19,Presidents Day Invite 2022,1,9,8,125,1,1985.87,1481.3,2110.87,1462.45,2110.87,63.115013000000005,California,1
9,California-San Diego,Loss 7-12,-2.05,Counts,0.0317,2023-02-19,Presidents Day Invite 2022,0,7,12,-520.51,-5,1958.09,1502.2,1437.58,1504.25,1437.58,45.57128599999999,California,2
17,Oregon,Loss 9-14,-10.58,Counts,0.0317,2023-02-20,Presidents Day Invite 2022,0,9,14,-473.87,-5,1650.51,1510.73,1176.6399999999999,1521.31,1176.6399999999999,37.299488,California,3
78,Southern California,Win 11-2,4.18,Counts,0.028999999999999998,2023-02-20,Presidents Day Invite 2022,1,11,2,600,9,1039.77,1495.97,1639.77,1491.79,1639.77,47.553329999999995,California,4
4,California-Santa Barbara,Loss 5-12,0,Ignored,0,2023-02-20,Presidents Day Invite 2022,0,5,12,-600,-7,2159.38,1500.15,1559.38,1500.15,0,0,California,5
60,Cal Poly-SLO,Win 9-5,5.73,Counts,0.027200000000000002,2023-02-21,Presidents Day Invite 2022,1,9,5,529.06,4,1176.39,1494.42,1705.45,1488.69,1705.45,46.38824,California,6
2,Colorado,Loss 2-13,0,Ignored,0,2023-02-21,Presidents Day Invite 2022,0,2,13,-600,-11,2239.23,1500.15,1639.23,1500.15,0,0,California,7
12,Brigham Young,Loss 8-13,-6.91,Counts,0.0355,2023-03-05,Stanford Invite 2022,0,8,13,-496.16,-5,1808.7,1507.06,1312.54,1513.97,1312.54,46.595169999999996,California,8
6,Washington,Loss 3-13,-1.16,Counts,0.0355,2023-03-05,Stanford Invite 2022,0,3,13,-600,-10,2068.65,1501.31,1468.65,1502.47,1468.65,52.137074999999996,California,9
18,UCLA,Loss 7-8,-0.21,Counts,0.0316,2023-03-05,Stanford Invite 2022,0,7,8,-125,-1,1618.64,1500.36,1493.64,1500.57,1493.64,47.19902400000001,California,10
7,Tufts,Loss 2-13,-3.35,Counts,0.0355,2023-03-05,Stanford Invite 2022,0,2,13,-600,-11,2009.18,1503.5,1409.18,1506.85,1409.18,50.02589,California,11
11,California-Davis,Loss 8-11,1.16,Counts,0.0355,2023-03-06,Stanford Invite 2022,0,8,11,-365.61,-3,1897.16,1498.99,1531.5500000000002,1497.83,1531.5500000000002,54.370025,California,12
16,Western Washington,Loss 8-9,2.62,Counts,0.0336,2023-03-06,Stanford Invite 2022,0,8,9,-125,-1,1700.37,1497.54,1575.37,1494.92,1575.37,52.93243199999999,California,13
40,Whitman,Win 10-6,11.34,Counts,0.0326,2023-03-06,Stanford Invite 2022,1,10,6,496.16,4,1340.5,1488.81,1836.66,1477.47,1836.66,59.875116,California,14
176,Chico State,Win 13-4,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,1,13,4,600,9,386.79,1500.15,986.79,1500.15,0,0,California,15
129,Nevada-Reno,Win 12-4,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,1,12,4,600,8,684.23,1500.15,1284.23,1500.15,0,0,California,16
8,Stanford,Loss 5-13,-6.05,Counts,0.050199999999999995,2023-04-16,NorCal D I College Womens CC 2022,0,5,13,-600,-8,1985.87,1506.2,1385.87,1512.25,1385.87,69.57067399999998,California,17
11,California-Davis,Loss 8-12,-2.34,Counts,0.050199999999999995,2023-04-17,NorCal D I College Womens CC 2022,0,8,12,-441.15,-4,1897.16,1502.49,1456.0100000000002,1504.83,1456.0100000000002,73.091702,California,18
57,Santa Clara,Win 12-7,12.45,Counts,0.050199999999999995,2023-04-17,NorCal D I College Womens CC 2022,1,12,7,520.51,5,1214.91,1487.7,1735.42,1475.25,1735.42,87.118084,California,19
11,California-Davis,Loss 5-8,-2.45,Counts,0.0416,2023-04-17,NorCal D I College Womens CC 2022,0,5,8,-453.6,-3,1897.16,1502.61,1443.56,1505.06,1443.56,60.05209599999999,California,20
8,Stanford,Loss 5-13,-7.26,Counts,0.059800000000000006,2023-05-07,Southwest D I College Womens Regionals 2022,0,5,13,-600,-8,1985.87,1507.41,1385.87,1514.67,1385.87,82.875026,California,21
112,California-San Diego-B,Win 13-6,-6.64,Counts,0.059800000000000006,2023-05-07,Southwest D I College Womens Regionals 2022,1,13,6,600,7,795.6,1506.8,1395.6,1513.44,1395.6,83.45688,California,22
57,Santa Clara,Win 13-6,20,Counts,0.059800000000000006,2023-05-07,Southwest D I College Womens Regionals 2022,1,13,6,600,7,1214.91,1480.15,1814.91,1460.15,1814.91,108.53161800000001,California,23
11,California-Davis,Loss 8-13,-6.3,Counts,0.059800000000000006,2023-05-07,Southwest D I College Womens Regionals 2022,0,8,13,-496.16,-5,1897.16,1506.45,1401,1512.75,1401,83.77980000000001,California,24
94,UCSC,Win 13-8,-3.21,Counts,0.059800000000000006,2023-05-08,Southwest D I College Womens Regionals 2022,1,13,8,496.16,5,953.42,1503.37,1449.58,1506.58,1449.58,86.68488400000001,California,25
18,UCLA,Loss 9-11,-8.31,Counts,0.059800000000000006,2023-05-08,Southwest D I College Womens Regionals 2022,0,9,11,-249.21,-2,1618.64,1508.46,1369.43,1516.77,1369.43,81.89191400000001,California,26
57,Santa Clara,Win 11-10,-10.18,Counts,0.059800000000000006,2023-05-08,Southwest D I College Womens Regionals 2022,1,11,10,125,1,1214.91,1510.33,1339.91,1520.51,1339.91,80.12661800000001,California,27
