OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
68,Kansas,Win 8-7,-4.98,Counts,0.0304,2023-03-05,Midwest Throwdown 2022,1,8,7,125,1,1122.06,1410.75,1247.06,1415.73,1247.06,37.910624,Colorado State,1
59,St. Olaf,Win 6-3,7.71,Counts,0.0236,2023-03-05,Midwest Throwdown 2022,1,6,3,546.69,3,NA,1398.06,NA,1390.35,NA,NA,Colorado State,2
62,Washington University,Win 8-6,2,Counts,0.0294,2023-03-05,Midwest Throwdown 2022,1,8,6,300.49,2,1171.36,1403.77,1471.85,1401.77,1471.85,43.272389999999994,Colorado State,3
68,Kansas,Win 13-2,11.21,Counts,0.0342,2023-03-06,Midwest Throwdown 2022,1,13,2,600,11,1122.06,1394.56,1722.06,1383.35,1722.06,58.894452,Colorado State,4
23,Carleton College-Eclipse,Loss 8-9,-0.37,Counts,0.032400000000000005,2023-03-06,Midwest Throwdown 2022,0,8,9,-125,-1,1519.75,1406.14,1394.75,1406.51,1394.75,45.18990000000001,Colorado State,5
150,Truman State,Win 13-0,0,Ignored,0,2023-03-06,Midwest Throwdown 2022,1,13,0,600,13,567.5,1405.77,1167.5,1405.77,0,0,Colorado State,6
62,Washington University,Loss 9-10,-12.74,Counts,0.0342,2023-03-06,Midwest Throwdown 2022,0,9,10,-125,-1,1171.36,1418.51,1046.36,1431.25,1046.36,35.785512,Colorado State,7
75,Iowa State,Loss 9-10,-20.18,Counts,0.0407,2023-03-26,Old Capital Open 2022,0,9,10,-125,-1,1055.14,1425.96,930.1400000000001,1446.14,930.1400000000001,37.856698,Colorado State,8
142,Luther,Loss 6-7,-31.06,Counts,0.0337,2023-03-26,Old Capital Open 2022,0,6,7,-125,-1,639.35,1436.84,514.35,1467.8999999999999,514.35,17.333595000000003,Colorado State,9
200,Wisconsin-B,Win 5-4,-30.64,Counts,0.027999999999999997,2023-03-26,Old Capital Open 2022,1,5,4,125,1,217.67,1436.42,342.66999999999996,1467.0600000000002,342.66999999999996,9.594759999999997,Colorado State,10
130,Nebraska,Win 13-1,0,Ignored,0,2023-03-27,Old Capital Open 2022,1,13,1,600,12,682.47,1405.77,1282.47,1405.77,0,0,Colorado State,11
