OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
89,Brandeis,Loss 7-8,1.2,Counts,0.0416,2023-03-05,Philly Special,0,7,8,-125,-1,993.33,839.51,868.33,838.31,868.33,36.122528,Connecticut,1
87,Lehigh,Win 9-8,12.93,Counts,0.0443,2023-03-05,Philly Special,1,9,8,125,1,994.47,827.78,1119.47,814.85,1119.47,49.592521,Connecticut,2
36,Yale,Loss 4-14,-3.26,Counts,0.046799999999999994,2023-03-05,Philly Special,0,4,14,-600,-10,1374.29,843.97,774.29,847.23,774.29,36.236771999999995,Connecticut,3
89,Brandeis,Win 8-7,12.06,Counts,0.0416,2023-03-06,Philly Special,1,8,7,125,1,993.33,828.65,1118.33,816.59,1118.33,46.522527999999994,Connecticut,4
188,Northeastern-B,Win 10-2,3.48,Counts,0.0409,2023-03-06,Philly Special,1,10,2,600,8,322.17,837.23,922.1700000000001,833.75,922.1700000000001,37.716753000000004,Connecticut,5
36,Yale,Loss 4-15,-3.26,Counts,0.046799999999999994,2023-03-06,Philly Special,0,4,15,-600,-11,1374.29,843.97,774.29,847.23,774.29,36.236771999999995,Connecticut,6
84,West Chester,Loss 5-11,-23.61,Counts,0.051100000000000007,2023-03-26,Garden State 2022,0,5,11,-600,-6,1002.51,864.32,402.51,887.9300000000001,402.51,20.568261000000003,Connecticut,7
147,Swarthmore,Win 10-5,17.07,Counts,0.0495,2023-03-26,Garden State 2022,1,10,5,573.9,5,594.68,823.63,1168.58,806.56,1168.58,57.84471,Connecticut,8
80,Mount Holyoke,Loss 5-7,-6.35,Counts,0.0443,2023-03-26,Garden State 2022,0,5,7,-328.14,-2,1031.85,847.05,703.7099999999999,853.4,703.7099999999999,31.174352999999996,Connecticut,9
236,College of New Jersey,Win 12-0,0,Ignored,0,2023-03-27,Garden State 2022,1,12,0,600,12,497.94,840.71,1097.94,840.71,0,0,Connecticut,10
49,Columbia,Loss 4-6,2.74,Counts,0.0404,2023-03-27,Garden State 2022,0,4,6,-365.61,-2,1271.44,837.96,905.83,835.22,905.83,36.595532,Connecticut,11
235,Temple -B,Win 7-2,0,Ignored,0,2023-03-27,Garden State 2022,1,7,2,600,5,351.94,840.71,951.94,840.71,0,0,Connecticut,12
202,Rutgers,Win 12-3,0,Ignored,0,2023-04-16,Eastern Metro East D I College Womens CC 2022,1,12,3,600,9,201.83,840.71,801.83,840.71,0,0,Connecticut,13
49,Columbia,Loss 3-13,-12.01,Counts,0.0663,2023-04-16,Eastern Metro East D I College Womens CC 2022,0,3,13,-600,-10,1271.44,852.72,671.44,864.73,671.44,44.516472,Connecticut,14
185,Princeton,Win 12-5,6.4,Counts,0.0636,2023-04-16,Eastern Metro East D I College Womens CC 2022,1,12,5,600,7,334.9,834.31,934.9,827.91,934.9,59.45964,Connecticut,15
151,NYU,Win 8-5,9.5,Counts,0.0548,2023-04-17,Eastern Metro East D I College Womens CC 2022,1,8,5,453.6,3,550.99,831.2,1004.59,821.7,1004.59,55.051532,Connecticut,16
49,Columbia,Loss 8-13,-5.26,Counts,0.07440000000000001,2023-04-30,Metro East D I College Womens Regionals 2022,0,8,13,-496.16,-5,1271.44,845.96,775.28,851.22,775.28,57.680832,Connecticut,17
151,NYU,Win 15-10,13.17,Counts,0.07440000000000001,2023-04-30,Metro East D I College Womens Regionals 2022,1,15,10,453.6,5,550.99,827.54,1004.59,814.37,1004.59,74.74149600000001,Connecticut,18
70,Cornell,Loss 7-11,-15.6,Counts,0.0724,2023-04-30,Metro East D I College Womens Regionals 2022,0,7,11,-466.89,-4,1107.62,856.31,640.7299999999999,871.91,640.7299999999999,46.388852,Connecticut,19
144,SUNY-Stony Brook,Win 11-10,-7.79,Counts,0.07440000000000001,2023-05-01,Metro East D I College Womens Regionals 2022,1,11,10,125,1,618.76,848.5,743.76,856.29,743.76,55.335744000000005,Connecticut,20
151,NYU,Win 10-8,-2.11,Counts,0.0724,2023-05-01,Metro East D I College Womens Regionals 2022,1,10,8,262.67,2,550.99,842.82,813.6600000000001,844.9300000000001,813.6600000000001,58.90898400000001,Connecticut,21
