OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
76,Amherst,Loss 4-12,0,Ignored,0,2023-03-26,New York Invite,0,4,12,-600,-8,1055.04,231.7,455.03999999999996,231.7,0,0,Cornell-B,1
140,Ithaca,Loss 4-8,-18.66,Counts,0.10640000000000001,2023-03-26,New York Invite,0,4,8,-564.81,-4,639.82,250.37,75.0100000000001,269.03000000000003,75.0100000000001,7.9810640000000115,Cornell-B,2
90,New Hampshire,Loss 4-11,0,Ignored,0,2023-03-26,New York Invite,0,4,11,-600,-7,987.85,231.7,387.85,231.7,0,0,Cornell-B,3
140,Ithaca,Loss 3-13,-29.67,Counts,0.13390000000000002,2023-03-27,New York Invite,0,3,13,-600,-10,639.82,261.37,39.82000000000005,291.04,39.82000000000005,5.331898000000008,Cornell-B,4
103,George Mason,Loss 4-11,0,Ignored,0,2023-04-02,Atlantic Coast Open,0,4,11,-600,-7,892.56,231.7,292.55999999999995,231.7,0,0,Cornell-B,5
128,George Washington,Loss 7-8,49.34,Counts,0.1261,2023-04-02,Atlantic Coast Open,0,7,8,-125,-1,698.73,182.37,573.73,133.03,573.73,72.347353,Cornell-B,6
70,Cornell,Loss 1-15,0,Ignored,0,2023-04-02,Atlantic Coast Open,0,1,15,-600,-14,1107.62,231.7,507.6199999999999,231.7,0,0,Cornell-B,7
107,Mary Washington,Loss 3-13,0,Ignored,0,2023-04-02,Atlantic Coast Open,0,3,13,-600,-10,843.9,231.7,243.89999999999998,231.7,0,0,Cornell-B,8
164,Richmond,Win 5-4,39.08,Counts,0.09759999999999999,2023-04-03,Atlantic Coast Open,1,5,4,125,1,467.86,192.62,592.86,153.54000000000002,592.86,57.863136,Cornell-B,9
164,Richmond,Loss 4-6,-14.85,Counts,0.10289999999999999,2023-04-03,Atlantic Coast Open,0,4,6,-365.61,-2,467.86,246.56,102.25,261.41,102.25,10.521524999999999,Cornell-B,10
221,Boston University-B,Win 11-6,61.96,Counts,0.1506,2023-04-16,New England Dev College Womens CC 2022,1,11,6,546.69,5,34.38,169.74,581.07,107.78,581.07,87.50914200000001,Cornell-B,11
205,Brown-B,Loss 6-11,-107.77,Counts,0.1506,2023-04-16,New England Dev College Womens CC 2022,0,6,11,-546.69,-5,170.76,339.47,-375.93000000000006,447.24,-375.93000000000006,-56.61505800000001,Cornell-B,12
163,Tufts-B,Loss 6-7,18.68,Counts,0.1317,2023-04-16,New England Dev College Womens CC 2022,0,6,7,-125,-1,479.82,213.02,354.82,194.34,354.82,46.729794000000005,Cornell-B,13
