OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
26,Brown,Loss 5-13,-14.78,Counts,0.067,2023-03-19,Jersey Devil,0,5,13,-600,-8,1501.72,1122.41,901.72,1137.19,901.72,60.415240000000004,Cornell,1
28,Williams,Loss 5-13,-15.59,Counts,0.067,2023-03-19,Jersey Devil,0,5,13,-600,-8,1490.38,1123.22,890.3800000000001,1138.81,890.3800000000001,59.65546000000001,Cornell,2
36,Yale,Win 10-6,49.95,Counts,0.061500000000000006,2023-03-19,Jersey Devil,1,10,6,496.16,4,1374.29,1057.67,1870.45,1007.72,1870.45,115.03267500000001,Cornell,3
65,Haverford,Win 10-6,34.53,Counts,0.061500000000000006,2023-03-20,Jersey Devil,1,10,6,496.16,4,1138.76,1073.1,1634.92,1038.57,1634.92,100.54758000000001,Cornell,4
103,George Mason,Win 10-5,25.68,Counts,0.0668,2023-04-02,Atlantic Coast Open,1,10,5,573.9,5,892.56,1081.94,1466.46,1056.26,1466.46,97.959528,Cornell,5
164,Richmond,Win 14-2,0,Ignored,0,2023-04-02,Atlantic Coast Open,1,14,2,600,12,467.86,1107.62,1067.8600000000001,1107.62,0,0,Cornell,6
107,Mary Washington,Loss 7-10,-50.02,Counts,0.0711,2023-04-02,Atlantic Coast Open,0,7,10,-389.67,-3,843.9,1157.64,454.22999999999996,1207.66,454.22999999999996,32.295753,Cornell,7
196,Cornell-B,Win 15-1,0,Ignored,0,2023-04-02,Atlantic Coast Open,1,15,1,600,14,231.7,1107.62,831.7,1107.62,0,0,Cornell,8
128,George Washington,Win 12-4,14.86,Counts,0.0721,2023-04-03,Atlantic Coast Open,1,12,4,600,8,698.73,1092.77,1298.73,1077.91,1298.73,93.63843299999999,Cornell,9
107,Mary Washington,Win 9-4,22.3,Counts,0.0622,2023-04-03,Atlantic Coast Open,1,9,4,600,5,843.9,1085.33,1443.9,1063.03,1443.9,89.81058,Cornell,10
NA,Syracuse,Win 5-4,-20.77,Counts,0.0548,2023-04-10,Western NY D I College Womens CC 2022,1,5,4,125,1,624.51,1128.39,749.51,1149.16,749.51,41.073148,Cornell,11
NA,RIT,Win 11-1,0,Ignored,0,2023-04-10,Western NY D I College Womens CC 2022,1,11,1,600,10,205.94,1107.62,805.94,1107.62,0,0,Cornell,12
31,SUNY-Binghamton,Loss 3-7,-15.69,Counts,0.057800000000000004,2023-04-10,Western NY D I College Womens CC 2022,0,3,7,-600,-4,1451.86,1123.31,851.8599999999999,1139,851.8599999999999,49.237508,Cornell,13
108,Connecticut,Win 11-7,20.31,Counts,0.0922,2023-04-30,Metro East D I College Womens Regionals 2022,1,11,7,466.89,4,840.71,1087.32,1307.6,1067.01,1307.6,120.56072,Cornell,14
144,SUNY-Stony Brook,Win 10-7,-9.76,Counts,0.08960000000000001,2023-04-30,Metro East D I College Womens Regionals 2022,1,10,7,389.67,3,618.76,1117.39,1008.4300000000001,1127.15,1008.4300000000001,90.35532800000001,Cornell,15
31,SUNY-Binghamton,Loss 6-10,-14.46,Counts,0.08689999999999999,2023-04-30,Metro East D I College Womens Regionals 2022,0,6,10,-496.16,-4,1451.86,1122.09,955.6999999999998,1136.55,955.6999999999998,83.05032999999997,Cornell,16
36,Yale,Loss 6-11,-27.56,Counts,0.08960000000000001,2023-05-01,Metro East D I College Womens Regionals 2022,0,6,11,-546.69,-5,1374.29,1135.18,827.5999999999999,1162.74,827.5999999999999,74.15296000000001,Cornell,17
