OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
115,Georgetown,Win 8-2,9.18,Counts,0.0387,2023-02-19,Commonwealth Cup Weekend 1,1,8,2,600,6,775.98,1138.8,1375.98,1129.62,1375.98,53.250426,Duke,1
56,Liberty,Loss 1-10,-23.97,Counts,0.0435,2023-02-19,Commonwealth Cup Weekend 1,0,1,10,-600,-9,1220.56,1171.96,620.56,1195.93,620.56,26.994359999999997,Duke,2
67,Virginia Tech,Loss 4-5,-5.23,Counts,0.034300000000000004,2023-02-19,Commonwealth Cup Weekend 1,0,4,5,-125,-1,1125.52,1153.22,1000.52,1158.45,1000.52,34.31783600000001,Duke,3
119,Catholic,Win 9-5,6.33,Counts,0.042699999999999995,2023-02-20,Commonwealth Cup Weekend 1,1,9,5,529.06,4,760.72,1141.66,1289.78,1135.3300000000002,1289.78,55.07360599999999,Duke,4
107,Mary Washington,Loss 4-8,-35.78,Counts,0.0395,2023-02-20,Commonwealth Cup Weekend 1,0,4,8,-564.81,-4,843.9,1183.77,279.09000000000003,1219.55,279.09000000000003,11.024055,Duke,5
164,Richmond,Win 8-6,-16.94,Counts,0.042699999999999995,2023-02-20,Commonwealth Cup Weekend 1,1,8,6,300.49,2,467.86,1164.93,768.35,1181.8700000000001,768.35,32.808544999999995,Duke,6
59,St. Olaf,Win 8-6,20.03,Counts,0.057,2023-03-26,Rodeo,1,8,6,300.49,2,NA,1127.96,NA,1107.93,NA,NA,Duke,7
115,Georgetown,Win 11-1,14.8,Counts,0.061,2023-03-26,Rodeo,1,11,1,600,10,775.98,1133.19,1375.98,1118.39,1375.98,83.93478,Duke,8
99,Vermont-B,Win 13-2,25.71,Counts,0.0664,2023-03-26,Rodeo,1,13,2,600,11,909.32,1122.28,1509.3200000000002,1096.57,1509.3200000000002,100.21884800000001,Duke,9
189,Virginia-B,Win 12-2,0,Ignored,0,2023-03-26,Rodeo,1,12,2,600,10,320.06,1147.99,920.06,1147.99,0,0,Duke,10
88,South Carolina,Loss 5-8,-35.32,Counts,0.054900000000000004,2023-03-27,Rodeo,0,5,8,-453.6,-3,994.19,1183.3,540.59,1218.62,540.59,29.678391000000005,Duke,11
24,Ohio,Loss 3-13,-17.26,Counts,0.0664,2023-03-27,Rodeo,0,3,13,-600,-10,1505.49,1165.24,905.49,1182.5,905.49,60.124536,Duke,12
56,Liberty,Win 5-4,9.47,Counts,0.045700000000000005,2023-03-27,Rodeo,1,5,4,125,1,1220.56,1138.52,1345.56,1129.05,1345.56,61.49209200000001,Duke,13
25,Appalachian State,Loss 8-11,-0.86,Counts,0.0837,2023-04-23,Carolina D I College Womens CC 2022,0,8,11,-365.61,-3,1504.18,1148.85,1138.5700000000002,1149.7099999999998,1138.5700000000002,95.298309,Duke,14
69,Charleston,Loss 8-9,-14.05,Counts,0.07919999999999999,2023-04-23,Carolina D I College Womens CC 2022,0,8,9,-125,-1,1109.51,1162.04,984.51,1176.09,984.51,77.973192,Duke,15
193,Wake Forest,Win 13-2,0,Ignored,0,2023-04-23,Carolina D I College Womens CC 2022,1,13,2,600,11,282,1147.99,882,1147.99,0,0,Duke,16
149,North Carolina-Wilmington,Win 13-5,3.7,Counts,0.0837,2023-04-23,Carolina D I College Womens CC 2022,1,13,5,600,8,588.46,1144.29,1188.46,1140.59,1188.46,99.474102,Duke,17
88,South Carolina,Win 13-5,40.76,Counts,0.0837,2023-04-24,Carolina D I College Womens CC 2022,1,13,5,600,8,994.19,1107.23,1594.19,1066.47,1594.19,133.433703,Duke,18
109,Clemson,Win 11-3,22.03,Counts,0.0768,2023-04-24,Carolina D I College Womens CC 2022,1,11,3,600,8,812.78,1125.96,1412.78,1103.93,1412.78,108.50150399999998,Duke,19
