OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
195,South Florida,Win 11-2,0,Ignored,0,2023-01-15,Florida Winter Classic 2022,1,11,2,600,9,243.9,1708.29,843.9,1708.29,0,0,Florida State (SLUT),1
47,Florida,Win 10-8,-3.38,Counts,0.021099999999999997,2023-01-15,Florida Winter Classic 2022,1,10,8,262.67,2,1288.97,1711.66,1551.64,1715.0400000000002,1551.64,32.739604,Florida State (SLUT),2
183,Florida-B,Win 13-0,0,Ignored,0,2023-01-15,Florida Winter Classic 2022,1,13,0,600,13,342.29,1708.29,942.29,1708.29,0,0,Florida State (SLUT),3
194,Florida Tech,Win 7-0,0,Ignored,0,2023-01-15,Florida Winter Classic 2022,1,7,0,600,7,251.26,1708.29,851.26,1708.29,0,0,Florida State (SLUT),4
148,Alabama-Huntsville,Win 13-3,0,Ignored,0,2023-02-26,TOTS,1,13,3,600,10,588.93,1708.29,1188.9299999999998,1708.29,0,0,Florida State (SLUT),5
237,Emory-B,Win 13-0,0,Ignored,0,2023-02-26,TOTS,1,13,0,600,13,634.24,1708.29,1234.24,1708.29,0,0,Florida State (SLUT),6
110,Tennessee-Chattanooga,Win 10-6,-11.69,Counts,0.0281,2023-02-26,TOTS,1,10,6,496.16,4,808.59,1719.97,1304.75,1731.66,1304.75,36.663475,Florida State (SLUT),7
223,Purdue-B,Win 14-1,0,Ignored,0,2023-02-26,TOTS,1,14,1,600,13,8.23,1708.29,608.23,1708.29,0,0,Florida State (SLUT),8
148,Alabama-Huntsville,Win 15-7,-16.44,Counts,0.030699999999999998,2023-02-27,TOTS,1,15,7,600,8,588.93,1724.72,1188.9299999999998,1741.16,1188.9299999999998,36.500150999999995,Florida State (SLUT),9
53,Central Florida,Win 15-2,3.84,Counts,0.030699999999999998,2023-02-27,TOTS,1,15,2,600,13,1229.71,1704.44,1829.71,1700.6000000000001,1829.71,56.172097,Florida State (SLUT),10
45,Tennessee,Win 15-6,6.14,Counts,0.030699999999999998,2023-02-27,TOTS,1,15,6,600,9,1302.41,1702.14,1902.41,1696,1902.41,58.403987,Florida State (SLUT),11
195,South Florida,Win 11-0,0,Ignored,0,2023-03-12,Tally Classic XVI,1,11,0,600,11,243.9,1708.29,843.9,1708.29,0,0,Florida State (SLUT),12
194,Florida Tech,Win 8-2,0,Ignored,0,2023-03-12,Tally Classic XVI,1,8,2,600,6,251.26,1708.29,851.26,1708.29,0,0,Florida State (SLUT),13
154,Harvard,Win 7-5,-23.7,Counts,0.0274,2023-03-12,Tally Classic XVI,1,7,5,328.14,2,537.68,1731.99,865.8199999999999,1755.69,865.8199999999999,23.723468,Florida State (SLUT),14
73,Notre Dame,Win 11-3,0,Ignored,0,2023-03-12,Tally Classic XVI,1,11,3,600,8,1070.39,1708.29,1670.39,1708.29,0,0,Florida State (SLUT),15
88,South Carolina,Win 14-6,0,Ignored,0,2023-03-13,Tally Classic XVI,1,14,6,600,8,994.19,1708.29,1594.19,1708.29,0,0,Florida State (SLUT),16
123,Tulane,Win 15-1,0,Ignored,0,2023-03-13,Tally Classic XVI,1,15,1,600,14,726.7,1708.29,1326.7,1708.29,0,0,Florida State (SLUT),17
73,Notre Dame,Win 14-8,-3.63,Counts,0.0344,2023-03-13,Tally Classic XVI,1,14,8,536.03,6,1070.39,1711.92,1606.42,1715.5500000000002,1606.42,55.260848,Florida State (SLUT),18
78,Southern California,Win 15-3,0,Ignored,0,2023-03-19,Womens Centex,1,15,3,600,12,1039.77,1708.29,1639.77,1708.29,0,0,Florida State (SLUT),19
62,Washington University,Win 15-6,2.39,Counts,0.0365,2023-03-19,Womens Centex,1,15,6,600,9,1171.36,1705.9,1771.36,1703.51,1771.36,64.65463999999999,Florida State (SLUT),20
21,Northeastern,Win 12-6,15.43,Counts,0.0355,2023-03-19,Womens Centex,1,12,6,579.31,6,1548.06,1692.86,2127.37,1677.4299999999998,2127.37,75.52163499999999,Florida State (SLUT),21
34,Michigan,Win 12-5,10.85,Counts,0.035,2023-03-20,Womens Centex,1,12,5,600,7,1407.34,1697.44,2007.34,1686.5900000000001,2007.34,70.2569,Florida State (SLUT),22
7,Tufts,Win 11-10,16.12,Counts,0.0365,2023-03-20,Womens Centex,1,11,10,125,1,2009.18,1692.16,2134.1800000000003,1676.0400000000002,2134.1800000000003,77.89757,Florida State (SLUT),23
13,Pittsburgh,Win 11-10,5.15,Counts,0.0365,2023-03-20,Womens Centex,1,11,10,125,1,1719.32,1703.14,1844.32,1697.99,1844.32,67.31768,Florida State (SLUT),24
183,Florida-B,Win 13-0,0,Ignored,0,2023-04-09,Florida D I College Womens CC 2022,1,13,0,600,13,342.29,1708.29,942.29,1708.29,0,0,Florida State (SLUT),25
198,Miami,Win 13-0,0,Ignored,0,2023-04-09,Florida D I College Womens CC 2022,1,13,0,600,13,229.78,1708.29,829.78,1708.29,0,0,Florida State (SLUT),26
53,Central Florida,Win 13-6,5.51,Counts,0.0434,2023-04-10,Florida D I College Womens CC 2022,1,13,6,600,7,1229.71,1702.78,1829.71,1697.27,1829.71,79.409414,Florida State (SLUT),27
47,Florida,Win 11-7,2.1,Counts,0.042199999999999994,2023-04-10,Florida D I College Womens CC 2022,1,11,7,466.89,4,1288.97,1706.19,1755.8600000000001,1704.0900000000001,1755.8600000000001,74.097292,Florida State (SLUT),28
86,Alabama,Win 13-6,-6.02,Counts,0.0516,2023-04-30,Southeast D I College Womens Regionals 2022,1,13,6,600,7,997.55,1714.31,1597.55,1720.33,1597.55,82.43357999999999,Florida State (SLUT),29
47,Florida,Win 13-5,9.83,Counts,0.0516,2023-04-30,Southeast D I College Womens Regionals 2022,1,13,5,600,8,1288.97,1698.46,1888.97,1688.63,1888.97,97.47085200000001,Florida State (SLUT),30
15,Georgia,Loss 6-13,-32.69,Counts,0.0516,2023-05-01,Southeast D I College Womens Regionals 2022,0,6,13,-600,-7,1707.34,1740.97,1107.34,1773.66,1107.34,57.138743999999996,Florida State (SLUT),31
30,Georgia Tech,Win 13-5,19.07,Counts,0.0516,2023-05-01,Southeast D I College Womens Regionals 2022,1,13,5,600,8,1458.95,1689.21,2058.95,1670.14,2058.95,106.24181999999999,Florida State (SLUT),32
8,Stanford,Loss 12-15,-1.59,Counts,0.065,2023-05-27,2022 D I College Championships,0,12,15,-300.49,-3,1985.87,1709.88,1685.3799999999999,1711.47,1685.3799999999999,109.5497,Florida State (SLUT),33
15,Georgia,Win 12-11,8.62,Counts,0.065,2023-05-27,2022 D I College Championships,1,12,11,125,1,1707.34,1699.66,1832.34,1691.0400000000002,1832.34,119.1021,Florida State (SLUT),34
1,North Carolina,Loss 8-15,4.89,Counts,0.065,2023-05-28,2022 D I College Championships,0,8,15,-564.81,-7,2343.45,1703.39,1778.6399999999999,1698.5,1778.6399999999999,115.6116,Florida State (SLUT),35
21,Northeastern,Win 11-9,6.19,Counts,0.065,2023-05-28,2022 D I College Championships,1,11,9,249.21,2,1548.06,1702.1,1797.27,1695.9099999999999,1797.27,116.82255,Florida State (SLUT),36
6,Washington,Loss 1-15,-16.66,Counts,0.065,2023-05-28,2022 D I College Championships,0,1,15,-600,-14,2068.65,1724.94,1468.65,1741.6000000000001,1468.65,95.46225000000001,Florida State (SLUT),37
