OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
195,South Florida,Loss 5-6,-14.66,Counts,0.09970000000000001,2023-01-15,Florida Winter Classic 2022,0,5,6,-125,-1,243.9,265.91,118.9,280.57000000000005,118.9,11.854330000000003,Florida Tech,1
47,Florida,Loss 1-13,0,Ignored,0,2023-01-15,Florida Winter Classic 2022,0,1,13,-600,-12,1288.97,251.26,688.97,251.26,0,0,Florida Tech,2
14,Florida State,Loss 0-7,0,Ignored,0,2023-01-15,Florida Winter Classic 2022,0,0,7,-600,-7,1708.29,251.26,1108.29,251.26,0,0,Florida Tech,3
183,Florida-B,Win 6-5,23.92,Counts,0.09970000000000001,2023-01-15,Florida Winter Classic 2022,1,6,5,125,1,342.29,227.33,467.29,203.41000000000003,467.29,46.58881300000001,Florida Tech,4
195,South Florida,Loss 5-6,-24.89,Counts,0.1583,2023-03-12,Tally Classic XVI,0,5,6,-125,-1,243.9,276.14,118.9,301.03,118.9,18.82187,Florida Tech,5
14,Florida State,Loss 2-8,0,Ignored,0,2023-03-12,Tally Classic XVI,0,2,8,-600,-6,1708.29,251.26,1108.29,251.26,0,0,Florida Tech,6
73,Notre Dame,Loss 3-6,45.52,Counts,0.1432,2023-03-12,Tally Classic XVI,0,3,6,-546.69,-3,1070.39,205.74,523.7,160.22,523.7,74.99384,Florida Tech,7
154,Harvard,Loss 2-8,-60.54,Counts,0.1618,2023-03-12,Tally Classic XVI,0,2,8,-600,-6,537.68,311.8,-62.32000000000005,372.34000000000003,-62.32000000000005,-10.083376000000008,Florida Tech,8
127,Jacksonville State,Loss 5-8,0,Counts,0.1721,2023-03-13,Tally Classic XVI,0,5,8,-453.6,-3,704.84,251.26,251.24,251.26,251.24,43.238404,Florida Tech,9
47,Florida,Loss 3-11,0,Ignored,0,2023-03-13,Tally Classic XVI,0,3,11,-600,-8,1288.97,251.26,688.97,251.26,0,0,Florida Tech,10
123,Tulane,Loss 5-7,29.17,Counts,0.1653,2023-03-13,Tally Classic XVI,0,5,7,-328.14,-2,726.7,222.08,398.56000000000006,192.91000000000003,398.56000000000006,65.88196800000001,Florida Tech,11
