OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
195,South Florida,Win 12-2,0,Ignored,0,2023-01-15,Florida Winter Classic 2022,1,12,2,600,10,243.9,1288.97,843.9,1288.97,0,0,Florida,1
194,Florida Tech,Win 13-1,0,Ignored,0,2023-01-15,Florida Winter Classic 2022,1,13,1,600,12,251.26,1288.97,851.26,1288.97,0,0,Florida,2
14,Florida State,Loss 8-10,6.46,Counts,0.039599999999999996,2023-01-15,Florida Winter Classic 2022,0,8,10,-262.67,-2,1708.29,1282.51,1445.62,1276.05,1445.62,57.24655199999999,Florida,3
100,Case Western Reserve,Win 10-7,0.33,Counts,0.048499999999999995,2023-02-12,Queen City Tune Up 2022,1,10,7,389.67,3,905.86,1288.64,1295.53,1288.3100000000002,1295.53,62.83320499999999,Florida,4
7,Tufts,Loss 0-13,0,Ignored,0,2023-02-12,Queen City Tune Up 2022,0,0,13,-600,-13,2009.18,1288.97,1409.18,1288.97,0,0,Florida,5
20,Virginia,Loss 2-8,-12.44,Counts,0.039900000000000005,2023-02-12,Queen City Tune Up 2022,0,2,8,-600,-6,1589.46,1301.41,989.46,1313.8500000000001,989.46,39.479454000000004,Florida,6
24,Ohio,Win 11-4,40.29,Counts,0.047,2023-02-13,Queen City Tune Up 2022,1,11,4,600,7,1505.49,1248.68,2105.49,1208.39,2105.49,98.95803,Florida,7
13,Pittsburgh,Loss 7-9,7.45,Counts,0.047,2023-02-13,Queen City Tune Up 2022,0,7,9,-279.34,-2,1719.32,1281.52,1439.98,1274.07,1439.98,67.67906,Florida,8
34,Michigan,Loss 7-8,-0.32,Counts,0.0455,2023-02-13,Queen City Tune Up 2022,0,7,8,-125,-1,1407.34,1289.29,1282.34,1289.61,1282.34,58.34647,Florida,9
42,North Carolina State,Loss 5-8,-18.26,Counts,0.0424,2023-02-13,Queen City Tune Up 2022,0,5,8,-453.6,-3,1329.97,1307.24,876.37,1325.5,876.37,37.158088,Florida,10
127,Jacksonville State,Win 10-7,-12.65,Counts,0.0611,2023-03-12,Tally Classic XVI,1,10,7,389.67,3,704.84,1301.62,1094.51,1314.27,1094.51,66.874561,Florida,11
88,South Carolina,Win 12-4,20.16,Counts,0.062,2023-03-12,Tally Classic XVI,1,12,4,600,8,994.19,1268.81,1594.19,1248.6499999999999,1594.19,98.83978,Florida,12
213,Notre Dame-B,Win 9-1,0,Ignored,0,2023-03-12,Tally Classic XVI,1,9,1,600,8,81.16,1288.97,681.16,1288.97,0,0,Florida,13
123,Tulane,Win 5-4,-20.33,Counts,0.0444,2023-03-12,Tally Classic XVI,1,5,4,125,1,726.7,1309.31,851.7,1329.6399999999999,851.7,37.81548,Florida,14
88,South Carolina,Win 6-4,3.48,Counts,0.046799999999999994,2023-03-13,Tally Classic XVI,1,6,4,365.61,2,994.19,1285.49,1359.8000000000002,1282.01,1359.8000000000002,63.63864,Florida,15
194,Florida Tech,Win 11-3,0,Ignored,0,2023-03-13,Tally Classic XVI,1,11,3,600,8,251.26,1288.97,851.26,1288.97,0,0,Florida,16
73,Notre Dame,Loss 6-8,-30.46,Counts,0.0554,2023-03-13,Tally Classic XVI,0,6,8,-300.49,-2,1070.39,1319.43,769.9000000000001,1349.89,769.9000000000001,42.652460000000005,Florida,17
195,South Florida,Win 13-4,0,Ignored,0,2023-04-09,Florida D I College Womens CC 2022,1,13,4,600,9,243.9,1288.97,843.9,1288.97,0,0,Florida,18
53,Central Florida,Win 7-5,18.58,Counts,0.0646,2023-04-09,Florida D I College Womens CC 2022,1,7,5,328.14,2,1229.71,1270.39,1557.85,1251.8100000000002,1557.85,100.63711,Florida,19
183,Florida-B,Win 14-3,0,Ignored,0,2023-04-10,Florida D I College Womens CC 2022,1,14,3,600,11,342.29,1288.97,942.29,1288.97,0,0,Florida,20
14,Florida State,Loss 7-11,-4.09,Counts,0.07919999999999999,2023-04-10,Florida D I College Womens CC 2022,0,7,11,-466.89,-4,1708.29,1293.06,1241.4,1297.1499999999999,1241.4,98.31888,Florida,21
139,Auburn,Win 12-5,0,Ignored,0,2023-04-30,Southeast D I College Womens Regionals 2022,1,12,5,600,7,640.3,1288.97,1240.3,1288.97,0,0,Florida,22
45,Tennessee,Win 13-8,54.58,Counts,0.0967,2023-04-30,Southeast D I College Womens Regionals 2022,1,13,8,496.16,5,1302.41,1234.39,1798.5700000000002,1179.8100000000002,1798.5700000000002,173.921719,Florida,23
14,Florida State,Loss 5-13,-19.35,Counts,0.0967,2023-04-30,Southeast D I College Womens Regionals 2022,0,5,13,-600,-8,1708.29,1308.32,1108.29,1327.6699999999998,1108.29,107.17164299999999,Florida,24
53,Central Florida,Loss 6-8,-32.58,Counts,0.083,2023-05-01,Southeast D I College Womens Regionals 2022,0,6,8,-300.49,-2,1229.71,1321.55,929.22,1354.1299999999999,929.22,77.12526000000001,Florida,25
