OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
137,East Carolina,Win 8-5,13,Counts,0.0316,2023-02-26,Cutlass Classic 2022,1,8,5,453.6,3,643.02,685.73,1096.62,672.73,1096.62,34.653192,George Washington,1
56,Liberty,Loss 5-15,-3.11,Counts,0.0382,2023-02-26,Cutlass Classic 2022,0,5,15,-600,-10,1220.56,701.83,620.56,704.94,620.56,23.705391999999996,George Washington,2
193,Wake Forest,Win 12-5,6.98,Counts,0.036699999999999997,2023-02-26,Cutlass Classic 2022,1,12,5,600,7,282,691.74,882,684.76,882,32.3694,George Washington,3
138,Navy,Loss 8-9,-6.88,Counts,0.0362,2023-02-26,Cutlass Classic 2022,0,8,9,-125,-1,640.35,705.61,515.35,712.49,515.35,18.65567,George Washington,4
69,Charleston,Loss 2-12,-7.21,Counts,0.036699999999999997,2023-02-27,Cutlass Classic 2022,0,2,12,-600,-10,1109.51,705.93,509.51,713.14,509.51,18.699016999999998,George Washington,5
103,George Mason,Loss 4-12,-20.93,Counts,0.049,2023-04-02,Atlantic Coast Open,0,4,12,-600,-8,892.56,719.65,292.55999999999995,740.5799999999999,292.55999999999995,14.335439999999998,George Washington,6
196,Cornell-B,Win 8-7,-16.25,Counts,0.0454,2023-04-02,Atlantic Coast Open,1,8,7,125,1,231.7,714.98,356.7,731.23,356.7,16.19418,George Washington,7
164,Richmond,Win 11-5,18.14,Counts,0.046799999999999994,2023-04-02,Atlantic Coast Open,1,11,5,600,6,467.86,680.58,1067.8600000000001,662.44,1067.8600000000001,49.975848,George Washington,8
107,Mary Washington,Loss 2-15,-24.47,Counts,0.051100000000000007,2023-04-02,Atlantic Coast Open,0,2,15,-600,-13,843.9,723.19,243.89999999999998,747.6600000000001,243.89999999999998,12.46329,George Washington,9
103,George Mason,Win 9-7,23.26,Counts,0.046799999999999994,2023-04-03,Atlantic Coast Open,1,9,7,279.34,2,892.56,675.47,1171.8999999999999,652.21,1171.8999999999999,54.84491999999999,George Washington,10
70,Cornell,Loss 4-12,-9.85,Counts,0.049,2023-04-03,Atlantic Coast Open,0,4,12,-600,-8,1107.62,708.57,507.6199999999999,718.4200000000001,507.6199999999999,24.873379999999997,George Washington,11
158,American,Loss 7-8,-16.09,Counts,0.0481,2023-04-09,Colonial D I College Womens CC 2022,0,7,8,-125,-1,504.99,714.82,379.99,730.9100000000001,379.99,18.277518999999998,George Washington,12
NA,Johns Hopkins,Win 9-7,-5.13,Counts,0.0496,2023-04-09,Colonial D I College Womens CC 2022,1,9,7,279.34,2,321.15,703.86,600.49,708.99,600.49,29.784304,George Washington,13
159,Towson,Win 12-4,22.2,Counts,0.0519,2023-04-09,Colonial D I College Womens CC 2022,1,12,4,600,8,504.17,676.53,1104.17,654.3299999999999,1104.17,57.306423,George Washington,14
171,Maryland,Win 8-2,13.96,Counts,0.0421,2023-04-10,Colonial D I College Womens CC 2022,1,8,2,600,6,416.54,684.76,1016.54,670.8,1016.54,42.796333999999995,George Washington,15
1,North Carolina,Loss 0-13,0,Ignored,0,2023-05-07,Atlantic Coast D I College Womens Regionals 2022,0,0,13,-600,-13,2343.45,698.73,1743.4499999999998,698.73,0,0,George Washington,16
117,Virginia Commonwealth,Win 13-3,48.98,Counts,0.0681,2023-05-07,Atlantic Coast D I College Womens Regionals 2022,1,13,3,600,10,768.41,649.75,1368.4099999999999,600.77,1368.4099999999999,93.18872099999999,George Washington,17
115,Georgetown,Loss 4-13,-38.23,Counts,0.0681,2023-05-07,Atlantic Coast D I College Womens Regionals 2022,0,4,13,-600,-9,775.98,736.95,175.98000000000002,775.1800000000001,175.98000000000002,11.984238,George Washington,18
88,South Carolina,Loss 6-15,-22.27,Counts,0.0681,2023-05-08,Atlantic Coast D I College Womens Regionals 2022,0,6,15,-600,-9,994.19,721,394.19000000000005,743.27,394.19000000000005,26.844339,George Washington,19
159,Towson,Win 13-1,29.65,Counts,0.0681,2023-05-08,Atlantic Coast D I College Womens Regionals 2022,1,13,1,600,12,504.17,669.07,1104.17,639.4200000000001,1104.17,75.193977,George Washington,20
56,Liberty,Loss 5-15,-5.72,Counts,0.0681,2023-05-08,Atlantic Coast D I College Womens Regionals 2022,0,5,15,-600,-10,1220.56,704.44,620.56,710.1600000000001,620.56,42.260135999999996,George Washington,21
