OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
134,Arizona State,Loss 2-10,-23.46,Counts,0.059000000000000004,2023-02-12,Antifreeze 2022,0,2,10,-600,-8,647.05,444.8,47.049999999999955,468.26,47.049999999999955,2.7759499999999977,Houston,1
132,Trinity,Loss 4-9,-21.44,Counts,0.0559,2023-02-12,Antifreeze 2022,0,4,9,-600,-5,658.98,442.77,58.98000000000002,464.21,58.98000000000002,3.2969820000000007,Houston,2
208,Texas-B,Win 6-3,12.22,Counts,0.04650000000000001,2023-02-12,Antifreeze 2022,1,6,3,546.69,3,125.3,409.12,671.99,396.9,671.99,31.247535000000006,Houston,3
219,Texas-San Antonio,Win 7-5,-2.87,Counts,0.0537,2023-02-12,Antifreeze 2022,1,7,5,328.14,2,42.6,424.2,370.74,427.07,370.74,19.908738,Houston,4
98,Rice,Loss 4-10,-5.77,Counts,0.059000000000000004,2023-02-13,Antifreeze 2022,0,4,10,-600,-6,929.32,427.1,329.32000000000005,432.87,329.32000000000005,19.429880000000004,Houston,5
123,Tulane,Loss 3-12,-20.42,Counts,0.06480000000000001,2023-02-13,Antifreeze 2022,0,3,12,-600,-9,726.7,441.75,126.70000000000005,462.17,126.70000000000005,8.210160000000004,Houston,6
85,Texas-Dallas,Loss 2-11,-2.21,Counts,0.1042,2023-04-16,Texas D I College Womens CC 2022,0,2,11,-600,-9,1002.36,423.54,402.36,425.75,402.36,41.925912000000004,Houston,7
82,Texas A&M,Loss 2-9,-1.29,Counts,0.09390000000000001,2023-04-16,Texas D I College Womens CC 2022,0,2,9,-600,-7,1008.88,422.63,408.88,423.92,408.88,38.393832,Houston,8
126,Sam Houston State,Win 6-4,58.67,Counts,0.0824,2023-04-16,Texas D I College Womens CC 2022,1,6,4,365.61,2,709.17,362.66,1074.78,303.99,1074.78,88.561872,Houston,9
77,Texas State,Loss 5-11,3.63,Counts,0.1042,2023-04-16,Texas D I College Womens CC 2022,0,5,11,-600,-6,1052.55,417.7,452.54999999999995,414.07,452.54999999999995,47.15571,Houston,10
208,Texas-B,Win 5-2,22.5,Counts,0.0689,2023-04-17,Texas D I College Womens CC 2022,1,5,2,600,3,125.3,398.83,725.3,376.33,725.3,49.973169999999996,Houston,11
82,Texas A&M,Loss 2-15,-1.6,Counts,0.11359999999999999,2023-04-17,Texas D I College Womens CC 2022,0,2,15,-600,-13,1008.88,422.93,408.88,424.53000000000003,408.88,46.448767999999994,Houston,12
126,Sam Houston State,Loss 5-8,-17.19,Counts,0.09390000000000001,2023-04-17,Texas D I College Womens CC 2022,0,5,8,-453.6,-3,709.17,438.52,255.56999999999994,455.71,255.56999999999994,23.998022999999996,Houston,13
