OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
83,Marquette,Win 5-3,11.87,Counts,0.0311,2023-03-05,Midwest Throwdown 2022,1,5,3,418.57,2,1006.83,1043.27,1425.4,1031.4,1425.4,44.32994,Iowa State,1
71,Northwestern,Loss 5-8,-17.4,Counts,0.039599999999999996,2023-03-05,Midwest Throwdown 2022,0,5,8,-453.6,-3,1086.61,1072.54,633.0099999999999,1089.94,633.0099999999999,25.067195999999992,Iowa State,2
38,Wisconsin,Win 8-7,19.34,Counts,0.0425,2023-03-05,Midwest Throwdown 2022,1,8,7,125,1,1365.5,1035.8,1490.5,1016.4599999999999,1490.5,63.346250000000005,Iowa State,3
59,St. Olaf,Win 7-5,17.86,Counts,0.038,2023-03-06,Midwest Throwdown 2022,1,7,5,328.14,2,NA,1037.28,NA,1019.42,NA,NA,Iowa State,4
68,Kansas,Win 10-9,9.65,Counts,0.0479,2023-03-06,Midwest Throwdown 2022,1,10,9,125,1,1122.06,1045.49,1247.06,1035.84,1247.06,59.734173999999996,Iowa State,5
29,Purdue,Loss 3-13,-9.13,Counts,0.0479,2023-03-06,Midwest Throwdown 2022,0,3,13,-600,-10,1473.48,1064.27,873.48,1073.4,873.48,41.839692,Iowa State,6
62,Washington University,Loss 6-9,-13.43,Counts,0.0425,2023-03-06,Midwest Throwdown 2022,0,6,9,-418.57,-3,1171.36,1068.57,752.79,1082,752.79,31.993575,Iowa State,7
200,Wisconsin-B,Win 7-4,-15.45,Counts,0.0433,2023-03-26,Old Capital Open 2022,1,7,4,496.16,3,217.67,1070.59,713.83,1086.04,713.83,30.908839,Iowa State,8
142,Luther,Win 4-3,-10.41,Counts,0.0345,2023-03-26,Old Capital Open 2022,1,4,3,125,1,639.35,1065.54,764.35,1075.95,764.35,26.370075000000003,Iowa State,9
35,Colorado State,Win 10-9,28.7,Counts,0.056900000000000006,2023-03-26,Old Capital Open 2022,1,10,9,125,1,1405.77,1026.44,1530.77,997.74,1530.77,87.100813,Iowa State,10
142,Luther,Win 11-4,10.15,Counts,0.052199999999999996,2023-03-27,Old Capital Open 2022,1,11,4,600,7,639.35,1044.99,1239.35,1034.84,1239.35,64.69407,Iowa State,11
33,Minnesota,Loss 6-8,3.34,Counts,0.0489,2023-03-27,Old Capital Open 2022,0,6,8,-300.49,-2,1420.67,1051.8,1120.18,1048.46,1120.18,54.776802000000004,Iowa State,12
73,Notre Dame,Win 7-5,16.27,Counts,0.0452,2023-03-27,Old Capital Open 2022,1,7,5,328.14,2,1070.39,1038.87,1398.5300000000002,1022.5999999999999,1398.5300000000002,63.213556000000004,Iowa State,13
130,Nebraska,Win 13-10,-3.04,Counts,0.0639,2023-04-09,Western North Central D I College Womens CC 2022,1,13,10,328.14,3,682.47,1058.18,1010.61,1061.22,1010.61,64.577979,Iowa State,14
3,Carleton College,Loss 2-15,0,Ignored,0,2023-04-09,Western North Central D I College Womens CC 2022,0,2,15,-600,-13,2173.45,1055.14,1573.4499999999998,1055.14,0,0,Iowa State,15
64,Iowa,Loss 9-10,-2.65,Counts,0.0639,2023-04-10,Western North Central D I College Womens CC 2022,0,9,10,-125,-1,1141.3,1057.79,1016.3,1060.44,1016.3,64.94157,Iowa State,16
153,Minnesota-Duluth,Win 13-8,-1.41,Counts,0.0639,2023-04-10,Western North Central D I College Womens CC 2022,1,13,8,496.16,5,538.31,1056.55,1034.47,1057.96,1034.47,66.102633,Iowa State,17
177,Minnesota-B,Win 8-7,-32.76,Counts,0.056799999999999996,2023-04-10,Western North Central D I College Womens CC 2022,1,8,7,125,1,385.73,1087.9,510.73,1120.66,510.73,29.009463999999998,Iowa State,18
33,Minnesota,Loss 3-8,-14.73,Counts,0.0591,2023-04-30,North Central D I College Womens Regionals 2022,0,3,8,-600,-5,1420.67,1069.87,820.6700000000001,1084.6,820.6700000000001,48.501597000000004,Iowa State,19
178,Wisconsin-Milwaukee,Win 10-2,0,Ignored,0,2023-04-30,North Central D I College Womens Regionals 2022,1,10,2,600,8,381.26,1055.14,981.26,1055.14,0,0,Iowa State,20
116,Wisconsin-Eau Claire,Win 9-3,21.17,Counts,0.06280000000000001,2023-04-30,North Central D I College Womens Regionals 2022,1,9,3,600,6,770.8,1033.97,1370.8,1012.8000000000001,1370.8,86.08624,Iowa State,21
38,Wisconsin,Loss 3-8,-18.19,Counts,0.0591,2023-04-30,North Central D I College Womens Regionals 2022,0,3,8,-600,-5,1365.5,1073.33,765.5,1091.52,765.5,45.24105,Iowa State,22
