OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
106,Michigan Tech,Win 11-2,12.42,Counts,0.038599999999999995,2023-03-05,Midwest Throwdown 2022,1,11,2,600,9,850.86,1128.87,1450.8600000000001,1116.4499999999998,1450.8600000000001,56.003195999999996,Iowa,1
150,Truman State,Win 10-3,1,Counts,0.036699999999999997,2023-03-05,Midwest Throwdown 2022,1,10,3,600,7,567.5,1140.3,1167.5,1139.3,1167.5,42.847249999999995,Iowa,2
33,Minnesota,Win 4-3,10.59,Counts,0.0255,2023-03-05,Midwest Throwdown 2022,1,4,3,125,1,1420.67,1130.7,1545.67,1120.1100000000001,1545.67,39.414585,Iowa,3
114,Missouri,Win 10-3,9.08,Counts,0.036699999999999997,2023-03-06,Midwest Throwdown 2022,1,10,3,600,7,779.51,1132.21,1379.51,1123.13,1379.51,50.62801699999999,Iowa,4
29,Purdue,Loss 6-9,-3.35,Counts,0.0374,2023-03-06,Midwest Throwdown 2022,0,6,9,-418.57,-3,1473.48,1144.65,1054.91,1148,1054.91,39.45363400000001,Iowa,5
68,Kansas,Win 9-4,20.93,Counts,0.0348,2023-03-06,Midwest Throwdown 2022,1,9,4,600,5,1122.06,1120.37,1722.06,1099.4399999999998,1722.06,59.927687999999996,Iowa,6
23,Carleton College-Eclipse,Loss 5-9,-5.64,Counts,0.0361,2023-03-06,Midwest Throwdown 2022,0,5,9,-529.06,-4,1519.75,1146.93,990.69,1152.5700000000002,990.69,35.763909000000005,Iowa,7
132,Trinity,Win 11-2,5.33,Counts,0.0433,2023-03-19,Womens Centex,1,11,2,600,9,658.98,1135.97,1258.98,1130.64,1258.98,54.513833999999996,Iowa,8
82,Texas A&M,Loss 10-11,-12.75,Counts,0.0472,2023-03-19,Womens Centex,0,10,11,-125,-1,1008.88,1154.05,883.88,1166.8,883.88,41.719136,Iowa,9
165,North Texas,Win 11-2,0,Ignored,0,2023-03-19,Womens Centex,1,11,2,600,9,460,1141.3,1060,1141.3,0,0,Iowa,10
219,Texas-San Antonio,Win 11-2,0,Ignored,0,2023-03-19,Womens Centex,1,11,2,600,9,42.6,1141.3,642.6,1141.3,0,0,Iowa,11
208,Texas-B,Win 11-2,0,Ignored,0,2023-03-20,Womens Centex,1,11,2,600,9,125.3,1141.3,725.3,1141.3,0,0,Iowa,12
98,Rice,Loss 6-7,-13.69,Counts,0.039,2023-03-20,Womens Centex,0,6,7,-125,-1,929.32,1154.98,804.32,1168.67,804.32,31.36848,Iowa,13
132,Trinity,Win 10-2,5.06,Counts,0.0412,2023-03-20,Womens Centex,1,10,2,600,8,658.98,1136.23,1258.98,1131.17,1258.98,51.869976,Iowa,14
121,Saint Louis,Loss 5-6,-20.4,Counts,0.038,2023-03-26,Old Capital Open 2022,0,5,6,-125,-1,750.63,1161.69,625.63,1182.0900000000001,625.63,23.77394,Iowa,15
153,Minnesota-Duluth,Loss 3-4,-22.79,Counts,0.0304,2023-03-26,Old Capital Open 2022,0,3,4,-125,-1,538.31,1164.08,413.30999999999995,1186.87,413.30999999999995,12.564623999999998,Iowa,16
168,St Benedict,Win 8-5,-11.24,Counts,0.0414,2023-03-27,Old Capital Open 2022,1,8,5,453.6,3,427.15,1152.54,880.75,1163.78,880.75,36.46305,Iowa,17
33,Minnesota,Loss 4-8,-11.81,Counts,0.0397,2023-03-27,Old Capital Open 2022,0,4,8,-564.81,-4,1420.67,1153.11,855.8600000000001,1164.9199999999998,855.8600000000001,33.977642,Iowa,18
142,Luther,Win 9-0,4.23,Counts,0.0414,2023-03-27,Old Capital Open 2022,1,9,0,600,9,639.35,1137.06,1239.35,1132.83,1239.35,51.30909,Iowa,19
130,Nebraska,Win 10-3,6.45,Counts,0.0437,2023-03-27,Old Capital Open 2022,1,10,3,600,7,682.47,1134.85,1282.47,1128.3999999999999,1282.47,56.043939,Iowa,20
177,Minnesota-B,Win 15-6,0,Ignored,0,2023-04-09,Western North Central D I College Womens CC 2022,1,15,6,600,9,385.73,1141.3,985.73,1141.3,0,0,Iowa,21
33,Minnesota,Loss 12-14,3.47,Counts,0.056100000000000004,2023-04-09,Western North Central D I College Womens CC 2022,0,12,14,-220.96,-2,1420.67,1137.82,1199.71,1134.35,1199.71,67.30373100000001,Iowa,22
130,Nebraska,Win 13-6,8.39,Counts,0.056100000000000004,2023-04-10,Western North Central D I College Womens CC 2022,1,13,6,600,7,682.47,1132.9,1282.47,1124.51,1282.47,71.946567,Iowa,23
75,Iowa State,Win 10-9,2.31,Counts,0.056100000000000004,2023-04-10,Western North Central D I College Womens CC 2022,1,10,9,125,1,1055.14,1138.99,1180.14,1136.68,1180.14,66.20585400000002,Iowa,24
3,Carleton College,Loss 0-12,0,Ignored,0,2023-04-30,North Central D I College Womens Regionals 2022,0,0,12,-600,-12,2173.45,1141.3,1573.4499999999998,1141.3,0,0,Iowa,25
161,Wisconsin-Oshkosh,Win 9-7,-24.15,Counts,0.061200000000000004,2023-04-30,North Central D I College Womens Regionals 2022,1,9,7,279.34,2,491.76,1165.45,771.0999999999999,1189.6000000000001,771.0999999999999,47.19132,Iowa,26
130,Nebraska,Win 12-3,9.66,Counts,0.0641,2023-04-30,North Central D I College Womens Regionals 2022,1,12,3,600,9,682.47,1131.63,1282.47,1121.97,1282.47,82.206327,Iowa,27
83,Marquette,Win 9-3,27.2,Counts,0.0552,2023-04-30,North Central D I College Womens Regionals 2022,1,9,3,600,6,1006.83,1114.09,1606.83,1086.8899999999999,1606.83,88.69701599999999,Iowa,28
