OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
157,Boston College,Win 13-12,-0.26,Counts,0.0365,2023-02-26,Bring The Huckus 12,1,13,12,125,1,507.98,640.08,632.98,640.34,632.98,23.10377,Ithaca,1
65,Haverford,Loss 7-11,1.18,Counts,0.0356,2023-02-26,Bring The Huckus 12,0,7,11,-466.89,-4,1138.76,638.64,671.87,637.46,671.87,23.918572,Ithaca,2
147,Swarthmore,Win 10-4,18.29,Counts,0.0319,2023-02-26,Bring The Huckus 12,1,10,4,600,6,594.68,621.53,1194.6799999999998,603.24,1194.6799999999998,38.110291999999994,Ithaca,3
157,Boston College,Loss 10-11,-9.74,Counts,0.0365,2023-02-27,Bring The Huckus 12,0,10,11,-125,-1,507.98,649.56,382.98,659.3,382.98,13.978769999999999,Ithaca,4
87,Lehigh,Loss 12-13,8.71,Counts,0.0365,2023-02-27,Bring The Huckus 12,0,12,13,-125,-1,994.47,631.11,869.47,622.4,869.47,31.735654999999998,Ithaca,5
236,College of New Jersey,Win 11-2,0,Ignored,0,2023-02-27,Bring The Huckus 12,1,11,2,600,9,497.94,639.82,1097.94,639.82,0,0,Ithaca,6
76,Amherst,Loss 6-10,-3.57,Counts,0.042199999999999994,2023-03-26,New York Invite,0,6,10,-496.16,-4,1055.04,643.39,558.8799999999999,646.96,558.8799999999999,23.584735999999992,Ithaca,7
90,New Hampshire,Loss 5-11,-11.11,Counts,0.042199999999999994,2023-03-26,New York Invite,0,5,11,-600,-6,987.85,650.93,387.85,662.04,387.85,16.367269999999998,Ithaca,8
196,Cornell-B,Win 8-4,5.95,Counts,0.0366,2023-03-26,New York Invite,1,8,4,564.81,4,231.7,633.87,796.51,627.92,796.51,29.152266,Ithaca,9
91,Skidmore,Loss 6-7,7.99,Counts,0.0381,2023-03-26,New York Invite,0,6,7,-125,-1,966.62,631.84,841.62,623.85,841.62,32.065722,Ithaca,10
196,Cornell-B,Win 13-3,9.26,Counts,0.046,2023-03-27,New York Invite,1,13,3,600,10,231.7,630.56,831.7,621.3,831.7,38.2582,Ithaca,11
90,New Hampshire,Win 7-6,18.72,Counts,0.0381,2023-03-27,New York Invite,1,7,6,125,1,987.85,621.1,1112.85,602.38,1112.85,42.399585,Ithaca,12
91,Skidmore,Loss 6-13,-13.18,Counts,0.046,2023-03-27,New York Invite,0,6,13,-600,-7,966.62,653,366.62,666.18,366.62,16.86452,Ithaca,13
93,SUNY-Geneseo,Loss 4-8,-10.46,Counts,0.041100000000000005,2023-04-09,Western NY D III College Womens CC 2022,0,4,8,-564.81,-4,960.28,650.28,395.47,660.74,395.47,16.253817,Ithaca,14
136,Rochester,Win 7-6,5.83,Counts,0.042699999999999995,2023-04-09,Western NY D III College Womens CC 2022,1,7,6,125,1,645.42,633.99,770.42,628.16,770.42,32.896933999999995,Ithaca,15
190,Hamilton,Win 8-2,10.85,Counts,0.04019999999999999,2023-04-09,Western NY D III College Womens CC 2022,1,8,2,600,6,298.84,628.98,898.8399999999999,618.13,898.8399999999999,36.13336799999999,Ithaca,16
206,SUNY-Oneonta,Win 4-2,0.31,Counts,0.028999999999999998,2023-04-09,Western NY D III College Womens CC 2022,1,4,2,496.16,2,153.91,639.52,650.07,639.21,650.07,18.85203,Ithaca,17
206,SUNY-Oneonta,Win 8-5,-1.44,Counts,0.042699999999999995,2023-04-10,Western NY D III College Womens CC 2022,1,8,5,453.6,3,153.91,641.26,607.51,642.7,607.51,25.940676999999997,Ithaca,18
190,Hamilton,Win 6-5,-8.84,Counts,0.0393,2023-04-10,Western NY D III College Womens CC 2022,1,6,5,125,1,298.84,648.66,423.84,657.5,423.84,16.656912,Ithaca,19
236,College of New Jersey,Win 13-0,0,Ignored,0,2023-04-30,Metro East D III College Womens Regionals 2022,1,13,0,600,13,497.94,639.82,1097.94,639.82,0,0,Ithaca,20
199,Connecticut College,Win 13-3,12.38,Counts,0.061399999999999996,2023-04-30,Metro East D III College Womens Regionals 2022,1,13,3,600,10,228.91,627.45,828.91,615.07,828.91,50.895073999999994,Ithaca,21
93,SUNY-Geneseo,Loss 5-10,-14.63,Counts,0.0546,2023-04-30,Metro East D III College Womens Regionals 2022,0,5,10,-573.9,-5,960.28,654.45,386.38,669.08,386.38,21.096348000000003,Ithaca,22
91,Skidmore,Loss 7-11,-8.91,Counts,0.059800000000000006,2023-04-30,Metro East D III College Womens Regionals 2022,0,7,11,-466.89,-4,966.62,648.73,499.73,657.64,499.73,29.883854000000003,Ithaca,23
190,Hamilton,Loss 13-14,-30.5,Counts,0.061399999999999996,2023-05-01,Metro East D III College Womens Regionals 2022,0,13,14,-125,-1,298.84,670.32,173.83999999999997,700.82,173.83999999999997,10.673775999999998,Ithaca,24
199,Connecticut College,Win 15-3,12.38,Counts,0.061399999999999996,2023-05-01,Metro East D III College Womens Regionals 2022,1,15,3,600,12,228.91,627.45,828.91,615.07,828.91,50.895073999999994,Ithaca,25
