OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
121,Saint Louis,Loss 5-7,-3.55,Counts,0.0327,2023-03-05,Midwest Throwdown 2022,0,5,7,-328.14,-2,750.63,531.27,422.49,534.8199999999999,422.49,13.815423000000001,Knox,1
114,Missouri,Loss 2-11,-13.65,Counts,0.0377,2023-03-05,Midwest Throwdown 2022,0,2,11,-600,-9,779.51,541.37,179.51,555.02,179.51,6.767526999999999,Knox,2
200,Wisconsin-B,Win 11-2,11.37,Counts,0.0377,2023-03-05,Midwest Throwdown 2022,1,11,2,600,9,217.67,516.35,817.67,504.98,817.67,30.826158999999997,Knox,3
200,Wisconsin-B,Win 9-2,10.21,Counts,0.034,2023-03-06,Midwest Throwdown 2022,1,9,2,600,7,217.67,517.51,817.67,507.3,817.67,27.80078,Knox,4
142,Luther,Loss 6-10,-15.08,Counts,0.0377,2023-03-06,Midwest Throwdown 2022,0,6,10,-496.16,-4,639.35,542.79,143.19,557.87,143.19,5.398262999999999,Knox,5
153,Minnesota-Duluth,Loss 6-8,-10.61,Counts,0.0353,2023-03-06,Midwest Throwdown 2022,0,6,8,-300.49,-2,538.31,538.32,237.81999999999994,548.9300000000001,237.81999999999994,8.395045999999997,Knox,6
143,Illinois,Loss 6-8,-8.84,Counts,0.042,2023-03-26,Illinois Invite,0,6,8,-300.49,-2,626.49,536.55,326,545.39,326,13.692,Knox,7
213,Notre Dame-B,Win 9-2,6.47,Counts,0.0404,2023-03-26,Illinois Invite,1,9,2,600,7,81.16,521.25,681.16,514.78,681.16,27.518863999999997,Knox,8
211,Washington University-B,Loss 7-8,-24.91,Counts,0.0434,2023-03-26,Illinois Invite,0,7,8,-125,-1,104.15,552.63,-20.849999999999994,577.54,-20.849999999999994,-0.9048899999999998,Knox,9
180,Loyola-Chicago,Win 10-5,19.08,Counts,0.0434,2023-03-27,Illinois Invite,1,10,5,573.9,5,373.89,508.64,947.79,489.56,947.79,41.134085999999996,Knox,10
83,Marquette,Loss 4-13,-6.21,Counts,0.0489,2023-03-27,Illinois Invite,0,4,13,-600,-9,1006.83,533.93,406.83000000000004,540.14,406.83000000000004,19.893987000000003,Knox,11
211,Washington University-B,Win 10-5,6.83,Counts,0.0434,2023-03-27,Illinois Invite,1,10,5,573.9,5,104.15,520.89,678.05,514.06,678.05,29.42737,Knox,12
NA,Kalamazoo College,Win 11-5,-12.89,Counts,0.0565,2023-04-23,Great Lakes D III College Womens CC 2022,1,11,5,600,6,287.35,540.6,887.35,553.49,887.35,50.135275,Knox,13
NA,Valparaiso,Win 13-4,0,Ignored,0,2023-04-23,Great Lakes D III College Womens CC 2022,1,13,4,600,9,705.71,527.72,1305.71,527.72,0,0,Knox,14
214,Wheaton (Illinois),Win 8-4,5.82,Counts,0.049,2023-04-23,Great Lakes D III College Womens CC 2022,1,8,4,564.81,4,75.94,521.9,640.75,516.0799999999999,640.75,31.39675,Knox,15
NA,Valparaiso,Win 13-2,0,Ignored,0,2023-04-24,Great Lakes D III College Womens CC 2022,1,13,2,600,11,705.71,527.72,1305.71,527.72,0,0,Knox,16
214,Wheaton (Illinois),Win 7-2,6.93,Counts,0.0447,2023-04-24,Great Lakes D III College Womens CC 2022,1,7,2,600,5,75.94,520.78,675.94,513.85,675.94,30.214518,Knox,17
80,Mount Holyoke,Loss 4-15,-8.07,Counts,0.0776,2023-05-21,2022 D III College Championships,0,4,15,-600,-11,1031.85,535.78,431.8499999999999,543.85,431.8499999999999,33.511559999999996,Knox,18
52,Portland,Loss 6-15,0,Ignored,0,2023-05-21,2022 D III College Championships,0,6,15,-600,-9,1233.18,527.72,633.1800000000001,527.72,0,0,Knox,19
98,Rice,Loss 7-9,9.38,Counts,0.0712,2023-05-21,2022 D III College Championships,0,7,9,-279.34,-2,929.32,518.34,649.98,508.96000000000004,649.98,46.278576,Knox,20
124,Occidental,Win 13-11,35.59,Counts,0.0776,2023-05-22,2022 D III College Championships,1,13,11,228.84,2,721.86,492.13,950.7,456.53999999999996,950.7,73.77432,Knox,21
107,Mary Washington,Loss 7-8,14.16,Counts,0.069,2023-05-22,2022 D III College Championships,0,7,8,-125,-1,843.9,513.56,718.9,499.3999999999999,718.9,49.6041,Knox,22
172,Lewis & Clark,Loss 12-13,-21.19,Counts,0.0776,2023-05-23,2022 D III College Championships,0,12,13,-125,-1,400.91,548.91,275.91,570.1,275.91,21.410616,Knox,23
