OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
236,College of New Jersey,Win 15-2,0,Ignored,0,2023-02-26,Bring The Huckus 12,1,15,2,600,13,497.94,994.47,1097.94,994.47,0,0,Lehigh,1
93,SUNY-Geneseo,Win 9-8,2.73,Counts,0.0292,2023-02-26,Bring The Huckus 12,1,9,8,125,1,960.28,991.74,1085.28,989.01,1085.28,31.690176,Lehigh,2
84,West Chester,Loss 4-9,-15.5,Counts,0.0255,2023-02-26,Bring The Huckus 12,0,4,9,-600,-5,1002.51,1009.97,402.51,1025.47,402.51,10.264005,Lehigh,3
65,Haverford,Loss 9-10,0.61,Counts,0.0308,2023-02-27,Bring The Huckus 12,0,9,10,-125,-1,1138.76,993.86,1013.76,993.25,1013.76,31.223808000000002,Lehigh,4
140,Ithaca,Win 13-12,-7.31,Counts,0.0308,2023-02-27,Bring The Huckus 12,1,13,12,125,1,639.82,1001.78,764.82,1009.0899999999999,764.82,23.556456,Lehigh,5
93,SUNY-Geneseo,Win 10-9,2.89,Counts,0.0308,2023-02-27,Bring The Huckus 12,1,10,9,125,1,960.28,991.58,1085.28,988.69,1085.28,33.426624,Lehigh,6
89,Brandeis,Loss 8-10,-8.67,Counts,0.0318,2023-03-05,Philly Special,0,8,10,-262.67,-2,993.33,1003.14,730.6600000000001,1011.81,730.6600000000001,23.234988000000005,Lehigh,7
108,Connecticut,Loss 8-9,-8.89,Counts,0.030899999999999997,2023-03-05,Philly Special,0,8,9,-125,-1,840.71,1003.36,715.71,1012.25,715.71,22.115439,Lehigh,8
36,Yale,Loss 7-14,-6.86,Counts,0.0327,2023-03-05,Philly Special,0,7,14,-582.89,-7,1374.29,1001.33,791.4,1008.19,791.4,25.87878,Lehigh,9
89,Brandeis,Win 9-8,3.95,Counts,0.030899999999999997,2023-03-06,Philly Special,1,9,8,125,1,993.33,990.52,1118.33,986.5699999999999,1118.33,34.556397,Lehigh,10
202,Rutgers,Win 9-7,-15.87,Counts,0.03,2023-03-06,Philly Special,1,9,7,279.34,2,201.83,1010.34,481.16999999999996,1026.21,481.16999999999996,14.435099999999998,Lehigh,11
36,Yale,Loss 2-15,-7.44,Counts,0.0327,2023-03-06,Philly Special,0,2,15,-600,-13,1374.29,1001.91,774.29,1009.35,774.29,25.319283,Lehigh,12
154,Harvard,Win 7-4,1.27,Counts,0.0313,2023-04-02,Fuego,1,7,4,496.16,3,537.68,993.2,1033.84,991.9300000000001,1033.84,32.359192,Lehigh,13
232,Dickinson,Win 10-4,0,Ignored,0,2023-04-02,Fuego,1,10,4,600,6,252.53,994.47,852.53,994.47,0,0,Lehigh,14
151,NYU,Win 10-1,5.84,Counts,0.036000000000000004,2023-04-02,Fuego,1,10,1,600,9,550.99,988.63,1150.99,982.79,1150.99,41.43564000000001,Lehigh,15
233,Messiah,Win 13-2,0,Ignored,0,2023-04-02,Fuego,1,13,2,600,11,283.45,994.47,883.45,994.47,0,0,Lehigh,16
232,Dickinson,Win 13-4,0,Ignored,0,2023-04-03,Fuego,1,13,4,600,9,252.53,994.47,852.53,994.47,0,0,Lehigh,17
151,NYU,Win 14-4,6.72,Counts,0.0412,2023-04-03,Fuego,1,14,4,600,10,550.99,987.75,1150.99,981.03,1150.99,47.420788,Lehigh,18
65,Haverford,Loss 8-10,-5.58,Counts,0.045,2023-04-16,Pennsylvania D III College Womens CC 2022,0,8,10,-262.67,-2,1138.76,1000.05,876.0899999999999,1005.63,876.0899999999999,39.424049999999994,Lehigh,19
232,Dickinson,Win 15-2,0,Ignored,0,2023-04-16,Pennsylvania D III College Womens CC 2022,1,15,2,600,13,252.53,994.47,852.53,994.47,0,0,Lehigh,20
147,Swarthmore,Win 11-10,-13.32,Counts,0.0462,2023-04-16,Pennsylvania D III College Womens CC 2022,1,11,10,125,1,594.68,1007.79,719.68,1021.11,719.68,33.249216,Lehigh,21
120,Cedarville,Win 14-4,20.03,Counts,0.0519,2023-04-30,Ohio Valley D III College Womens Regionals 2022,1,14,4,600,10,760.52,974.44,1360.52,954.4100000000001,1360.52,70.610988,Lehigh,22
147,Swarthmore,Win 15-6,10.95,Counts,0.0519,2023-04-30,Ohio Valley D III College Womens Regionals 2022,1,15,6,600,9,594.68,983.52,1194.6799999999998,972.5699999999999,1194.6799999999998,62.00389199999999,Lehigh,23
65,Haverford,Win 15-8,38.8,Counts,0.0519,2023-05-01,Ohio Valley D III College Womens Regionals 2022,1,15,8,564.81,7,1138.76,955.67,1703.57,916.87,1703.57,88.415283,Lehigh,24
59,St. Olaf,Loss 10-14,-14.1,Counts,0.0617,2023-05-21,2022 D III College Championships,0,10,14,-398.7,-4,NA,1008.57,NA,1022.6700000000001,NA,NA,Lehigh,25
172,Lewis & Clark,Win 15-6,0.42,Counts,0.0617,2023-05-21,2022 D III College Championships,1,15,6,600,9,400.91,994.05,1000.9100000000001,993.63,1000.9100000000001,61.756147000000006,Lehigh,26
37,Wellesley,Loss 7-15,-14.87,Counts,0.0617,2023-05-21,2022 D III College Championships,0,7,15,-600,-8,1368.3,1009.34,768.3,1024.21,768.3,47.404109999999996,Lehigh,27
23,Carleton College-Eclipse,Loss 5-15,-4.91,Counts,0.0617,2023-05-22,2022 D III College Championships,0,5,15,-600,-10,1519.75,999.39,919.75,1004.3,919.75,56.748574999999995,Lehigh,28
93,SUNY-Geneseo,Win 13-8,30.37,Counts,0.0617,2023-05-22,2022 D III College Championships,1,13,8,496.16,5,960.28,964.1,1456.44,933.73,1456.44,89.862348,Lehigh,29
