OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
226,Puget Sound,Win 10-8,-24.39,Counts,0.1217,2023-04-16,Northwest D III College Womens CC 2022,1,10,8,262.67,2,37.86,425.31,300.53000000000003,449.7,300.53000000000003,36.574501000000005,Lewis & Clark,1
52,Portland,Loss 1-14,0,Ignored,0,2023-04-16,Northwest D III College Womens CC 2022,0,1,14,-600,-13,1233.18,400.91,633.1800000000001,400.91,0,0,Lewis & Clark,2
NA,Pacific Lutheran,Win 14-4,3.35,Counts,0.125,2023-04-16,Northwest D III College Womens CC 2022,1,14,4,600,10,175.64,397.56,775.64,394.21,775.64,96.955,Lewis & Clark,3
52,Portland,Loss 5-14,0,Ignored,0,2023-04-17,Northwest D III College Womens CC 2022,0,5,14,-600,-9,1233.18,400.91,633.1800000000001,400.91,0,0,Lewis & Clark,4
226,Puget Sound,Win 11-5,20.89,Counts,0.11470000000000001,2023-04-17,Northwest D III College Womens CC 2022,1,11,5,600,6,37.86,380.02,637.86,359.13,637.86,73.162542,Lewis & Clark,5
59,St. Olaf,Loss 5-15,0,Ignored,0,2023-05-21,2022 D III College Championships,0,5,15,-600,-10,NA,400.91,NA,400.91,0,NA,Lewis & Clark,6
87,Lehigh,Loss 6-15,-1.29,Counts,0.16690000000000002,2023-05-21,2022 D III College Championships,0,6,15,-600,-9,994.47,402.2,394.47,403.49,394.47,65.83704300000001,Lewis & Clark,7
37,Wellesley,Loss 4-14,0,Ignored,0,2023-05-21,2022 D III College Championships,0,4,14,-600,-10,1368.3,400.91,768.3,400.91,0,0,Lewis & Clark,8
124,Occidental,Loss 7-13,-47.38,Counts,0.16690000000000002,2023-05-22,2022 D III College Championships,0,7,13,-557.53,-6,721.86,448.3,164.33000000000004,495.68,164.33000000000004,27.42667700000001,Lewis & Clark,9
107,Mary Washington,Loss 5-8,-1.7,Counts,0.138,2023-05-22,2022 D III College Championships,0,5,8,-453.6,-3,843.9,402.61,390.29999999999995,404.31,390.29999999999995,53.861399999999996,Lewis & Clark,10
155,Knox,Win 13-12,50.43,Counts,0.16690000000000002,2023-05-23,2022 D III College Championships,1,13,12,125,1,527.72,350.48,652.72,300.05,652.72,108.93896800000002,Lewis & Clark,11
