OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
115,Georgetown,Win 8-4,3.43,Counts,0.0277,2023-02-19,Commonwealth Cup Weekend 1,1,8,4,564.81,4,775.98,1217.14,1340.79,1213.71,1340.79,37.139883,Liberty,1
63,Duke,Win 10-1,16.57,Counts,0.0305,2023-02-19,Commonwealth Cup Weekend 1,1,10,1,600,9,1147.99,1203.99,1747.99,1187.42,1747.99,53.313694999999996,Liberty,2
67,Virginia Tech,Loss 3-6,-15.78,Counts,0.024,2023-02-19,Commonwealth Cup Weekend 1,0,3,6,-546.69,-3,1125.52,1236.34,578.8299999999999,1252.12,578.8299999999999,13.891919999999999,Liberty,3
55,James Madison,Loss 6-13,-21.62,Counts,0.0349,2023-02-20,Commonwealth Cup Weekend 1,0,6,13,-600,-7,1222.28,1242.18,622.28,1263.8,622.28,21.717572,Liberty,4
79,MIT,Win 11-8,6.44,Counts,0.0349,2023-02-20,Commonwealth Cup Weekend 1,1,11,8,365.61,3,1033.13,1214.13,1398.7400000000002,1207.69,1398.7400000000002,48.81602600000001,Liberty,5
67,Virginia Tech,Win 9-8,1.02,Counts,0.033,2023-02-20,Commonwealth Cup Weekend 1,1,9,8,125,1,1125.52,1219.54,1250.52,1218.52,1250.52,41.267160000000004,Liberty,6
69,Charleston,Win 11-8,9.77,Counts,0.0369,2023-02-26,Cutlass Classic 2022,1,11,8,365.61,3,1109.51,1210.8,1475.12,1201.03,1475.12,54.431928,Liberty,7
128,George Washington,Win 15-5,3,Counts,0.0369,2023-02-26,Cutlass Classic 2022,1,15,5,600,10,698.73,1217.57,1298.73,1214.57,1298.73,47.923137000000004,Liberty,8
137,East Carolina,Win 11-3,0.79,Counts,0.0339,2023-02-26,Cutlass Classic 2022,1,11,3,600,8,643.02,1219.78,1243.02,1218.99,1243.02,42.138377999999996,Liberty,9
138,Navy,Win 9-3,0.62,Counts,0.030600000000000002,2023-02-26,Cutlass Classic 2022,1,9,3,600,6,640.35,1219.94,1240.35,1219.3200000000002,1240.35,37.95471,Liberty,10
193,Wake Forest,Win 10-2,0,Ignored,0,2023-02-27,Cutlass Classic 2022,1,10,2,600,8,282,1220.56,882,1220.56,0,0,Liberty,11
230,Georgetown-B,Win 8-3,0,Ignored,0,2023-03-26,Rodeo,1,8,3,600,5,200.93,1220.56,800.9300000000001,1220.56,0,0,Liberty,12
152,North Carolina-B,Win 8-7,-23.6,Counts,0.0414,2023-03-26,Rodeo,1,8,7,125,1,548.48,1244.17,673.48,1267.77,673.48,27.882072,Liberty,13
193,Wake Forest,Win 10-1,0,Ignored,0,2023-03-26,Rodeo,1,10,1,600,9,282,1220.56,882,1220.56,0,0,Liberty,14
101,Massachusetts,Win 8-6,-0.71,Counts,0.04,2023-03-26,Rodeo,1,8,6,300.49,2,903.06,1221.27,1203.55,1221.98,1203.55,48.141999999999996,Liberty,15
15,Georgia,Loss 0-12,-5.29,Counts,0.0447,2023-03-27,Rodeo,0,0,12,-600,-12,1707.34,1225.86,1107.34,1231.1499999999999,1107.34,49.49809799999999,Liberty,16
63,Duke,Loss 4-5,-6.54,Counts,0.032,2023-03-27,Rodeo,0,4,5,-125,-1,1147.99,1227.1,1022.99,1233.6399999999999,1022.99,32.73568,Liberty,17
42,North Carolina State,Loss 3-12,-22.94,Counts,0.0447,2023-03-27,Rodeo,0,3,12,-600,-9,1329.97,1243.5,729.97,1266.44,729.97,32.629659,Liberty,18
117,Virginia Commonwealth,Win 15-1,8.15,Counts,0.052199999999999996,2023-04-09,Virginia D I College Womens CC 2022,1,15,1,600,14,768.41,1212.41,1368.4099999999999,1204.26,1368.4099999999999,71.43100199999999,Liberty,19
44,William & Mary,Win 10-7,25.77,Counts,0.049400000000000006,2023-04-09,Virginia D I College Womens CC 2022,1,10,7,389.67,3,1326.51,1194.8,1716.18,1169.03,1716.18,84.77929200000001,Liberty,20
20,Virginia,Win 10-9,27.23,Counts,0.052199999999999996,2023-04-10,Virginia D I College Womens CC 2022,1,10,9,125,1,1589.46,1193.34,1714.46,1166.11,1714.46,89.494812,Liberty,21
88,South Carolina,Win 11-5,24.02,Counts,0.0604,2023-05-07,Atlantic Coast D I College Womens Regionals 2022,1,11,5,600,6,994.19,1196.54,1594.19,1172.52,1594.19,96.28907600000001,Liberty,22
105,Delaware,Loss 8-9,-32.46,Counts,0.0623,2023-05-07,Atlantic Coast D I College Womens Regionals 2022,0,8,9,-125,-1,856.75,1253.02,731.75,1285.48,731.75,45.588025,Liberty,23
20,Virginia,Loss 7-13,-13.29,Counts,0.0658,2023-05-07,Atlantic Coast D I College Womens Regionals 2022,0,7,13,-557.53,-6,1589.46,1233.86,1031.93,1247.1499999999999,1031.93,67.900994,Liberty,24
128,George Washington,Win 15-5,5.51,Counts,0.0658,2023-05-08,Atlantic Coast D I College Womens Regionals 2022,1,15,5,600,10,698.73,1215.06,1298.73,1209.55,1298.73,85.456434,Liberty,25
159,Towson,Win 15-3,0,Ignored,0,2023-05-08,Atlantic Coast D I College Womens Regionals 2022,1,15,3,600,12,504.17,1220.56,1104.17,1220.56,0,0,Liberty,26
117,Virginia Commonwealth,Win 15-1,10.42,Counts,0.0658,2023-05-08,Atlantic Coast D I College Womens Regionals 2022,1,15,1,600,14,768.41,1210.15,1368.4099999999999,1199.73,1368.4099999999999,90.04137799999998,Liberty,27
