OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
143,Illinois,Loss 2-7,-34.26,Counts,0.0898,2023-03-26,Illinois Invite,0,2,7,-600,-5,626.49,408.15,26.49000000000001,442.40999999999997,26.49000000000001,2.3788020000000007,Loyola-Chicago,1
213,Notre Dame-B,Loss 6-7,-47.63,Counts,0.1023,2023-03-26,Illinois Invite,0,6,7,-125,-1,81.16,421.52,-43.84,469.15,-43.84,-4.484832000000001,Loyola-Chicago,2
83,Marquette,Loss 5-11,4.22,Counts,0.11349999999999999,2023-03-26,Illinois Invite,0,5,11,-600,-6,1006.83,369.67,406.83000000000004,365.45,406.83000000000004,46.175205,Loyola-Chicago,3
213,Notre Dame-B,Win 11-4,39.36,Counts,0.11349999999999999,2023-03-27,Illinois Invite,1,11,4,600,7,81.16,334.53,681.16,295.16999999999996,681.16,77.31165999999999,Loyola-Chicago,4
155,Knox,Loss 5-10,-51.89,Counts,0.1099,2023-03-27,Illinois Invite,0,5,10,-573.9,-5,527.72,425.78,-46.17999999999995,477.66999999999996,-46.17999999999995,-5.0751819999999945,Loyola-Chicago,5
211,Washington University-B,Win 10-5,37.57,Counts,0.1099,2023-03-27,Illinois Invite,1,10,5,573.9,5,104.15,336.32,678.05,298.75,678.05,74.51769499999999,Loyola-Chicago,6
51,Chicago,Loss 6-8,87.73,Counts,0.1338,2023-04-23,Illinois D I College Womens CC 2022,0,6,8,-300.49,-2,1242.24,286.16,941.75,198.43,941.75,126.00615,Loyola-Chicago,7
231,DePaul,Win 9-3,0,Ignored,0,2023-04-23,Illinois D I College Womens CC 2022,1,9,3,600,6,226.11,373.89,826.11,373.89,0,0,Loyola-Chicago,8
143,Illinois,Loss 4-5,15.34,Counts,0.1073,2023-04-24,Illinois D I College Womens CC 2022,0,4,5,-125,-1,626.49,358.56,501.49,343.22,501.49,53.80987700000001,Loyola-Chicago,9
234,Illinois-Chicago,Win 7-2,0,Ignored,0,2023-04-24,Illinois D I College Womens CC 2022,1,7,2,600,5,303.15,373.89,903.15,373.89,0,0,Loyola-Chicago,10
143,Illinois,Loss 3-7,-47.29,Counts,0.1198,2023-04-30,Great Lakes D I College Womens Regionals 2022,0,3,7,-600,-4,626.49,421.18,26.49000000000001,468.47,26.49000000000001,3.1735020000000014,Loyola-Chicago,11
71,Northwestern,Loss 4-13,0,Ignored,0,2023-04-30,Great Lakes D I College Womens Regionals 2022,0,4,13,-600,-9,1086.61,373.89,486.6099999999999,373.89,0,0,Loyola-Chicago,12
73,Notre Dame,Loss 3-12,0,Ignored,0,2023-04-30,Great Lakes D I College Womens Regionals 2022,0,3,12,-600,-9,1070.39,373.89,470.3900000000001,373.89,0,0,Loyola-Chicago,13
29,Purdue,Loss 3-13,0,Ignored,0,2023-04-30,Great Lakes D I College Womens Regionals 2022,0,3,13,-600,-10,1473.48,373.89,873.48,373.89,0,0,Loyola-Chicago,14
