OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
120,Cedarville,Loss 1-6,-17.03,Counts,0.024300000000000002,2023-02-19,Commonwealth Cup Weekend 1,0,1,6,-600,-5,760.52,860.93,160.51999999999998,877.9599999999999,160.51999999999998,3.900636,Mary Washington,1
183,Florida-B,Win 10-1,3.23,Counts,0.0318,2023-02-19,Commonwealth Cup Weekend 1,1,10,1,600,9,342.29,840.68,942.29,837.4499999999999,942.29,29.964822,Mary Washington,2
173,Michigan-B,Loss 3-5,-20.93,Counts,0.0236,2023-02-19,Commonwealth Cup Weekend 1,0,3,5,-418.57,-2,395.97,864.84,-22.599999999999966,885.77,-22.599999999999966,-0.5333599999999992,Mary Washington,3
189,Virginia-B,Win 6-4,-4.29,Counts,0.0264,2023-02-19,Commonwealth Cup Weekend 1,1,6,4,365.61,2,320.06,848.19,685.6700000000001,852.48,685.6700000000001,18.101688000000003,Mary Washington,4
103,George Mason,Loss 4-8,-15.36,Counts,0.028900000000000002,2023-02-20,Commonwealth Cup Weekend 1,0,4,8,-564.81,-4,892.56,859.26,327.75,874.62,327.75,9.471975,Mary Washington,5
115,Georgetown,Loss 2-4,-11.76,Counts,0.0204,2023-02-20,Commonwealth Cup Weekend 1,0,2,4,-496.16,-2,775.98,855.67,279.82,867.43,279.82,5.708328,Mary Washington,6
63,Duke,Win 8-4,25.85,Counts,0.028900000000000002,2023-02-20,Commonwealth Cup Weekend 1,1,8,4,564.81,4,1147.99,818.05,1712.8,792.1999999999999,1712.8,49.49992,Mary Washington,7
128,George Washington,Win 15-2,24.65,Counts,0.051399999999999994,2023-04-02,Atlantic Coast Open,1,15,2,600,13,698.73,819.25,1298.73,794.6,1298.73,66.75472199999999,Mary Washington,8
70,Cornell,Win 10-7,33.4,Counts,0.048600000000000004,2023-04-02,Atlantic Coast Open,1,10,7,389.67,3,1107.62,810.5,1497.29,777.1,1497.29,72.76829400000001,Mary Washington,9
196,Cornell-B,Win 13-3,0,Ignored,0,2023-04-02,Atlantic Coast Open,1,13,3,600,10,231.7,843.9,831.7,843.9,0,0,Mary Washington,10
164,Richmond,Win 11-4,11.09,Counts,0.0472,2023-04-02,Atlantic Coast Open,1,11,4,600,7,467.86,832.81,1067.8600000000001,821.7199999999999,1067.8600000000001,50.402992000000005,Mary Washington,11
103,George Mason,Loss 6-9,-17.71,Counts,0.045700000000000005,2023-04-03,Atlantic Coast Open,0,6,9,-418.57,-3,892.56,861.61,473.98999999999995,879.32,473.98999999999995,21.661343,Mary Washington,12
70,Cornell,Loss 4-9,-14.94,Counts,0.0425,2023-04-03,Atlantic Coast Open,0,4,9,-600,-5,1107.62,858.84,507.6199999999999,873.7800000000001,507.6199999999999,21.573849999999997,Mary Washington,13
119,Catholic,Win 8-6,12.04,Counts,0.0525,2023-04-23,Atlantic Coast D III College Womens CC 2022,1,8,6,300.49,2,760.72,831.87,1061.21,819.83,1061.21,55.713525,Mary Washington,14
228,Elon,Win 11-2,0,Ignored,0,2023-04-23,Atlantic Coast D III College Womens CC 2022,1,11,2,600,9,113.74,843.9,713.74,843.9,0,0,Mary Washington,15
164,Richmond,Win 7-5,-2.45,Counts,0.048600000000000004,2023-04-23,Atlantic Coast D III College Womens CC 2022,1,7,5,328.14,2,467.86,846.35,796,848.8000000000001,796,38.6856,Mary Washington,16
119,Catholic,Win 11-3,30.72,Counts,0.056100000000000004,2023-04-24,Atlantic Coast D III College Womens CC 2022,1,11,3,600,8,760.72,813.18,1360.72,782.4599999999999,1360.72,76.336392,Mary Washington,17
228,Elon,Win 9-0,0,Ignored,0,2023-04-24,Atlantic Coast D III College Womens CC 2022,1,9,0,600,9,113.74,843.9,713.74,843.9,0,0,Mary Washington,18
65,Haverford,Loss 7-15,-25.47,Counts,0.077,2023-05-21,2022 D III College Championships,0,7,15,-600,-8,1138.76,869.37,538.76,894.84,538.76,41.484519999999996,Mary Washington,19
91,Skidmore,Loss 7-8,-0.17,Counts,0.0684,2023-05-21,2022 D III College Championships,0,7,8,-125,-1,966.62,844.07,841.62,844.24,841.62,57.566808,Mary Washington,20
23,Carleton College-Eclipse,Loss 9-13,21.47,Counts,0.077,2023-05-21,2022 D III College Championships,0,9,13,-418.57,-4,1519.75,822.43,1101.18,800.9599999999999,1101.18,84.79086000000001,Mary Washington,21
155,Knox,Win 8-7,-14.05,Counts,0.0684,2023-05-22,2022 D III College Championships,1,8,7,125,1,527.72,857.95,652.72,872,652.72,44.646048,Mary Washington,22
172,Lewis & Clark,Win 8-5,0.72,Counts,0.0637,2023-05-22,2022 D III College Championships,1,8,5,453.6,3,400.91,843.18,854.51,842.4599999999999,854.51,54.432287,Mary Washington,23
124,Occidental,Loss 7-8,-18.15,Counts,0.0684,2023-05-23,2022 D III College Championships,0,7,8,-125,-1,721.86,862.05,596.86,880.1999999999999,596.86,40.825224000000006,Mary Washington,24
