OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
24,Ohio,Loss 5-9,4.69,Counts,0.06,2023-03-26,Rodeo,0,5,9,-529.06,-4,1505.49,898.38,976.4300000000001,893.6899999999999,976.4300000000001,58.5858,Massachusetts,1
56,Liberty,Loss 6-8,1.09,Counts,0.06,2023-03-26,Rodeo,0,6,8,-300.49,-2,1220.56,901.98,920.0699999999999,900.89,920.0699999999999,55.20419999999999,Massachusetts,2
31,SUNY-Binghamton,Loss 2-13,-3.85,Counts,0.0699,2023-03-26,Rodeo,0,2,13,-600,-11,1451.86,906.91,851.8599999999999,910.76,851.8599999999999,59.545013999999995,Massachusetts,3
45,Tennessee,Loss 8-11,2.54,Counts,0.0699,2023-03-26,Rodeo,0,8,11,-365.61,-3,1302.41,900.53,936.8000000000001,897.99,936.8000000000001,65.48232,Massachusetts,4
152,North Carolina-B,Win 11-7,8.2,Counts,0.0681,2023-03-27,Rodeo,1,11,7,466.89,4,548.48,894.86,1015.37,886.66,1015.37,69.14669699999999,Massachusetts,5
99,Vermont-B,Loss 6-9,-27.32,Counts,0.0621,2023-03-27,Rodeo,0,6,9,-418.57,-3,909.32,930.38,490.75000000000006,957.7,490.75000000000006,30.475575000000006,Massachusetts,6
26,Brown,Loss 6-15,-0.11,Counts,0.0741,2023-04-02,Northeast Classic,0,6,15,-600,-9,1501.72,903.17,901.72,903.28,901.72,66.817452,Massachusetts,7
91,Skidmore,Win 15-2,53.11,Counts,0.0741,2023-04-02,Northeast Classic,1,15,2,600,13,966.62,849.96,1566.62,796.85,1566.62,116.086542,Massachusetts,8
31,SUNY-Binghamton,Loss 5-15,-4.1,Counts,0.0741,2023-04-02,Northeast Classic,0,5,15,-600,-10,1451.86,907.16,851.8599999999999,911.26,851.8599999999999,63.12282599999999,Massachusetts,9
26,Brown,Loss 6-12,1.7,Counts,0.081,2023-04-16,Greater New England D I College Womens CC 2022,0,6,12,-579.31,-6,1501.72,901.36,922.4100000000001,899.66,922.4100000000001,74.71521000000001,Massachusetts,10
43,Dartmouth,Loss 7-11,-3.72,Counts,0.081,2023-04-16,Greater New England D I College Womens CC 2022,0,7,11,-466.89,-4,1327.67,906.79,860.7800000000001,910.51,860.7800000000001,69.72318000000001,Massachusetts,11
167,Rhode Island,Win 13-6,13.2,Counts,0.0832,2023-04-16,Greater New England D I College Womens CC 2022,1,13,6,600,7,448.52,889.87,1048.52,876.67,1048.52,87.236864,Massachusetts,12
90,New Hampshire,Loss 7-9,-16.08,Counts,0.07629999999999999,2023-04-17,Greater New England D I College Womens CC 2022,0,7,9,-279.34,-2,987.85,919.14,708.51,935.22,708.51,54.059312999999996,Massachusetts,13
74,McGill,Loss 4-8,-28.8,Counts,0.0661,2023-04-17,Greater New England D I College Womens CC 2022,0,4,8,-564.81,-4,1061,931.86,496.19000000000005,960.66,496.19000000000005,32.798159000000005,Massachusetts,14
