OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
191,Indiana,Loss 3-6,-27.32,Counts,0.0679,2023-03-05,Huckleberry Flick 2022,0,3,6,-546.69,-3,297.14,152.96,-249.55000000000007,180.28,-249.55000000000007,-16.944445000000005,Miami (Ohio),1
135,Dayton,Loss 2-9,-7.04,Counts,0.0816,2023-03-05,Huckleberry Flick 2022,0,2,9,-600,-7,646.33,132.68,46.33000000000004,139.72,46.33000000000004,3.7805280000000034,Miami (Ohio),2
229,Wooster,Win 8-6,1.33,Counts,0.08470000000000001,2023-03-05,Huckleberry Flick 2022,1,8,6,300.49,2,160.5,124.31,460.99,122.98,460.99,39.04585300000001,Miami (Ohio),3
191,Indiana,Loss 1-9,-38.06,Counts,0.0816,2023-03-06,Huckleberry Flick 2022,0,1,9,-600,-8,297.14,163.7,-302.86,201.76,-302.86,-24.713376000000004,Miami (Ohio),4
135,Dayton,Loss 1-11,-7.89,Counts,0.09050000000000001,2023-03-06,Huckleberry Flick 2022,0,1,11,-600,-10,646.33,133.53,46.33000000000004,141.42,46.33000000000004,4.192865000000004,Miami (Ohio),5
182,Georgia Tech-B,Win 6-4,48.28,Counts,0.0758,2023-03-12,Mash Up,1,6,4,365.61,2,348.71,77.35,714.3199999999999,29.069999999999993,714.3199999999999,54.145456,Miami (Ohio),6
167,Rhode Island,Win 5-4,34.7,Counts,0.0719,2023-03-12,Mash Up,1,5,4,125,1,448.52,90.93,573.52,56.230000000000004,573.52,41.236088,Miami (Ohio),7
182,Georgia Tech-B,Win 7-3,67.51,Counts,0.0758,2023-03-13,Mash Up,1,7,3,600,4,348.71,58.13,948.71,-9.380000000000003,948.71,71.91221800000001,Miami (Ohio),8
167,Rhode Island,Loss 5-12,-30.89,Counts,0.1003,2023-03-13,Mash Up,0,5,12,-600,-7,448.52,156.52,-151.48000000000002,187.41000000000003,-151.48000000000002,-15.193444000000001,Miami (Ohio),9
100,Case Western Reserve,Loss 2-9,0,Ignored,0,2023-04-23,Ohio D I College Womens CC 2022,0,2,9,-600,-7,905.86,125.64,305.86,125.64,0,0,Miami (Ohio),10
61,Ohio State,Loss 1-15,0,Ignored,0,2023-04-23,Ohio D I College Womens CC 2022,0,1,15,-600,-14,1173.55,125.64,573.55,125.64,0,0,Miami (Ohio),11
NA,Cincinnati,Loss 4-9,-30.6,Counts,0.1222,2023-04-24,Ohio D I College Womens CC 2022,0,4,9,-600,-5,505.9,156.24,-94.10000000000002,186.84,-94.10000000000002,-11.499020000000003,Miami (Ohio),12
135,Dayton,Loss 1-13,-13.75,Counts,0.1478,2023-04-24,Ohio D I College Womens CC 2022,0,1,13,-600,-12,646.33,139.39,46.33000000000004,153.14,46.33000000000004,6.847574000000005,Miami (Ohio),13
