OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
12,Brigham Young,Loss 8-13,-3.1,Counts,0.0317,2023-02-12,Queen City Tune Up 2022,0,8,13,-496.16,-5,1808.7,1410.45,1312.54,1413.55,1312.54,41.607518,Michigan,1
49,Columbia,Win 8-7,-0.32,Counts,0.0282,2023-02-12,Queen City Tune Up 2022,1,8,7,125,1,1271.44,1407.66,1396.44,1407.98,1396.44,39.379608,Michigan,2
1,North Carolina,Loss 4-11,0,Ignored,0,2023-02-12,Queen City Tune Up 2022,0,4,11,-600,-7,2343.45,1407.34,1743.4499999999998,1407.34,0,0,Michigan,3
24,Ohio,Loss 7-8,-0.78,Counts,0.0282,2023-02-12,Queen City Tune Up 2022,0,7,8,-125,-1,1505.49,1408.12,1380.49,1408.8999999999999,1380.49,38.929818,Michigan,4
47,Florida,Win 8-7,0.19,Counts,0.0282,2023-02-13,Queen City Tune Up 2022,1,8,7,125,1,1288.97,1407.15,1413.97,1406.96,1413.97,39.873954,Michigan,5
61,Ohio State,Loss 8-11,-19.63,Counts,0.0317,2023-02-13,Queen City Tune Up 2022,0,8,11,-365.61,-3,1173.55,1426.97,807.9399999999999,1446.6000000000001,807.9399999999999,25.611697999999997,Michigan,6
20,Virginia,Win 9-6,17.41,Counts,0.0282,2023-02-13,Queen City Tune Up 2022,1,9,6,418.57,3,1589.46,1389.93,2008.03,1372.52,2008.03,56.626446,Michigan,7
10,Vermont,Loss 3-12,-2.38,Counts,0.0304,2023-02-13,Queen City Tune Up 2022,0,3,12,-600,-9,1931.61,1409.72,1331.61,1412.1000000000001,1331.61,40.480943999999994,Michigan,8
42,North Carolina State,Win 11-7,13.98,Counts,0.0346,2023-02-26,Commonwealth Cup Weekend 2,1,11,7,466.89,4,1329.97,1393.37,1796.8600000000001,1379.3899999999999,1796.8600000000001,62.171356,Michigan,9
71,Northwestern,Win 15-3,10.31,Counts,0.0356,2023-02-26,Commonwealth Cup Weekend 2,1,15,3,600,12,1086.61,1397.04,1686.61,1386.73,1686.61,60.043316,Michigan,10
24,Ohio,Win 8-6,12.56,Counts,0.0305,2023-02-26,Commonwealth Cup Weekend 2,1,8,6,300.49,2,1505.49,1394.78,1805.98,1382.22,1805.98,55.08239,Michigan,11
13,Pittsburgh,Loss 7-10,-2.71,Counts,0.0337,2023-02-26,Commonwealth Cup Weekend 2,0,7,10,-389.67,-3,1719.32,1410.05,1329.6499999999999,1412.76,1329.6499999999999,44.809205,Michigan,12
51,Chicago,Win 14-10,8.62,Counts,0.0356,2023-02-27,Commonwealth Cup Weekend 2,1,14,10,398.7,4,1242.24,1398.72,1640.94,1390.1000000000001,1640.94,58.417464,Michigan,13
1,North Carolina,Loss 4-15,0,Ignored,0,2023-02-27,Commonwealth Cup Weekend 2,0,4,15,-600,-11,2343.45,1407.34,1743.4499999999998,1407.34,0,0,Michigan,14
41,Colorado College,Loss 10-15,-23.34,Counts,0.042300000000000004,2023-03-19,Womens Centex,0,10,15,-453.6,-5,1332.86,1430.68,879.2599999999999,1454.02,879.2599999999999,37.192698,Michigan,15
43,Dartmouth,Win 12-10,7,Counts,0.042300000000000004,2023-03-19,Womens Centex,1,12,10,238.12,2,1327.67,1400.34,1565.79,1393.34,1565.79,66.232917,Michigan,16
19,Texas,Loss 9-10,3.64,Counts,0.042300000000000004,2023-03-19,Womens Centex,0,9,10,-125,-1,1614.63,1403.71,1489.63,1400.07,1489.63,63.01134900000001,Michigan,17
51,Chicago,Win 9-5,13.72,Counts,0.0363,2023-03-20,Womens Centex,1,9,5,529.06,4,1242.24,1393.62,1771.3,1379.8999999999999,1771.3,64.29818999999999,Michigan,18
14,Florida State,Loss 5-12,-12.66,Counts,0.0406,2023-03-20,Womens Centex,0,5,12,-600,-7,1708.29,1420,1108.29,1432.66,1108.29,44.996573999999995,Michigan,19
21,Northeastern,Loss 5-9,-14.64,Counts,0.0363,2023-03-20,Womens Centex,0,5,9,-529.06,-4,1548.06,1421.98,1019,1436.6200000000001,1019,36.9897,Michigan,20
156,Kentucky,Win 13-5,0,Ignored,0,2023-04-09,Eastern Great Lakes D I College Womens CC 2022,1,13,5,600,8,522.39,1407.34,1122.3899999999999,1407.34,0,0,Michigan,21
111,Michigan State,Win 13-8,-5.48,Counts,0.050300000000000004,2023-04-09,Eastern Great Lakes D I College Womens CC 2022,1,13,8,496.16,5,807.8,1412.82,1303.96,1418.3,1303.96,65.58918800000001,Michigan,22
29,Purdue,Loss 4-12,-27.1,Counts,0.0483,2023-04-10,Eastern Great Lakes D I College Womens CC 2022,0,4,12,-600,-8,1473.48,1434.44,873.48,1461.54,873.48,42.189084,Michigan,23
51,Chicago,Win 9-7,6.64,Counts,0.054900000000000004,2023-04-30,Great Lakes D I College Womens Regionals 2022,1,9,7,279.34,2,1242.24,1400.7,1521.58,1394.06,1521.58,83.53474200000001,Michigan,24
54,Grand Valley State,Win 11-7,17.82,Counts,0.0583,2023-04-30,Great Lakes D I College Womens Regionals 2022,1,11,7,466.89,4,1228.56,1389.52,1695.4499999999998,1371.7,1695.4499999999998,98.84473499999999,Michigan,25
231,DePaul,Win 13-2,0,Ignored,0,2023-04-30,Great Lakes D I College Womens Regionals 2022,1,13,2,600,11,226.11,1407.34,826.11,1407.34,0,0,Michigan,26
111,Michigan State,Win 12-7,-5.03,Counts,0.0599,2023-04-30,Great Lakes D I College Womens Regionals 2022,1,12,7,520.51,5,807.8,1412.37,1328.31,1417.3999999999999,1328.31,79.565769,Michigan,27
143,Illinois,Win 15-3,0,Ignored,0,2023-05-01,Great Lakes D I College Womens Regionals 2022,1,15,3,600,12,626.49,1407.34,1226.49,1407.34,0,0,Michigan,28
54,Grand Valley State,Win 11-5,24.48,Counts,0.054900000000000004,2023-05-01,Great Lakes D I College Womens Regionals 2022,1,11,5,600,6,1228.56,1382.86,1828.56,1358.3799999999999,1828.56,100.387944,Michigan,29
29,Purdue,Loss 7-10,-19.42,Counts,0.056600000000000004,2023-05-01,Great Lakes D I College Womens Regionals 2022,0,7,10,-389.67,-3,1473.48,1426.76,1083.81,1446.18,1083.81,61.343646,Michigan,30
