OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
121,Saint Louis,Win 10-1,27.66,Counts,0.0462,2023-03-05,Midwest Throwdown 2022,1,10,1,600,9,750.63,751.85,1350.63,724.19,1350.63,62.399106,Missouri,1
155,Knox,Win 11-2,17.76,Counts,0.048499999999999995,2023-03-05,Midwest Throwdown 2022,1,11,2,600,9,527.72,761.75,1127.72,743.99,1127.72,54.694419999999994,Missouri,2
200,Wisconsin-B,Win 9-0,1.75,Counts,0.0437,2023-03-05,Midwest Throwdown 2022,1,9,0,600,9,217.67,777.76,817.67,776.01,817.67,35.732179,Missouri,3
116,Wisconsin-Eau Claire,Win 9-3,27.05,Counts,0.0437,2023-03-05,Midwest Throwdown 2022,1,9,3,600,6,770.8,752.46,1370.8,725.4100000000001,1370.8,59.903960000000005,Missouri,4
64,Iowa,Loss 3-10,-11.54,Counts,0.0462,2023-03-06,Midwest Throwdown 2022,0,3,10,-600,-7,1141.3,791.05,541.3,802.5899999999999,541.3,25.008059999999997,Missouri,5
121,Saint Louis,Win 9-8,5.06,Counts,0.05,2023-03-06,Midwest Throwdown 2022,1,9,8,125,1,750.63,774.45,875.63,769.3900000000001,875.63,43.7815,Missouri,6
106,Michigan Tech,Loss 5-9,-21.76,Counts,0.0454,2023-03-06,Midwest Throwdown 2022,0,5,9,-529.06,-4,850.86,801.27,321.80000000000007,823.03,321.80000000000007,14.609720000000005,Missouri,7
62,Washington University,Loss 9-13,-2.16,Counts,0.0748,2023-04-16,Ozarks D I College Womens CC 2022,0,9,13,-418.57,-4,1171.36,781.67,752.79,783.8299999999999,752.79,56.308692,Missouri,8
186,Missouri State,Win 14-2,11.72,Counts,0.0748,2023-04-16,Ozarks D I College Womens CC 2022,1,14,2,600,12,324.48,767.79,924.48,756.0699999999999,924.48,69.151104,Missouri,9
162,Oklahoma,Win 13-2,24.31,Counts,0.0748,2023-04-16,Ozarks D I College Womens CC 2022,1,13,2,600,11,480.27,755.2,1080.27,730.8900000000001,1080.27,80.804196,Missouri,10
66,Arkansas,Loss 4-11,-17.82,Counts,0.06860000000000001,2023-04-17,Ozarks D I College Womens CC 2022,0,4,11,-600,-7,1137.7,797.33,537.7,815.1500000000001,537.7,36.88622000000001,Missouri,11
121,Saint Louis,Win 8-7,6.84,Counts,0.0664,2023-04-17,Ozarks D I College Womens CC 2022,1,8,7,125,1,750.63,772.67,875.63,765.8299999999999,875.63,58.141832,Missouri,12
2,Colorado,Loss 0-13,0,Ignored,0,2023-04-30,South Central D I College Womens Regionals 2022,0,0,13,-600,-13,2239.23,779.51,1639.23,779.51,0,0,Missouri,13
62,Washington University,Loss 6-15,-19.07,Counts,0.0839,2023-04-30,South Central D I College Womens Regionals 2022,0,6,15,-600,-9,1171.36,798.58,571.3599999999999,817.6500000000001,571.3599999999999,47.93710399999999,Missouri,14
77,Texas State,Loss 3-9,-24.4,Counts,0.0694,2023-04-30,South Central D I College Womens Regionals 2022,0,3,9,-600,-6,1052.55,803.9,452.54999999999995,828.3,452.54999999999995,31.406969999999998,Missouri,15
121,Saint Louis,Loss 7-11,-44.11,Counts,0.0817,2023-05-01,South Central D I College Womens Regionals 2022,0,7,11,-466.89,-4,750.63,823.62,283.74,867.73,283.74,23.181558,Missouri,16
126,Sam Houston State,Win 10-8,17.11,Counts,0.0817,2023-05-01,South Central D I College Womens Regionals 2022,1,10,8,262.67,2,709.17,762.4,971.8399999999999,745.29,971.8399999999999,79.39932799999998,Missouri,17
