OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
59,St. Olaf,Loss 2-7,-4.09,Counts,0.038,2023-03-05,Midwest Throwdown 2022,0,2,7,-600,-5,NA,686.56,NA,690.65,NA,NA,Nebraska,1
153,Minnesota-Duluth,Win 8-7,-0.93,Counts,0.04650000000000001,2023-03-05,Midwest Throwdown 2022,1,8,7,125,1,538.31,683.4,663.31,684.3299999999999,663.31,30.843915000000003,Nebraska,2
161,Wisconsin-Oshkosh,Win 8-4,16.24,Counts,0.0416,2023-03-05,Midwest Throwdown 2022,1,8,4,564.81,4,491.76,666.23,1056.57,649.99,1056.57,43.953312,Nebraska,3
143,Illinois,Loss 5-8,-23.06,Counts,0.0433,2023-03-06,Midwest Throwdown 2022,0,5,8,-453.6,-3,626.49,705.53,172.89,728.5899999999999,172.89,7.486136999999999,Nebraska,4
211,Washington University-B,Win 7-4,-3.41,Counts,0.0398,2023-03-06,Midwest Throwdown 2022,1,7,4,496.16,3,104.15,685.88,600.3100000000001,689.29,600.3100000000001,23.892338000000002,Nebraska,5
153,Minnesota-Duluth,Win 8-7,-0.93,Counts,0.04650000000000001,2023-03-06,Midwest Throwdown 2022,1,8,7,125,1,538.31,683.4,663.31,684.3299999999999,663.31,30.843915000000003,Nebraska,6
33,Minnesota,Win 5-4,38.63,Counts,0.042800000000000005,2023-03-26,Old Capital Open 2022,1,5,4,125,1,1420.67,643.84,1545.67,605.21,1545.67,66.15467600000001,Nebraska,7
150,Truman State,Loss 5-6,-11.93,Counts,0.047400000000000005,2023-03-26,Old Capital Open 2022,0,5,6,-125,-1,567.5,694.4,442.5,706.3299999999999,442.5,20.974500000000003,Nebraska,8
64,Iowa,Loss 3-10,-8.12,Counts,0.054400000000000004,2023-03-27,Old Capital Open 2022,0,3,10,-600,-7,1141.3,690.59,541.3,698.71,541.3,29.44672,Nebraska,9
68,Kansas,Win 7-6,30.65,Counts,0.051500000000000004,2023-03-27,Old Capital Open 2022,1,7,6,125,1,1122.06,651.82,1247.06,621.1700000000001,1247.06,64.22359,Nebraska,10
35,Colorado State,Loss 1-13,0,Ignored,0,2023-03-27,Old Capital Open 2022,0,1,13,-600,-12,1405.77,682.47,805.77,682.47,0,0,Nebraska,11
177,Minnesota-B,Win 8-3,15.43,Counts,0.0484,2023-03-27,Old Capital Open 2022,1,8,3,600,5,385.73,667.04,985.73,651.61,985.73,47.709331999999996,Nebraska,12
75,Iowa State,Loss 10-13,3.34,Counts,0.0699,2023-04-09,Western North Central D I College Womens CC 2022,0,10,13,-328.14,-3,1055.14,679.12,727.0000000000001,675.78,727.0000000000001,50.81730000000001,Nebraska,13
3,Carleton College,Loss 3-13,0,Ignored,0,2023-04-09,Western North Central D I College Womens CC 2022,0,3,13,-600,-10,2173.45,682.47,1573.4499999999998,682.47,0,0,Nebraska,14
64,Iowa,Loss 6-13,-10.6,Counts,0.0699,2023-04-10,Western North Central D I College Womens CC 2022,0,6,13,-600,-7,1141.3,693.07,541.3,703.6700000000001,541.3,37.83687,Nebraska,15
177,Minnesota-B,Win 11-10,-12.9,Counts,0.0699,2023-04-10,Western North Central D I College Womens CC 2022,1,11,10,125,1,385.73,695.37,510.73,708.27,510.73,35.700027000000006,Nebraska,16
153,Minnesota-Duluth,Win 9-7,9.26,Counts,0.0641,2023-04-10,Western North Central D I College Womens CC 2022,1,9,7,279.34,2,538.31,673.21,817.6499999999999,663.95,817.6499999999999,52.411364999999996,Nebraska,17
64,Iowa,Loss 3-12,-12.23,Counts,0.0797,2023-04-30,North Central D I College Womens Regionals 2022,0,3,12,-600,-9,1141.3,694.7,541.3,706.9300000000001,541.3,43.14160999999999,Nebraska,18
83,Marquette,Loss 4-10,-21.57,Counts,0.0726,2023-04-30,North Central D I College Womens Regionals 2022,0,4,10,-600,-6,1006.83,704.04,406.83000000000004,725.61,406.83000000000004,29.535858,Nebraska,19
161,Wisconsin-Oshkosh,Win 8-7,-5.24,Counts,0.0738,2023-04-30,North Central D I College Womens Regionals 2022,1,8,7,125,1,491.76,687.71,616.76,692.95,616.76,45.516888,Nebraska,20
33,Minnesota,Loss 2-12,0,Ignored,0,2023-05-01,North Central D I College Womens Regionals 2022,0,2,12,-600,-10,1420.67,682.47,820.6700000000001,682.47,0,0,Nebraska,21
