OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
57,Santa Clara,Loss 3-10,-2.61,Counts,0.0363,2023-02-05,Stanford Open 2022,0,3,10,-600,-7,1214.91,686.84,614.9100000000001,689.45,614.9100000000001,22.321233000000003,Nevada-Reno,1
124,Occidental,Win 7-5,12.49,Counts,0.033,2023-02-05,Stanford Open 2022,1,7,5,328.14,2,721.86,671.74,1050,659.25,1050,34.65,Nevada-Reno,2
94,UCSC,Loss 2-10,-12.46,Counts,0.0363,2023-02-05,Stanford Open 2022,0,2,10,-600,-8,953.42,696.69,353.41999999999996,709.1500000000001,353.41999999999996,12.829145999999998,Nevada-Reno,3
160,Sonoma State,Loss 6-9,-23.36,Counts,0.0369,2023-02-06,Stanford Open 2022,0,6,9,-418.57,-3,493.28,707.59,74.70999999999998,730.95,74.70999999999998,2.7567989999999996,Nevada-Reno,4
170,Stanford-B,Win 6-5,-4.52,Counts,0.0316,2023-02-06,Stanford Open 2022,1,6,5,125,1,420.77,688.75,545.77,693.27,545.77,17.246332000000002,Nevada-Reno,5
187,UCLA-B,Win 6-5,-7.7,Counts,0.0316,2023-02-06,Stanford Open 2022,1,6,5,125,1,323.32,691.93,448.32,699.63,448.32,14.166912000000002,Nevada-Reno,6
176,Chico State,Win 10-2,12.85,Counts,0.0407,2023-02-19,Santa Clara RAGE Ultimate Tournament,1,10,2,600,8,386.79,671.38,986.79,658.53,986.79,40.162352999999996,Nevada-Reno,7
113,Claremont,Loss 5-6,-0.83,Counts,0.0355,2023-02-19,Santa Clara RAGE Ultimate Tournament,0,5,6,-125,-1,786.71,685.06,661.71,685.89,661.71,23.490705,Nevada-Reno,8
57,Santa Clara,Loss 5-9,0.07,Counts,0.04,2023-02-20,Santa Clara RAGE Ultimate Tournament,0,5,9,-529.06,-4,1214.91,684.16,685.8500000000001,684.0899999999999,685.8500000000001,27.434000000000005,Nevada-Reno,9
187,UCLA-B,Win 8-4,7.85,Counts,0.0371,2023-02-20,Santa Clara RAGE Ultimate Tournament,1,8,4,564.81,4,323.32,676.38,888.1299999999999,668.53,888.1299999999999,32.949622999999995,Nevada-Reno,10
94,UCSC,Loss 2-13,-16.18,Counts,0.0466,2023-02-20,Santa Clara RAGE Ultimate Tournament,0,2,13,-600,-11,953.42,700.41,353.41999999999996,716.5899999999999,353.41999999999996,16.469372,Nevada-Reno,11
27,California,Loss 4-12,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,0,4,12,-600,-8,1500.15,684.23,900.1500000000001,684.23,0,0,Nevada-Reno,12
8,Stanford,Loss 1-13,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,0,1,13,-600,-12,1985.87,684.23,1385.87,684.23,0,0,Nevada-Reno,13
176,Chico State,Win 10-6,14.48,Counts,0.0679,2023-04-16,NorCal D I College Womens CC 2022,1,10,6,496.16,4,386.79,669.75,882.95,655.27,882.95,59.952305,Nevada-Reno,14
118,Humboldt State,Win 11-9,26.18,Counts,0.07400000000000001,2023-04-17,NorCal D I College Womens CC 2022,1,11,9,249.21,2,762.56,658.05,1011.77,631.87,1011.77,74.87098,Nevada-Reno,15
160,Sonoma State,Win 10-3,28.28,Counts,0.0647,2023-04-17,NorCal D I College Womens CC 2022,1,10,3,600,7,493.28,655.95,1093.28,627.6700000000001,1093.28,70.735216,Nevada-Reno,16
94,UCSC,Loss 5-10,-21.45,Counts,0.0658,2023-04-17,NorCal D I College Womens CC 2022,0,5,10,-573.9,-5,953.42,705.69,379.52,727.1400000000001,379.52,24.972416,Nevada-Reno,17
131,Arizona,Win 11-7,41.77,Counts,0.0857,2023-05-07,Southwest D I College Womens Regionals 2022,1,11,7,466.89,4,663.02,642.47,1129.9099999999999,600.7,1129.9099999999999,96.83328699999998,Nevada-Reno,18
11,California-Davis,Loss 1-13,0,Ignored,0,2023-05-07,Southwest D I College Womens Regionals 2022,0,1,13,-600,-12,1897.16,684.23,1297.16,684.23,0,0,Nevada-Reno,19
57,Santa Clara,Loss 5-13,-6.69,Counts,0.08800000000000001,2023-05-07,Southwest D I College Womens Regionals 2022,0,5,13,-600,-8,1214.91,690.92,614.9100000000001,697.61,614.9100000000001,54.11208000000001,Nevada-Reno,20
18,UCLA,Loss 4-13,0,Ignored,0,2023-05-07,Southwest D I College Womens Regionals 2022,0,4,13,-600,-9,1618.64,684.23,1018.6400000000001,684.23,0,0,Nevada-Reno,21
134,Arizona State,Loss 4-8,-45.29,Counts,0.07,2023-05-08,Southwest D I College Womens Regionals 2022,0,4,8,-564.81,-4,647.05,729.52,82.24000000000001,774.81,82.24000000000001,5.756800000000001,Nevada-Reno,22
112,California-San Diego-B,Loss 7-8,-1.16,Counts,0.0782,2023-05-08,Southwest D I College Womens Regionals 2022,0,7,8,-125,-1,795.6,685.39,670.6,686.55,670.6,52.440920000000006,Nevada-Reno,23
