OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
202,Rutgers,Loss 5-6,-13.97,Counts,0.053899999999999997,2023-03-05,Philly Special,0,5,6,-125,-1,201.83,336.14,76.83000000000001,350.11,76.83000000000001,4.1411370000000005,Northeastern-B,1
227,SUNY-Albany,Win 9-5,6.5,Counts,0.0608,2023-03-05,Philly Special,1,9,5,529.06,4,106.46,315.66,635.52,309.16,635.52,38.639616,Northeastern-B,2
235,Temple -B,Win 11-3,0,Ignored,0,2023-03-05,Philly Special,1,11,3,600,8,351.94,322.17,951.94,322.17,0,0,Northeastern-B,3
202,Rutgers,Loss 2-7,-39.01,Counts,0.051399999999999994,2023-03-06,Philly Special,0,2,7,-600,-5,201.83,361.18,-398.16999999999996,400.19,-398.16999999999996,-20.465937999999994,Northeastern-B,4
108,Connecticut,Loss 2-10,-5.37,Counts,0.061900000000000004,2023-03-06,Philly Special,0,2,10,-600,-8,840.71,327.54,240.71000000000004,332.91,240.71000000000004,14.899949000000003,Northeastern-B,5
227,SUNY-Albany,Win 10-2,11.3,Counts,0.061900000000000004,2023-03-06,Philly Special,1,10,2,600,8,106.46,310.86,706.46,299.56,706.46,43.729874,Northeastern-B,6
122,Colby,Win 7-6,43.83,Counts,0.0738,2023-04-02,New England Open,1,7,6,125,1,747.13,278.34,872.13,234.51,872.13,64.36319400000001,Northeastern-B,7
163,Tufts-B,Loss 4-6,-14.39,Counts,0.0647,2023-04-02,New England Open,0,4,6,-365.61,-2,479.82,336.56,114.20999999999998,350.95,114.20999999999998,7.389386999999998,Northeastern-B,8
37,Wellesley,Loss 3-15,0,Ignored,0,2023-04-02,New England Open,0,3,15,-600,-12,1368.3,322.17,768.3,322.17,0,0,Northeastern-B,9
221,Boston University-B,Win 8-2,23.29,Counts,0.0694,2023-04-03,New England Open,1,8,2,600,6,34.38,298.87,634.38,275.58,634.38,44.025972,Northeastern-B,10
184,Bowdoin,Win 8-7,12.15,Counts,0.0793,2023-04-03,New England Open,1,8,7,125,1,338.32,310.01,463.32,297.86,463.32,36.741276,Northeastern-B,11
146,Stonehill,Loss 5-12,-30.56,Counts,0.08560000000000001,2023-04-03,New England Open,0,5,12,-600,-7,595.83,352.73,-4.169999999999959,383.29,-4.169999999999959,-0.35695199999999655,Northeastern-B,12
99,Vermont-B,Loss 1-10,-1.23,Counts,0.0875,2023-04-16,New England Dev College Womens CC 2022,0,1,10,-600,-9,909.32,323.4,309.32000000000005,324.63,309.32000000000005,27.065500000000004,Northeastern-B,13
197,Wellesley-B,Loss 4-5,-16.06,Counts,0.0689,2023-04-16,New England Dev College Womens CC 2022,0,4,5,-125,-1,230.18,338.23,105.18,354.29,105.18,7.246902,Northeastern-B,14
205,Brown-B,Win 9-6,26.1,Counts,0.08900000000000001,2023-04-17,New England Dev College Womens CC 2022,1,9,6,418.57,3,170.76,296.07,589.3299999999999,269.96999999999997,589.3299999999999,52.45037,Northeastern-B,15
99,Vermont-B,Loss 5-11,-1.3,Counts,0.0919,2023-04-17,New England Dev College Womens CC 2022,0,5,11,-600,-6,909.32,323.47,309.32000000000005,324.77000000000004,309.32000000000005,28.426508000000002,Northeastern-B,16
