OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
15,Georgia,Loss 3-10,0,Ignored,0,2023-02-12,Queen City Tune Up 2022,0,3,10,-600,-7,1707.34,1070.39,1107.34,1070.39,0,0,Notre Dame,1
10,Vermont,Loss 8-11,17.29,Counts,0.0337,2023-02-12,Queen City Tune Up 2022,0,8,11,-365.61,-3,1931.61,1053.1,1566,1035.81,1566,52.7742,Notre Dame,2
44,William & Mary,Loss 3-10,-10.44,Counts,0.029500000000000002,2023-02-12,Queen City Tune Up 2022,0,3,10,-600,-7,1326.51,1080.83,726.51,1091.27,726.51,21.432045000000002,Notre Dame,3
100,Case Western Reserve,Win 10-7,7.42,Counts,0.0319,2023-02-13,Queen City Tune Up 2022,1,10,7,389.67,3,905.86,1062.98,1295.53,1055.56,1295.53,41.327406999999994,Notre Dame,4
49,Columbia,Loss 4-8,-10.02,Counts,0.0268,2023-02-13,Queen City Tune Up 2022,0,4,8,-564.81,-4,1271.44,1080.41,706.6300000000001,1090.43,706.6300000000001,18.937684000000004,Notre Dame,5
24,Ohio,Loss 5-14,-5.75,Counts,0.0337,2023-02-13,Queen City Tune Up 2022,0,5,14,-600,-9,1505.49,1076.15,905.49,1081.9,905.49,30.515013,Notre Dame,6
195,South Florida,Win 6-0,0,Ignored,0,2023-03-12,Tally Classic XVI,1,6,0,600,6,243.9,1070.39,843.9,1070.39,0,0,Notre Dame,7
14,Florida State,Loss 3-11,0,Ignored,0,2023-03-12,Tally Classic XVI,0,3,11,-600,-8,1708.29,1070.39,1108.29,1070.39,0,0,Notre Dame,8
194,Florida Tech,Win 6-3,-8.21,Counts,0.0292,2023-03-12,Tally Classic XVI,1,6,3,546.69,3,251.26,1078.6,797.95,1086.81,797.95,23.300140000000003,Notre Dame,9
154,Harvard,Loss 4-5,-19.81,Counts,0.0292,2023-03-12,Tally Classic XVI,0,4,5,-125,-1,537.68,1090.2,412.67999999999995,1110.01,412.67999999999995,12.050256,Notre Dame,10
127,Jacksonville State,Win 11-8,0,Counts,0.0425,2023-03-13,Tally Classic XVI,1,11,8,365.61,3,704.84,1070.39,1070.45,1070.39,1070.45,45.494125000000004,Notre Dame,11
47,Florida,Win 8-6,19.64,Counts,0.0365,2023-03-13,Tally Classic XVI,1,8,6,300.49,2,1288.97,1050.75,1589.46,1031.11,1589.46,58.01529,Notre Dame,12
14,Florida State,Loss 8-14,4.52,Counts,0.0425,2023-03-13,Tally Classic XVI,0,8,14,-536.03,-6,1708.29,1065.87,1172.26,1061.35,1172.26,49.82105000000001,Notre Dame,13
177,Minnesota-B,Win 5-3,-8.5,Counts,0.030899999999999997,2023-03-26,Old Capital Open 2022,1,5,3,418.57,2,385.73,1078.89,804.3,1087.39,804.3,24.852869999999996,Notre Dame,14
75,Iowa State,Loss 5-7,-13.53,Counts,0.0379,2023-03-27,Old Capital Open 2022,0,5,7,-328.14,-2,1055.14,1083.92,727.0000000000001,1097.45,727.0000000000001,27.553300000000007,Notre Dame,15
68,Kansas,Win 9-4,26.76,Counts,0.0394,2023-03-27,Old Capital Open 2022,1,9,4,600,5,1122.06,1043.64,1722.06,1016.8800000000001,1722.06,67.84916399999999,Notre Dame,16
35,Colorado State,Loss 3-9,-10.87,Counts,0.0394,2023-03-27,Old Capital Open 2022,0,3,9,-600,-6,1405.77,1081.26,805.77,1092.1299999999999,805.77,31.747337999999996,Notre Dame,17
200,Wisconsin-B,Win 10-1,0,Ignored,0,2023-03-27,Old Capital Open 2022,1,10,1,600,9,217.67,1070.39,817.67,1070.39,0,0,Notre Dame,18
191,Indiana,Win 13-5,0,Ignored,0,2023-04-09,Eastern Great Lakes D I College Womens CC 2022,1,13,5,600,8,297.14,1070.39,897.14,1070.39,0,0,Notre Dame,19
156,Kentucky,Win 11-4,2.69,Counts,0.049100000000000005,2023-04-09,Eastern Great Lakes D I College Womens CC 2022,1,11,4,600,7,522.39,1067.71,1122.3899999999999,1065.02,1122.3899999999999,55.109349,Notre Dame,20
29,Purdue,Loss 8-9,14.83,Counts,0.0506,2023-04-09,Eastern Great Lakes D I College Womens CC 2022,0,8,9,-125,-1,1473.48,1055.56,1348.48,1040.73,1348.48,68.233088,Notre Dame,21
111,Michigan State,Win 11-5,17.43,Counts,0.049100000000000005,2023-04-10,Eastern Great Lakes D I College Womens CC 2022,1,11,5,600,6,807.8,1052.97,1407.8,1035.54,1407.8,69.12298,Notre Dame,22
143,Illinois,Win 11-3,9.68,Counts,0.0584,2023-04-30,Great Lakes D I College Womens Regionals 2022,1,11,3,600,8,626.49,1060.71,1226.49,1051.03,1226.49,71.627016,Notre Dame,23
71,Northwestern,Loss 7-9,-16.32,Counts,0.0584,2023-04-30,Great Lakes D I College Womens Regionals 2022,0,7,9,-279.34,-2,1086.61,1086.71,807.27,1103.03,807.27,47.144568,Notre Dame,24
29,Purdue,Loss 6-13,-13.39,Counts,0.0636,2023-04-30,Great Lakes D I College Womens Regionals 2022,0,6,13,-600,-7,1473.48,1083.78,873.48,1097.17,873.48,55.55332800000001,Notre Dame,25
