OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
160,Sonoma State,Win 8-2,15.86,Counts,0.040999999999999995,2023-02-05,Stanford Open 2022,1,8,2,600,6,493.28,706,1093.28,690.14,1093.28,44.824479999999994,Occidental,1
129,Nevada-Reno,Loss 5-7,-15.97,Counts,0.0418,2023-02-05,Stanford Open 2022,0,5,7,-328.14,-2,684.23,737.83,356.09000000000003,753.8000000000001,356.09000000000003,14.884562,Occidental,2
94,UCSC,Win 7-6,16.23,Counts,0.0435,2023-02-05,Stanford Open 2022,1,7,6,125,1,953.42,705.63,1078.42,689.4,1078.42,46.91127,Occidental,3
112,California-San Diego-B,Win 6-5,8.29,Counts,0.0401,2023-02-06,Stanford Open 2022,1,6,5,125,1,795.6,713.57,920.6,705.2800000000001,920.6,36.916059999999995,Occidental,4
57,Santa Clara,Loss 5-12,-5.69,Counts,0.050499999999999996,2023-02-06,Stanford Open 2022,0,5,12,-600,-7,1214.91,727.55,614.9100000000001,733.24,614.9100000000001,31.052955,Occidental,5
57,Santa Clara,Loss 3-13,-5.94,Counts,0.0526,2023-02-06,Stanford Open 2022,0,3,13,-600,-10,1214.91,727.8,614.9100000000001,733.74,614.9100000000001,32.344266000000005,Occidental,6
102,Berry,Loss 10-12,-8.47,Counts,0.1252,2023-05-21,2022 D III College Championships,0,10,12,-238.12,-2,900.79,730.33,662.67,738.8000000000001,662.67,82.966284,Occidental,7
22,Middlebury,Loss 7-15,31.34,Counts,0.1252,2023-05-21,2022 D III College Championships,0,7,15,-600,-8,1540.81,690.52,940.81,659.18,940.81,117.789412,Occidental,8
93,SUNY-Geneseo,Loss 6-11,-41.41,Counts,0.1184,2023-05-21,2022 D III College Championships,0,6,11,-546.69,-5,960.28,763.27,413.5899999999999,804.68,413.5899999999999,48.969055999999995,Occidental,9
155,Knox,Loss 11-13,-60.54,Counts,0.1252,2023-05-22,2022 D III College Championships,0,11,13,-228.84,-2,527.72,782.4,298.88,842.9399999999999,298.88,37.419776,Occidental,10
172,Lewis & Clark,Win 13-7,33.86,Counts,0.1252,2023-05-22,2022 D III College Championships,1,13,7,557.53,6,400.91,688,958.44,654.14,958.44,119.996688,Occidental,11
107,Mary Washington,Win 8-7,30.92,Counts,0.1112,2023-05-23,2022 D III College Championships,1,8,7,125,1,843.9,690.94,968.9,660.0200000000001,968.9,107.74167999999999,Occidental,12
