OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
12,Brigham Young,Loss 8-13,-5.79,Counts,0.0291,2023-02-12,Queen City Tune Up 2022,0,8,13,-496.16,-5,1808.7,1511.27,1312.54,1517.06,1312.54,38.194914,Ohio,1
49,Columbia,Win 10-5,9.02,Counts,0.0259,2023-02-12,Queen City Tune Up 2022,1,10,5,573.9,5,1271.44,1496.46,1845.3400000000001,1487.44,1845.3400000000001,47.794306000000006,Ohio,2
1,North Carolina,Loss 1-13,0,Ignored,0,2023-02-12,Queen City Tune Up 2022,0,1,13,-600,-12,2343.45,1505.49,1743.4499999999998,1505.49,0,0,Ohio,3
34,Michigan,Win 8-7,0.71,Counts,0.0259,2023-02-12,Queen City Tune Up 2022,1,8,7,125,1,1407.34,1504.78,1532.34,1504.07,1532.34,39.687605999999995,Ohio,4
47,Florida,Loss 4-11,-22.41,Counts,0.026699999999999998,2023-02-13,Queen City Tune Up 2022,0,4,11,-600,-7,1288.97,1527.9,688.97,1550.3100000000002,688.97,18.395499,Ohio,5
15,Georgia,Loss 10-13,-3.79,Counts,0.0291,2023-02-13,Queen City Tune Up 2022,0,10,13,-328.14,-3,1707.34,1509.28,1379.1999999999998,1513.07,1379.1999999999998,40.134719999999994,Ohio,6
73,Notre Dame,Win 14-5,4.94,Counts,0.0291,2023-02-13,Queen City Tune Up 2022,1,14,5,600,9,1070.39,1500.54,1670.39,1495.6,1670.39,48.608349000000004,Ohio,7
20,Virginia,Win 10-6,15.92,Counts,0.026699999999999998,2023-02-13,Queen City Tune Up 2022,1,10,6,496.16,4,1589.46,1489.56,2085.62,1473.6399999999999,2085.62,55.68605399999999,Ohio,8
15,Georgia,Loss 10-12,-1.23,Counts,0.0327,2023-02-26,Commonwealth Cup Weekend 2,0,10,12,-238.12,-2,1707.34,1506.71,1469.2199999999998,1507.94,1469.2199999999998,48.043493999999995,Ohio,9
42,North Carolina State,Loss 8-10,-14.4,Counts,0.0318,2023-02-26,Commonwealth Cup Weekend 2,0,8,10,-262.67,-2,1329.97,1519.88,1067.3,1534.2800000000002,1067.3,33.94014,Ohio,10
13,Pittsburgh,Loss 6-12,-12.01,Counts,0.0318,2023-02-26,Commonwealth Cup Weekend 2,0,6,12,-579.31,-6,1719.32,1517.5,1140.01,1529.51,1140.01,36.252318,Ohio,11
34,Michigan,Loss 6-8,-11.51,Counts,0.0281,2023-02-26,Commonwealth Cup Weekend 2,0,6,8,-300.49,-2,1407.34,1516.99,1106.85,1528.5,1106.85,31.102484999999998,Ohio,12
26,Brown,Loss 6-15,-20.4,Counts,0.0327,2023-02-27,Commonwealth Cup Weekend 2,0,6,15,-600,-9,1501.72,1525.89,901.72,1546.2900000000002,901.72,29.486244,Ohio,13
30,Georgia Tech,Loss 8-10,-10.16,Counts,0.0318,2023-02-27,Commonwealth Cup Weekend 2,0,8,10,-262.67,-2,1458.95,1515.65,1196.28,1525.8100000000002,1196.28,38.041704,Ohio,14
71,Northwestern,Loss 4-9,-28.31,Counts,0.027000000000000003,2023-02-27,Commonwealth Cup Weekend 2,0,4,9,-600,-5,1086.61,1533.8,486.6099999999999,1562.11,486.6099999999999,13.138469999999998,Ohio,15
