OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
9,California-San Diego,Loss 5-10,-7.97,Counts,0.0291,2023-02-19,Presidents Day Invite 2022,0,5,10,-573.9,-5,1958.09,1658.48,1384.19,1666.45,1384.19,40.279929,Oregon,1
8,Stanford,Win 8-5,21.94,Counts,0.0271,2023-02-19,Presidents Day Invite 2022,1,8,5,453.6,3,1985.87,1628.57,2439.47,1606.6299999999999,2439.47,66.10963699999999,Oregon,2
27,California,Win 14-9,10.94,Counts,0.0327,2023-02-20,Presidents Day Invite 2022,1,14,9,473.87,5,1500.15,1639.57,1974.02,1628.6299999999999,1974.02,64.550454,Oregon,3
18,UCLA,Win 11-6,16.44,Counts,0.030899999999999997,2023-02-20,Presidents Day Invite 2022,1,11,6,546.69,5,1618.64,1634.07,2165.33,1617.6299999999999,2165.33,66.90869699999999,Oregon,4
4,California-Santa Barbara,Loss 7-11,1.38,Counts,0.0318,2023-02-21,Presidents Day Invite 2022,0,7,11,-466.89,-4,2159.38,1649.13,1692.4900000000002,1647.75,1692.4900000000002,53.82118200000001,Oregon,5
2,Colorado,Loss 3-13,-0.38,Counts,0.0327,2023-02-21,Presidents Day Invite 2022,0,3,13,-600,-10,2239.23,1650.89,1639.23,1651.2700000000002,1639.23,53.602821,Oregon,6
11,California-Davis,Loss 6-11,-10.79,Counts,0.0347,2023-03-05,Stanford Invite 2022,0,6,11,-546.69,-5,1897.16,1661.3,1350.47,1672.09,1350.47,46.861309000000006,Oregon,7
8,Stanford,Win 7-5,19.94,Counts,0.0292,2023-03-05,Stanford Invite 2022,1,7,5,328.14,2,1985.87,1630.57,2314.0099999999998,1610.6299999999999,2314.0099999999998,67.569092,Oregon,8
3,Carleton College,Loss 3-13,-2.94,Counts,0.036699999999999997,2023-03-05,Stanford Invite 2022,0,3,13,-600,-10,2173.45,1653.44,1573.4499999999998,1656.38,1573.4499999999998,57.74561499999999,Oregon,9
40,Whitman,Win 10-4,9.61,Counts,0.0321,2023-03-05,Stanford Invite 2022,1,10,4,600,6,1340.5,1640.9,1940.5,1631.2900000000002,1940.5,62.290049999999994,Oregon,10
2,Colorado,Loss 4-9,-0.35,Counts,0.0304,2023-03-06,Stanford Invite 2022,0,4,9,-600,-5,2239.23,1650.86,1639.23,1651.2099999999998,1639.23,49.832592,Oregon,11
6,Washington,Loss 3-13,-6.93,Counts,0.036699999999999997,2023-03-06,Stanford Invite 2022,0,3,13,-600,-10,2068.65,1657.44,1468.65,1664.3700000000001,1468.65,53.899454999999996,Oregon,12
5,British Columbia,Loss 3-13,-7.87,Counts,0.0519,2023-04-16,Cascadia D I College Womens CC 2022,0,3,13,-600,-10,2106.72,1658.38,1506.7199999999998,1666.25,1506.7199999999998,78.19876799999999,Oregon,13
46,Victoria,Win 8-6,-2.52,Counts,0.0446,2023-04-16,Cascadia D I College Womens CC 2022,1,8,6,300.49,2,1296.01,1653.02,1596.5,1655.54,1596.5,71.2039,Oregon,14
NA,Washington-B,Win 13-5,0,Ignored,0,2023-04-16,Cascadia D I College Womens CC 2022,1,13,5,600,8,NA,1650.51,NA,1650.51,0,NA,Oregon,15
6,Washington,Loss 8-10,8.27,Counts,0.050499999999999996,2023-04-17,Cascadia D I College Womens CC 2022,0,8,10,-262.67,-2,2068.65,1642.23,1805.98,1633.96,1805.98,91.20199,Oregon,16
16,Western Washington,Loss 7-13,-27.8,Counts,0.0519,2023-04-17,Cascadia D I College Womens CC 2022,0,7,13,-557.53,-6,1700.37,1678.31,1142.84,1706.11,1142.84,59.313396,Oregon,17
5,British Columbia,Loss 2-11,-8.64,Counts,0.0567,2023-05-07,Northwest D I College Womens Regionals 2022,0,2,11,-600,-9,2106.72,1659.14,1506.7199999999998,1667.7800000000002,1506.7199999999998,85.431024,Oregon,18
5,British Columbia,Loss 4-15,-9.46,Counts,0.0617,2023-05-07,Northwest D I College Womens Regionals 2022,0,4,15,-600,-11,2106.72,1659.97,1506.7199999999998,1669.43,1506.7199999999998,92.96462399999999,Oregon,19
46,Victoria,Win 9-7,-4.51,Counts,0.0567,2023-05-07,Northwest D I College Womens Regionals 2022,1,9,7,279.34,2,1296.01,1655.02,1575.35,1659.53,1575.35,89.322345,Oregon,20
6,Washington,Loss 5-13,-11.97,Counts,0.0617,2023-05-07,Northwest D I College Womens Regionals 2022,0,5,13,-600,-8,2068.65,1662.47,1468.65,1674.44,1468.65,90.615705,Oregon,21
40,Whitman,Win 9-8,-11.47,Counts,0.0584,2023-05-07,Northwest D I College Womens Regionals 2022,1,9,8,125,1,1340.5,1661.98,1465.5,1673.45,1465.5,85.5852,Oregon,22
16,Western Washington,Win 10-8,19.98,Counts,0.0601,2023-05-08,Northwest D I College Womens Regionals 2022,1,10,8,262.67,2,1700.37,1630.52,1963.04,1610.54,1963.04,117.978704,Oregon,23
40,Whitman,Win 11-8,3.66,Counts,0.0617,2023-05-08,Northwest D I College Womens Regionals 2022,1,11,8,365.61,3,1340.5,1646.85,1706.1100000000001,1643.1899999999998,1706.1100000000001,105.266987,Oregon,24
