OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
179,Boise State,Win 9-2,0,Ignored,0,2023-03-12,Big Sky Brawl,1,9,2,600,7,378.1,1233.18,978.1,1233.18,0,0,Portland,1
95,Denver,Loss 4-8,-65.05,Counts,0.0707,2023-03-12,Big Sky Brawl,0,4,8,-564.81,-4,943.26,1298.24,378.45000000000005,1363.29,378.45000000000005,26.756415000000004,Portland,2
96,Montana,Win 6-4,4.8,Counts,0.0646,2023-03-12,Big Sky Brawl,1,6,4,365.61,2,937.17,1228.38,1302.78,1223.5800000000002,1302.78,84.159588,Portland,3
97,Utah,Win 7-6,-13.91,Counts,0.0736,2023-03-12,Big Sky Brawl,1,7,6,125,1,933.13,1247.09,1058.13,1261,1058.13,77.87836800000001,Portland,4
95,Denver,Win 9-6,11.05,Counts,0.0791,2023-03-13,Big Sky Brawl,1,9,6,418.57,3,943.26,1222.14,1361.83,1211.0900000000001,1361.83,107.720753,Portland,5
104,Montana State,Win 10-4,21.35,Counts,0.07769999999999999,2023-03-13,Big Sky Brawl,1,10,4,600,6,886.47,1211.83,1486.47,1190.48,1486.47,115.498719,Portland,6
172,Lewis & Clark,Win 14-1,0,Ignored,0,2023-04-16,Northwest D III College Womens CC 2022,1,14,1,600,13,400.91,1233.18,1000.9100000000001,1233.18,0,0,Portland,7
NA,Pacific Lutheran,Win 14-4,0,Ignored,0,2023-04-16,Northwest D III College Womens CC 2022,1,14,4,600,10,175.64,1233.18,775.64,1233.18,0,0,Portland,8
226,Puget Sound,Win 10-1,0,Ignored,0,2023-04-16,Northwest D III College Womens CC 2022,1,10,1,600,9,37.86,1233.18,637.86,1233.18,0,0,Portland,9
172,Lewis & Clark,Win 14-5,0,Ignored,0,2023-04-17,Northwest D III College Womens CC 2022,1,14,5,600,9,400.91,1233.18,1000.9100000000001,1233.18,0,0,Portland,10
155,Knox,Win 15-6,0,Ignored,0,2023-05-21,2022 D III College Championships,1,15,6,600,9,527.72,1233.18,1127.72,1233.18,0,0,Portland,11
80,Mount Holyoke,Win 15-13,2.42,Counts,0.1586,2023-05-21,2022 D III College Championships,1,15,13,214.18,2,1031.85,1230.76,1246.03,1228.34,1246.03,197.62035799999998,Portland,12
98,Rice,Win 15-5,55.81,Counts,0.1586,2023-05-21,2022 D III College Championships,1,15,5,600,10,929.32,1177.38,1529.3200000000002,1121.5700000000002,1529.3200000000002,242.55015200000003,Portland,13
37,Wellesley,Loss 11-13,-17.66,Counts,0.1586,2023-05-22,2022 D III College Championships,0,11,13,-228.84,-2,1368.3,1250.85,1139.46,1268.51,1139.46,180.718356,Portland,14
65,Haverford,Win 12-11,5.76,Counts,0.1586,2023-05-23,2022 D III College Championships,1,12,11,125,1,1138.76,1227.42,1263.76,1221.66,1263.76,200.432336,Portland,15
