OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
122,Colby,Loss 3-11,-17.44,Counts,0.085,2023-03-05,No Sleep Till Brooklyn 2022,0,3,11,-600,-8,747.13,352.34,147.13,369.78,147.13,12.50605,Princeton,1
37,Wellesley,Loss 1-13,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,0,1,13,-600,-12,1368.3,334.9,768.3,334.9,0,0,Princeton,2
31,SUNY-Binghamton,Loss 0-13,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,0,0,13,-600,-13,1451.86,334.9,851.8599999999999,334.9,0,0,Princeton,3
79,MIT,Loss 0-13,0,Ignored,0,2023-03-06,No Sleep Till Brooklyn 2022,0,0,13,-600,-13,1033.13,334.9,433.1300000000001,334.9,0,0,Princeton,4
144,SUNY-Stony Brook,Win 5-4,27.84,Counts,0.0637,2023-03-06,No Sleep Till Brooklyn 2022,1,5,4,125,1,618.76,307.06,743.76,279.22,743.76,47.377512,Princeton,5
65,Haverford,Loss 2-13,0,Ignored,0,2023-03-19,Jersey Devil,0,2,13,-600,-11,1138.76,334.9,538.76,334.9,0,0,Princeton,6
119,Catholic,Loss 6-11,-13.18,Counts,0.0983,2023-03-19,Jersey Devil,0,6,11,-546.69,-5,760.72,348.08,214.02999999999997,361.26,214.02999999999997,21.039149,Princeton,7
197,Wellesley-B,Win 9-4,46.6,Counts,0.086,2023-03-19,Jersey Devil,1,9,4,600,5,230.18,288.3,830.1800000000001,241.70000000000002,830.1800000000001,71.39548,Princeton,8
147,Swarthmore,Loss 0-11,-35.88,Counts,0.09539999999999998,2023-03-19,Jersey Devil,0,0,11,-600,-11,594.68,370.78,-5.32000000000005,406.65999999999997,-5.32000000000005,-0.5075280000000046,Princeton,9
119,Catholic,Loss 4-12,-19.31,Counts,0.0998,2023-03-20,Jersey Devil,0,4,12,-600,-8,760.72,354.2,160.72000000000003,373.51,160.72000000000003,16.039856000000004,Princeton,10
108,Connecticut,Loss 5-12,-13.54,Counts,0.1257,2023-04-16,Eastern Metro East D I College Womens CC 2022,0,5,12,-600,-7,840.71,348.44,240.71000000000004,361.98,240.71000000000004,30.257247000000007,Princeton,11
144,SUNY-Stony Brook,Loss 5-11,-43.19,Counts,0.1202,2023-04-16,Eastern Metro East D I College Womens CC 2022,0,5,11,-600,-6,618.76,378.09,18.75999999999999,421.28,18.75999999999999,2.254951999999999,Princeton,12
202,Rutgers,Win 8-2,52.98,Counts,0.10189999999999999,2023-04-17,Eastern Metro East D I College Womens CC 2022,1,8,2,600,6,201.83,281.92,801.83,228.94000000000003,801.83,81.70647699999999,Princeton,13
151,NYU,Loss 8-9,12.88,Counts,0.12390000000000001,2023-04-17,Eastern Metro East D I College Womens CC 2022,0,8,9,-125,-1,550.99,322.02,425.99,309.14,425.99,52.78016100000001,Princeton,14
