OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
126,Sam Houston State,Win 7-5,2.57,Counts,0.0232,2023-02-12,Antifreeze 2022,1,7,5,328.14,2,709.17,926.75,1037.31,924.18,1037.31,24.065592,Rice,1
165,North Texas,Loss 3-11,-29.48,Counts,0.0268,2023-02-12,Antifreeze 2022,0,3,11,-600,-8,460,958.79,-140,988.27,-140,-3.7520000000000002,Rice,2
123,Tulane,Loss 3-4,-5.92,Counts,0.0177,2023-02-12,Antifreeze 2022,0,3,4,-125,-1,726.7,935.23,601.7,941.15,601.7,10.65009,Rice,3
169,Houston,Win 10-4,2.41,Counts,0.0255,2023-02-13,Antifreeze 2022,1,10,4,600,6,421.33,926.9,1021.3299999999999,924.49,1021.3299999999999,26.043914999999995,Rice,4
219,Texas-San Antonio,Win 13-3,0,Ignored,0,2023-02-13,Antifreeze 2022,1,13,3,600,10,42.6,929.32,642.6,929.32,0,0,Rice,5
208,Texas-B,Win 13-4,0,Ignored,0,2023-02-13,Antifreeze 2022,1,13,4,600,9,125.3,929.32,725.3,929.32,0,0,Rice,6
166,LSU,Win 11-7,-0.16,Counts,0.038,2023-03-19,Womens Centex,1,11,7,466.89,4,458.41,929.47,925.3,929.63,925.3,35.1614,Rice,7
79,MIT,Loss 5-9,-14.74,Counts,0.0335,2023-03-19,Womens Centex,0,5,9,-529.06,-4,1033.13,944.05,504.07000000000016,958.79,504.07000000000016,16.886345000000006,Rice,8
162,Oklahoma,Win 11-3,5.61,Counts,0.0358,2023-03-19,Womens Centex,1,11,3,600,8,480.27,923.71,1080.27,918.1,1080.27,38.673666,Rice,9
77,Texas State,Loss 7-9,-5.8,Counts,0.0358,2023-03-19,Womens Centex,0,7,9,-279.34,-2,1052.55,935.11,773.21,940.91,773.21,27.680918000000002,Rice,10
64,Iowa,Win 7-6,11.24,Counts,0.0323,2023-03-20,Womens Centex,1,7,6,125,1,1141.3,918.08,1266.3,906.84,1266.3,40.90149,Rice,11
85,Texas-Dallas,Win 9-6,17.66,Counts,0.0347,2023-03-20,Womens Centex,1,9,6,418.57,3,1002.36,911.66,1420.93,894,1420.93,49.306271,Rice,12
77,Texas State,Loss 6-7,-0.06,Counts,0.0323,2023-03-20,Womens Centex,0,6,7,-125,-1,1052.55,929.37,927.55,929.43,927.55,29.959865,Rice,13
174,Colorado School of Mines,Win 15-2,3.77,Counts,0.0552,2023-04-30,South Central D III College Womens Regionals 2022,1,15,2,600,13,393.93,925.54,993.9300000000001,921.77,993.9300000000001,54.864936,Rice,14
132,Trinity,Win 14-4,19.26,Counts,0.0552,2023-04-30,South Central D III College Womens Regionals 2022,1,14,4,600,10,658.98,910.06,1258.98,890.8,1258.98,69.495696,Rice,15
150,Truman State,Win 15-1,13.91,Counts,0.0552,2023-04-30,South Central D III College Womens Regionals 2022,1,15,1,600,14,567.5,915.4,1167.5,901.49,1167.5,64.446,Rice,16
174,Colorado School of Mines,Win 15-1,3.77,Counts,0.0552,2023-05-01,South Central D III College Womens Regionals 2022,1,15,1,600,14,393.93,925.54,993.9300000000001,921.77,993.9300000000001,54.864936,Rice,17
132,Trinity,Win 11-8,5.56,Counts,0.0552,2023-05-01,South Central D III College Womens Regionals 2022,1,11,8,365.61,3,658.98,923.75,1024.5900000000001,918.19,1024.5900000000001,56.557368000000004,Rice,18
155,Knox,Win 9-7,-7.84,Counts,0.0602,2023-05-21,2022 D III College Championships,1,9,7,279.34,2,527.72,937.15,807.06,944.99,807.06,48.58501199999999,Rice,19
80,Mount Holyoke,Loss 12-13,-1.58,Counts,0.06559999999999999,2023-05-21,2022 D III College Championships,0,12,13,-125,-1,1031.85,930.89,906.8499999999999,932.47,906.8499999999999,59.489359999999984,Rice,20
52,Portland,Loss 5-15,-20.8,Counts,0.06559999999999999,2023-05-21,2022 D III College Championships,0,5,15,-600,-10,1233.18,950.12,633.1800000000001,970.92,633.1800000000001,41.536608,Rice,21
102,Berry,Win 12-7,34.56,Counts,0.06559999999999999,2023-05-22,2022 D III College Championships,1,12,7,520.51,5,900.79,894.76,1421.3,860.2,1421.3,93.23727999999998,Rice,22
65,Haverford,Loss 11-12,5.93,Counts,0.06559999999999999,2023-05-22,2022 D III College Championships,0,11,12,-125,-1,1138.76,923.38,1013.76,917.45,1013.76,66.50265599999999,Rice,23
91,Skidmore,Loss 6-15,-39.52,Counts,0.06559999999999999,2023-05-23,2022 D III College Championships,0,6,15,-600,-9,966.62,968.84,366.62,1008.36,366.62,24.050271999999996,Rice,24
