OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
119,Catholic,Win 10-6,31.85,Counts,0.0495,2023-03-19,Jersey Devil,1,10,6,496.16,4,760.72,613.57,1256.88,581.72,1256.88,62.21556000000001,Rochester,1
37,Wellesley,Loss 3-13,0,Ignored,0,2023-03-19,Jersey Devil,0,3,13,-600,-10,1368.3,645.42,768.3,645.42,0,0,Rochester,2
147,Swarthmore,Loss 7-10,-23.68,Counts,0.051,2023-03-19,Jersey Devil,0,7,10,-389.67,-3,594.68,669.1,205.00999999999993,692.78,205.00999999999993,10.455509999999997,Rochester,3
65,Haverford,Loss 8-13,-0.16,Counts,0.054000000000000006,2023-03-20,Jersey Devil,0,8,13,-496.16,-5,1138.76,645.58,642.5999999999999,645.74,642.5999999999999,34.7004,Rochester,4
28,Williams,Loss 4-15,0,Ignored,0,2023-03-20,Jersey Devil,0,4,15,-600,-11,1490.38,645.42,890.3800000000001,645.42,0,0,Rochester,5
147,Swarthmore,Win 10-9,4.23,Counts,0.054000000000000006,2023-03-20,Jersey Devil,1,10,9,125,1,594.68,641.19,719.68,636.96,719.68,38.86272,Rochester,6
140,Ithaca,Loss 6-7,-7.32,Counts,0.053099999999999994,2023-04-09,Western NY D III College Womens CC 2022,0,6,7,-125,-1,639.82,652.74,514.82,660.0600000000001,514.82,27.336942,Rochester,7
190,Hamilton,Win 7-0,12.37,Counts,0.04650000000000001,2023-04-09,Western NY D III College Womens CC 2022,1,7,0,600,7,298.84,633.05,898.8399999999999,620.68,898.8399999999999,41.796060000000004,Rochester,8
206,SUNY-Oneonta,Win 7-2,5.3,Counts,0.04650000000000001,2023-04-09,Western NY D III College Womens CC 2022,1,7,2,600,5,153.91,640.12,753.91,634.82,753.91,35.056815,Rochester,9
93,SUNY-Geneseo,Loss 2-6,-12.79,Counts,0.0429,2023-04-09,Western NY D III College Womens CC 2022,0,2,6,-600,-4,960.28,658.21,360.28,671,360.28,15.456012,Rochester,10
190,Hamilton,Loss 6-7,-26.43,Counts,0.053099999999999994,2023-04-10,Western NY D III College Womens CC 2022,0,6,7,-125,-1,298.84,671.85,173.83999999999997,698.28,173.83999999999997,9.230903999999997,Rochester,11
206,SUNY-Oneonta,Win 8-7,-22.16,Counts,0.057,2023-04-10,Western NY D III College Womens CC 2022,1,8,7,125,1,153.91,667.58,278.90999999999997,689.74,278.90999999999997,15.89787,Rochester,12
91,Skidmore,Loss 5-7,-0.45,Counts,0.060599999999999994,2023-04-30,Metro East D III College Womens Regionals 2022,0,5,7,-328.14,-2,966.62,645.87,638.48,646.32,638.48,38.691888,Rochester,13
190,Hamilton,Win 9-5,12.79,Counts,0.0655,2023-04-30,Metro East D III College Womens Regionals 2022,1,9,5,529.06,4,298.84,632.63,827.8999999999999,619.84,827.8999999999999,54.22744999999999,Rochester,14
216,Wesleyan,Win 13-6,1.61,Counts,0.07629999999999999,2023-04-30,Metro East D III College Womens Regionals 2022,1,13,6,600,7,64.92,643.81,664.92,642.1999999999999,664.92,50.73339599999999,Rochester,15
93,SUNY-Geneseo,Loss 5-8,-9.35,Counts,0.06309999999999999,2023-04-30,Metro East D III College Womens Regionals 2022,0,5,8,-453.6,-3,960.28,654.77,506.67999999999995,664.12,506.67999999999995,31.971507999999993,Rochester,16
190,Hamilton,Win 14-8,15.65,Counts,0.07629999999999999,2023-05-01,Metro East D III College Womens Regionals 2022,1,14,8,536.03,6,298.84,629.77,834.8699999999999,614.12,834.8699999999999,63.700580999999985,Rochester,17
199,Connecticut College,Win 15-6,15.16,Counts,0.07629999999999999,2023-05-01,Metro East D III College Womens Regionals 2022,1,15,6,600,9,228.91,630.26,828.91,615.1,828.91,63.24583299999999,Rochester,18
93,SUNY-Geneseo,Loss 8-10,4.19,Counts,0.07429999999999999,2023-05-01,Metro East D III College Womens Regionals 2022,0,8,10,-262.67,-2,960.28,641.23,697.6099999999999,637.04,697.6099999999999,51.832422999999984,Rochester,19
