OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
122,Colby,Win 12-3,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,1,12,3,600,9,747.13,1451.86,1347.13,1451.86,0,0,SUNY-Binghamton,1
151,NYU,Win 12-3,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,1,12,3,600,9,550.99,1451.86,1150.99,1451.86,0,0,SUNY-Binghamton,2
185,Princeton,Win 13-0,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,1,13,0,600,13,334.9,1451.86,934.9,1451.86,0,0,SUNY-Binghamton,3
49,Columbia,Win 11-4,13.15,Counts,0.0304,2023-03-06,No Sleep Till Brooklyn 2022,1,11,4,600,7,1271.44,1438.71,1871.44,1425.56,1871.44,56.891776,SUNY-Binghamton,4
37,Wellesley,Win 8-6,6.35,Counts,0.028399999999999998,2023-03-06,No Sleep Till Brooklyn 2022,1,8,6,300.49,2,1368.3,1445.51,1668.79,1439.16,1668.79,47.393635999999994,SUNY-Binghamton,5
28,Williams,Win 6-4,9.95,Counts,0.024,2023-03-06,No Sleep Till Brooklyn 2022,1,6,4,365.61,2,1490.38,1441.91,1855.9900000000002,1431.96,1855.9900000000002,44.543760000000006,SUNY-Binghamton,6
152,North Carolina-B,Win 7-1,0,Ignored,0,2023-03-26,Rodeo,1,7,1,600,6,548.48,1451.86,1148.48,1451.86,0,0,SUNY-Binghamton,7
24,Ohio,Loss 2-11,-20.49,Counts,0.0361,2023-03-26,Rodeo,0,2,11,-600,-9,1505.49,1472.34,905.49,1492.83,905.49,32.688189,SUNY-Binghamton,8
101,Massachusetts,Win 13-2,2.1,Counts,0.0394,2023-03-26,Rodeo,1,13,2,600,11,903.06,1449.76,1503.06,1447.66,1503.06,59.220563999999996,SUNY-Binghamton,9
45,Tennessee,Loss 8-9,-10.62,Counts,0.0373,2023-03-26,Rodeo,0,8,9,-125,-1,1302.41,1462.48,1177.41,1473.1,1177.41,43.917393000000004,SUNY-Binghamton,10
88,South Carolina,Win 11-4,5.34,Counts,0.0361,2023-03-27,Rodeo,1,11,4,600,7,994.19,1446.52,1594.19,1441.18,1594.19,57.550259000000004,SUNY-Binghamton,11
24,Ohio,Loss 5-12,-21.46,Counts,0.0378,2023-03-27,Rodeo,0,5,12,-600,-7,1505.49,1473.32,905.49,1494.78,905.49,34.227522,SUNY-Binghamton,12
45,Tennessee,Loss 4-13,-30.72,Counts,0.0394,2023-03-27,Rodeo,0,4,13,-600,-9,1302.41,1482.58,702.4100000000001,1513.3,702.4100000000001,27.674954000000003,SUNY-Binghamton,13
26,Brown,Win 14-8,25.51,Counts,0.0417,2023-04-02,Northeast Classic,1,14,8,536.03,6,1501.72,1426.35,2037.75,1400.84,2037.75,84.974175,SUNY-Binghamton,14
91,Skidmore,Win 15-2,5,Counts,0.0417,2023-04-02,Northeast Classic,1,15,2,600,13,966.62,1446.86,1566.62,1441.86,1566.62,65.328054,SUNY-Binghamton,15
101,Massachusetts,Win 15-5,2.23,Counts,0.0417,2023-04-02,Northeast Classic,1,15,5,600,10,903.06,1449.63,1503.06,1447.4,1503.06,62.677602,SUNY-Binghamton,16
26,Brown,Win 15-8,26.76,Counts,0.0417,2023-04-03,Northeast Classic,1,15,8,564.81,7,1501.72,1425.09,2066.5299999999997,1398.33,2066.5299999999997,86.17430099999999,SUNY-Binghamton,17
199,Connecticut College,Win 13-0,0,Ignored,0,2023-04-03,Northeast Classic,1,13,0,600,13,228.91,1451.86,828.91,1451.86,0,0,SUNY-Binghamton,18
