OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
199,Connecticut College,Loss 6-10,-61.83,Counts,0.128,2023-04-02,Northeast Classic,0,6,10,-496.16,-4,228.91,215.74,-267.25,277.57,-267.25,-34.208,SUNY-Oneonta,1
224,Massachusetts-B,Win 13-2,70.85,Counts,0.13949999999999999,2023-04-02,Northeast Classic,1,13,2,600,11,9.02,83.06,609.02,12.210000000000008,609.02,84.95828999999999,SUNY-Oneonta,2
93,SUNY-Geneseo,Loss 6-15,0,Ignored,0,2023-04-02,Northeast Classic,0,6,15,-600,-9,960.28,153.91,360.28,153.91,0,0,SUNY-Oneonta,3
NA,Colgate,Loss 2-9,-31.74,Counts,0.11539999999999999,2023-04-03,Northeast Classic,0,2,9,-600,-7,510.61,185.65,-89.38999999999999,217.39000000000001,-89.38999999999999,-10.315605999999997,SUNY-Oneonta,4
224,Massachusetts-B,Loss 2-3,-22.19,Counts,0.0716,2023-04-03,Northeast Classic,0,2,3,-125,-1,9.02,176.1,-115.98,198.29,-115.98,-8.304168,SUNY-Oneonta,5
140,Ithaca,Loss 2-4,-0.93,Counts,0.08310000000000001,2023-04-09,Western NY D III College Womens CC 2022,0,2,4,-496.16,-2,639.82,154.84,143.66000000000003,155.77,143.66000000000003,11.938146000000003,SUNY-Oneonta,6
190,Hamilton,Loss 4-5,2.26,Counts,0.1017,2023-04-09,Western NY D III College Womens CC 2022,0,4,5,-125,-1,298.84,151.65,173.83999999999997,149.39000000000001,173.83999999999997,17.679527999999998,SUNY-Oneonta,7
136,Rochester,Loss 2-7,-13.03,Counts,0.1072,2023-04-09,Western NY D III College Womens CC 2022,0,2,7,-600,-5,645.42,166.94,45.41999999999996,179.97,45.41999999999996,4.869023999999996,SUNY-Oneonta,8
93,SUNY-Geneseo,Loss 2-8,0,Ignored,0,2023-04-09,Western NY D III College Womens CC 2022,0,2,8,-600,-6,960.28,153.91,360.28,153.91,0,0,SUNY-Oneonta,9
140,Ithaca,Loss 5-8,4.5,Counts,0.1222,2023-04-10,Western NY D III College Womens CC 2022,0,5,8,-453.6,-3,639.82,149.41,186.22000000000003,144.91,186.22000000000003,22.756084000000005,SUNY-Oneonta,10
136,Rochester,Loss 7-8,55.4,Counts,0.1313,2023-04-10,Western NY D III College Womens CC 2022,0,7,8,-125,-1,645.42,98.51,520.42,43.11000000000001,520.42,68.33114599999999,SUNY-Oneonta,11
