OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
125,Bates,Loss 4-10,-36.58,Counts,0.068,2023-03-05,No Sleep Till Brooklyn 2022,0,4,10,-600,-6,717.11,655.34,117.11000000000001,691.9200000000001,117.11000000000001,7.9634800000000014,SUNY-Stony Brook,1
49,Columbia,Loss 6-13,4.44,Counts,0.07780000000000001,2023-03-05,No Sleep Till Brooklyn 2022,0,6,13,-600,-7,1271.44,614.31,671.44,609.8699999999999,671.44,52.23803200000001,SUNY-Stony Brook,2
79,MIT,Loss 5-11,-14.27,Counts,0.07139999999999999,2023-03-05,No Sleep Till Brooklyn 2022,0,5,11,-600,-6,1033.13,633.03,433.1300000000001,647.3,433.1300000000001,30.925482000000002,SUNY-Stony Brook,3
151,NYU,Loss 3-8,-43.02,Counts,0.0605,2023-03-06,No Sleep Till Brooklyn 2022,0,3,8,-600,-5,550.99,661.78,-49.00999999999999,704.8,-49.00999999999999,-2.9651049999999994,SUNY-Stony Brook,4
185,Princeton,Loss 4-5,-23.13,Counts,0.0535,2023-03-06,No Sleep Till Brooklyn 2022,0,4,5,-125,-1,334.9,641.89,209.89999999999998,665.02,209.89999999999998,11.229649999999998,SUNY-Stony Brook,5
28,Williams,Loss 4-13,0,Ignored,0,2023-03-06,No Sleep Till Brooklyn 2022,0,4,13,-600,-9,1490.38,618.76,890.3800000000001,618.76,0,0,SUNY-Stony Brook,6
49,Columbia,Loss 3-13,0,Ignored,0,2023-04-16,Eastern Metro East D I College Womens CC 2022,0,3,13,-600,-10,1271.44,618.76,671.44,618.76,0,0,SUNY-Stony Brook,7
151,NYU,Win 9-8,6.65,Counts,0.1041,2023-04-16,Eastern Metro East D I College Womens CC 2022,1,9,8,125,1,550.99,612.11,675.99,605.46,675.99,70.370559,SUNY-Stony Brook,8
185,Princeton,Win 11-5,35.51,Counts,0.10099999999999999,2023-04-16,Eastern Metro East D I College Womens CC 2022,1,11,5,600,6,334.9,583.25,934.9,547.74,934.9,94.4249,SUNY-Stony Brook,9
202,Rutgers,Win 15-0,22.63,Counts,0.11,2023-04-17,Eastern Metro East D I College Womens CC 2022,1,15,0,600,15,201.83,596.12,801.83,573.49,801.83,88.2013,SUNY-Stony Brook,10
49,Columbia,Loss 5-15,0,Ignored,0,2023-04-30,Metro East D I College Womens Regionals 2022,0,5,15,-600,-10,1271.44,618.76,671.44,618.76,0,0,SUNY-Stony Brook,11
70,Cornell,Loss 7-10,13.12,Counts,0.1168,2023-04-30,Metro East D I College Womens Regionals 2022,0,7,10,-389.67,-3,1107.62,605.64,717.9499999999998,592.52,717.9499999999998,83.85655999999997,SUNY-Stony Brook,12
31,SUNY-Binghamton,Loss 4-14,0,Ignored,0,2023-04-30,Metro East D I College Womens Regionals 2022,0,4,14,-600,-10,1451.86,618.76,851.8599999999999,618.76,0,0,SUNY-Stony Brook,13
108,Connecticut,Loss 10-11,13.66,Counts,0.1235,2023-05-01,Metro East D I College Womens Regionals 2022,0,10,11,-125,-1,840.71,605.1,715.71,591.44,715.71,88.390185,SUNY-Stony Brook,14
151,NYU,Win 9-7,27.04,Counts,0.1133,2023-05-01,Metro East D I College Womens Regionals 2022,1,9,7,279.34,2,550.99,591.71,830.3299999999999,564.6700000000001,830.3299999999999,94.07638899999999,SUNY-Stony Brook,15
