OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
94,UCSC,Win 8-5,5.58,Counts,0.0282,2023-02-05,Stanford Open 2022,1,8,5,453.6,3,953.42,1209.33,1407.02,1203.75,1407.02,39.677963999999996,Santa Clara,1
129,Nevada-Reno,Win 10-3,2.13,Counts,0.0298,2023-02-05,Stanford Open 2022,1,10,3,600,7,684.23,1212.78,1284.23,1210.6499999999999,1284.23,38.270054,Santa Clara,2
160,Sonoma State,Win 12-10,-17.09,Counts,0.0341,2023-02-05,Stanford Open 2022,1,12,10,238.12,2,493.28,1232,731.4,1249.09,731.4,24.940739999999998,Santa Clara,3
124,Occidental,Win 12-5,3.62,Counts,0.032799999999999996,2023-02-06,Stanford Open 2022,1,12,5,600,7,721.86,1211.29,1321.8600000000001,1207.67,1321.8600000000001,43.357008,Santa Clara,4
176,Chico State,Win 12-2,0,Ignored,0,2023-02-06,Stanford Open 2022,1,12,2,600,10,386.79,1214.91,986.79,1214.91,0,0,Santa Clara,5
78,Southern California,Loss 8-9,-10.01,Counts,0.0323,2023-02-06,Stanford Open 2022,0,8,9,-125,-1,1039.77,1224.93,914.77,1234.94,914.77,29.547071000000003,Santa Clara,6
124,Occidental,Win 13-3,3.78,Counts,0.0341,2023-02-06,Stanford Open 2022,1,13,3,600,10,721.86,1211.14,1321.8600000000001,1207.3600000000001,1321.8600000000001,45.075426,Santa Clara,7
203,California-B,Win 12-3,0,Ignored,0,2023-02-19,Santa Clara RAGE Ultimate Tournament,1,12,3,600,9,194.55,1214.91,794.55,1214.91,0,0,Santa Clara,8
94,UCSC,Win 10-4,11.72,Counts,0.0335,2023-02-19,Santa Clara RAGE Ultimate Tournament,1,10,4,600,6,953.42,1203.19,1553.42,1191.47,1553.42,52.039570000000005,Santa Clara,9
187,UCLA-B,Win 10-5,-11.2,Counts,0.034,2023-02-19,Santa Clara RAGE Ultimate Tournament,1,10,5,573.9,5,323.32,1226.11,897.22,1237.31,897.22,30.505480000000002,Santa Clara,10
129,Nevada-Reno,Win 9-5,-0.06,Counts,0.0329,2023-02-20,Santa Clara RAGE Ultimate Tournament,1,9,5,529.06,4,684.23,1214.97,1213.29,1215.03,1213.29,39.917241,Santa Clara,11
113,Claremont,Win 13-2,6.84,Counts,0.0383,2023-02-20,Santa Clara RAGE Ultimate Tournament,1,13,2,600,11,786.71,1208.07,1386.71,1201.23,1386.71,53.110993,Santa Clara,12
11,California-Davis,Loss 2-13,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,0,2,13,-600,-11,1897.16,1214.91,1297.16,1214.91,0,0,Santa Clara,13
118,Humboldt State,Win 13-2,9.56,Counts,0.0608,2023-04-16,NorCal D I College Womens CC 2022,1,13,2,600,11,762.56,1205.35,1362.56,1195.79,1362.56,82.843648,Santa Clara,14
94,UCSC,Win 10-7,7.82,Counts,0.0575,2023-04-16,NorCal D I College Womens CC 2022,1,10,7,389.67,3,953.42,1207.09,1343.09,1199.27,1343.09,77.227675,Santa Clara,15
160,Sonoma State,Win 10-3,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,1,10,3,600,7,493.28,1214.91,1093.28,1214.91,0,0,Santa Clara,16
27,California,Loss 7-12,-15.23,Counts,0.0608,2023-04-17,NorCal D I College Womens CC 2022,0,7,12,-520.51,-5,1500.15,1230.15,979.6400000000001,1245.38,979.6400000000001,59.562112000000006,Santa Clara,17
8,Stanford,Loss 8-13,17.79,Counts,0.0608,2023-04-17,NorCal D I College Womens CC 2022,0,8,13,-496.16,-5,1985.87,1197.12,1489.7099999999998,1179.33,1489.7099999999998,90.57436799999999,Santa Clara,18
134,Arizona State,Win 13-3,2.5,Counts,0.0723,2023-05-07,Southwest D I College Womens Regionals 2022,1,13,3,600,10,647.05,1212.41,1247.05,1209.91,1247.05,90.161715,Santa Clara,19
27,California,Loss 6-13,-24.54,Counts,0.0723,2023-05-07,Southwest D I College Womens Regionals 2022,0,6,13,-600,-7,1500.15,1239.45,900.1500000000001,1263.99,900.1500000000001,65.08084500000001,Santa Clara,20
9,California-San Diego,Loss 5-13,0,Ignored,0,2023-05-07,Southwest D I College Womens Regionals 2022,0,5,13,-600,-8,1958.09,1214.91,1358.09,1214.91,0,0,Santa Clara,21
129,Nevada-Reno,Win 13-5,5.4,Counts,0.0723,2023-05-07,Southwest D I College Womens Regionals 2022,1,13,5,600,8,684.23,1209.51,1284.23,1204.11,1284.23,92.849829,Santa Clara,22
27,California,Loss 10-11,12.49,Counts,0.0723,2023-05-08,Southwest D I College Womens Regionals 2022,0,10,11,-125,-1,1500.15,1202.42,1375.15,1189.93,1375.15,99.42334500000001,Santa Clara,23
18,UCLA,Loss 9-13,-1.16,Counts,0.0723,2023-05-08,Southwest D I College Womens Regionals 2022,0,9,13,-418.57,-4,1618.64,1216.07,1200.0700000000002,1217.23,1200.0700000000002,86.76506100000002,Santa Clara,24
94,UCSC,Win 9-8,-10.02,Counts,0.0684,2023-05-08,Southwest D I College Womens Regionals 2022,1,9,8,125,1,953.42,1224.94,1078.42,1234.96,1078.42,73.763928,Santa Clara,25
