OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
57,Santa Clara,Loss 10-12,48.69,Counts,0.0915,2023-02-05,Stanford Open 2022,0,10,12,-238.12,-2,1214.91,444.59,976.7900000000001,395.9,976.7900000000001,89.37628500000001,Sonoma State,1
124,Occidental,Loss 2-8,-28.46,Counts,0.0712,2023-02-05,Stanford Open 2022,0,2,8,-600,-6,721.86,521.74,121.86000000000001,550.2,121.86000000000001,8.676432,Sonoma State,2
94,UCSC,Loss 4-10,-12.15,Counts,0.0799,2023-02-05,Stanford Open 2022,0,4,10,-600,-6,953.42,505.43,353.41999999999996,517.58,353.41999999999996,28.238257999999995,Sonoma State,3
112,California-San Diego-B,Win 7-4,59.74,Counts,0.0696,2023-02-06,Stanford Open 2022,1,7,4,496.16,3,795.6,433.54,1291.76,373.8,1291.76,89.90649599999999,Sonoma State,4
129,Nevada-Reno,Win 9-6,53.93,Counts,0.08130000000000001,2023-02-06,Stanford Open 2022,1,9,6,418.57,3,684.23,439.35,1102.8,385.42,1102.8,89.65764000000001,Sonoma State,5
11,California-Davis,Loss 0-13,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,0,0,13,-600,-13,1897.16,493.28,1297.16,493.28,0,0,Sonoma State,6
118,Humboldt State,Loss 3-10,-54.92,Counts,0.1424,2023-04-16,NorCal D I College Womens CC 2022,0,3,10,-600,-7,762.56,548.2,162.55999999999995,603.12,162.55999999999995,23.14854399999999,Sonoma State,7
57,Santa Clara,Loss 3-10,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,0,3,10,-600,-7,1214.91,493.28,614.9100000000001,493.28,0,0,Sonoma State,8
94,UCSC,Loss 8-10,37.24,Counts,0.15869999999999998,2023-04-16,NorCal D I College Womens CC 2022,0,8,10,-262.67,-2,953.42,456.04,690.75,418.8,690.75,109.62202499999998,Sonoma State,9
176,Chico State,Loss 9-10,-45.09,Counts,0.163,2023-04-17,NorCal D I College Womens CC 2022,0,9,10,-125,-1,386.79,538.37,261.79,583.46,261.79,42.67177,Sonoma State,10
129,Nevada-Reno,Loss 3-10,-67.93,Counts,0.1424,2023-04-17,NorCal D I College Womens CC 2022,0,3,10,-600,-7,684.23,561.21,84.23000000000002,629.1400000000001,84.23000000000002,11.994352000000003,Sonoma State,11
