OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
215,Carleton College-C,Win 13-0,0,Ignored,0,2023-02-26,Forever Winter Tournament,1,13,0,600,13,66.31,1178.74,666.31,1178.74,0,0,St. Olaf,1
23,Carleton College-Eclipse,Loss 4-13,-9.41,Counts,0.0351,2023-02-26,Forever Winter Tournament,0,4,13,-600,-9,1519.75,1188.15,919.75,1197.5600000000002,919.75,32.283225,St. Olaf,2
106,Michigan Tech,Win 13-2,9.89,Counts,0.0351,2023-02-26,Forever Winter Tournament,1,13,2,600,11,850.86,1168.85,1450.8600000000001,1158.9599999999998,1450.8600000000001,50.925186000000004,St. Olaf,3
145,Macalester,Win 12-3,0.82,Counts,0.0337,2023-02-26,Forever Winter Tournament,1,12,3,600,9,602.33,1177.91,1202.33,1177.0900000000001,1202.33,40.518521,St. Olaf,4
68,Kansas,Loss 5-6,-5.28,Counts,0.028300000000000002,2023-03-05,Midwest Throwdown 2022,0,5,6,-125,-1,1122.06,1184.02,997.06,1189.3,997.06,28.216798,St. Olaf,5
62,Washington University,Loss 5-8,-14.61,Counts,0.030699999999999998,2023-03-05,Midwest Throwdown 2022,0,5,8,-453.6,-3,1171.36,1193.35,717.7599999999999,1207.9599999999998,717.7599999999999,22.035231999999993,St. Olaf,6
35,Colorado State,Loss 3-6,-8.39,Counts,0.0256,2023-03-05,Midwest Throwdown 2022,0,3,6,-546.69,-3,1405.77,1187.12,859.0799999999999,1195.51,859.0799999999999,21.992448,St. Olaf,7
130,Nebraska,Win 7-2,2.87,Counts,0.027000000000000003,2023-03-05,Midwest Throwdown 2022,1,7,2,600,5,682.47,1175.86,1282.47,1172.99,1282.47,34.62669,St. Olaf,8
75,Iowa State,Loss 5-7,-13.74,Counts,0.029500000000000002,2023-03-06,Midwest Throwdown 2022,0,5,7,-328.14,-2,1055.14,1192.48,727.0000000000001,1206.22,727.0000000000001,21.446500000000004,St. Olaf,9
121,Saint Louis,Win 12-0,6.35,Counts,0.035699999999999996,2023-03-06,Midwest Throwdown 2022,1,12,0,600,12,750.63,1172.38,1350.63,1166.0300000000002,1350.63,48.217490999999995,St. Olaf,10
38,Wisconsin,Loss 5-8,-8.46,Counts,0.030699999999999998,2023-03-06,Midwest Throwdown 2022,0,5,8,-453.6,-3,1365.5,1187.2,911.9,1195.66,911.9,27.99533,St. Olaf,11
