OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
27,California,Loss 8-9,-14.82,Counts,0.023700000000000002,2023-02-19,Presidents Day Invite 2022,0,8,9,-125,-1,1500.15,2000.7,1375.15,2015.52,1375.15,32.591055000000004,Stanford,1
17,Oregon,Loss 5-8,-16.7,Counts,0.0207,2023-02-19,Presidents Day Invite 2022,0,5,8,-453.6,-3,1650.51,2002.57,1196.9099999999999,2019.27,1196.9099999999999,24.776036999999995,Stanford,2
9,California-San Diego,Win 9-6,8.9,Counts,0.0223,2023-02-20,Presidents Day Invite 2022,1,9,6,418.57,3,1958.09,1976.98,2376.66,1968.08,2376.66,52.999517999999995,Stanford,3
112,California-San Diego-B,Win 15-2,0,Ignored,0,2023-02-20,Presidents Day Invite 2022,1,15,2,600,13,795.6,1985.87,1395.6,1985.87,0,0,Stanford,4
97,Utah,Win 10-2,0,Ignored,0,2023-02-21,Presidents Day Invite 2022,1,10,2,600,8,933.13,1985.87,1533.13,1985.87,0,0,Stanford,5
41,Colorado College,Win 8-5,-4.22,Counts,0.0207,2023-02-21,Presidents Day Invite 2022,1,8,5,453.6,3,1332.86,1990.09,1786.46,1994.31,1786.46,36.979722,Stanford,6
2,Colorado,Win 8-7,9.7,Counts,0.025,2023-03-05,Stanford Invite 2022,1,8,7,125,1,2239.23,1976.18,2364.23,1966.48,2364.23,59.10575,Stanford,7
4,California-Santa Barbara,Loss 5-9,-8.79,Counts,0.0241,2023-03-05,Stanford Invite 2022,0,5,9,-529.06,-4,2159.38,1994.67,1630.3200000000002,2003.46,1630.3200000000002,39.290712000000006,Stanford,8
16,Western Washington,Win 7-3,6.55,Counts,0.0204,2023-03-05,Stanford Invite 2022,1,7,3,600,4,1700.37,1979.32,2300.37,1972.77,2300.37,46.927548,Stanford,9
17,Oregon,Loss 5-7,-15.17,Counts,0.0223,2023-03-05,Stanford Invite 2022,0,5,7,-328.14,-2,1650.51,2001.04,1322.37,2016.21,1322.37,29.488850999999997,Stanford,10
11,California-Davis,Win 9-6,8.45,Counts,0.025,2023-03-06,Stanford Invite 2022,1,9,6,418.57,3,1897.16,1977.42,2315.73,1968.97,2315.73,57.89325,Stanford,11
18,UCLA,Win 9-6,1.32,Counts,0.025,2023-03-06,Stanford Invite 2022,1,9,6,418.57,3,1618.64,1984.56,2037.21,1983.24,2037.21,50.93025,Stanford,12
5,British Columbia,Loss 7-15,-16.58,Counts,0.0334,2023-03-26,Northwest Challenge,0,7,15,-600,-8,2106.72,2002.45,1506.7199999999998,2019.03,1506.7199999999998,50.32444799999999,Stanford,13
3,Carleton College,Loss 12-14,-1.15,Counts,0.0334,2023-03-26,Northwest Challenge,0,12,14,-220.96,-2,2173.45,1987.03,1952.4899999999998,1988.18,1952.4899999999998,65.21316599999999,Stanford,14
16,Western Washington,Loss 12-13,-14.2,Counts,0.0334,2023-03-26,Northwest Challenge,0,12,13,-125,-1,1700.37,2000.08,1575.37,2014.28,1575.37,52.617357999999996,Stanford,15
40,Whitman,Win 15-2,0,Ignored,0,2023-03-27,Northwest Challenge,1,15,2,600,13,1340.5,1985.87,1940.5,1985.87,0,0,Stanford,16
18,UCLA,Win 15-8,6.84,Counts,0.0334,2023-03-27,Northwest Challenge,1,15,8,564.81,7,1618.64,1979.04,2183.45,1972.2,2183.45,72.92723,Stanford,17
27,California,Win 13-5,4.73,Counts,0.0398,2023-04-16,NorCal D I College Womens CC 2022,1,13,5,600,8,1500.15,1981.14,2100.15,1976.41,2100.15,83.58597,Stanford,18
129,Nevada-Reno,Win 13-1,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,1,13,1,600,12,684.23,1985.87,1284.23,1985.87,0,0,Stanford,19
176,Chico State,Win 13-0,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,1,13,0,600,13,386.79,1985.87,986.79,1985.87,0,0,Stanford,20
11,California-Davis,Win 10-9,1.5,Counts,0.0398,2023-04-17,NorCal D I College Womens CC 2022,1,10,9,125,1,1897.16,1984.37,2022.16,1982.87,2022.16,80.48196800000001,Stanford,21
57,Santa Clara,Win 13-8,-11.38,Counts,0.0398,2023-04-17,NorCal D I College Womens CC 2022,1,13,8,496.16,5,1214.91,1997.26,1711.0700000000002,2008.64,1711.0700000000002,68.100586,Stanford,22
27,California,Win 13-5,5.67,Counts,0.0473,2023-05-07,Southwest D I College Womens Regionals 2022,1,13,5,600,8,1500.15,1980.2,2100.15,1974.53,2100.15,99.337095,Stanford,23
9,California-San Diego,Loss 11-13,-12.74,Counts,0.0473,2023-05-07,Southwest D I College Womens Regionals 2022,0,11,13,-228.84,-2,1958.09,1998.61,1729.25,2011.35,1729.25,81.793525,Stanford,24
