OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
221,Boston University-B,Win 9-3,3.24,Counts,0.0774,2023-04-02,New England Open,1,9,3,600,6,34.38,592.6,634.38,589.36,634.38,49.101012,Stonehill,1
184,Bowdoin,Win 8-3,26.9,Counts,0.0728,2023-04-02,New England Open,1,8,3,600,5,338.32,568.94,938.3199999999999,542.0400000000001,938.3199999999999,68.309696,Stonehill,2
89,Brandeis,Loss 3-8,-15.9,Counts,0.0728,2023-04-02,New England Open,0,3,8,-600,-5,993.33,611.74,393.33000000000004,627.64,393.33000000000004,28.634424000000003,Stonehill,3
216,Wesleyan,Win 11-2,6.49,Counts,0.0859,2023-04-02,New England Open,1,11,2,600,9,64.92,589.34,664.92,582.85,664.92,57.116628,Stonehill,4
188,Northeastern-B,Win 12-5,32.21,Counts,0.0898,2023-04-03,New England Open,1,12,5,600,7,322.17,563.63,922.1700000000001,531.42,922.1700000000001,82.810866,Stonehill,5
37,Wellesley,Loss 4-12,0,Ignored,0,2023-04-03,New England Open,0,4,12,-600,-8,1368.3,595.83,768.3,595.83,0,0,Stonehill,6
122,Colby,Win 11-8,53.38,Counts,0.09359999999999999,2023-04-03,New England Open,1,11,8,365.61,3,747.13,542.46,1112.74,489.08000000000004,1112.74,104.152464,Stonehill,7
NA,Bentley,Win 15-5,0,Ignored,0,2023-04-23,Metro Boston D III College Womens CC 2022,1,15,5,600,10,NA,595.83,NA,595.83,0,NA,Stonehill,8
89,Brandeis,Loss 6-15,-25.36,Counts,0.11130000000000001,2023-04-23,Metro Boston D III College Womens CC 2022,0,6,15,-600,-9,993.33,621.2,393.33000000000004,646.5600000000001,393.33000000000004,43.77762900000001,Stonehill,9
89,Brandeis,Loss 3-15,-25.36,Counts,0.11130000000000001,2023-04-23,Metro Boston D III College Womens CC 2022,0,3,15,-600,-12,993.33,621.2,393.33000000000004,646.5600000000001,393.33000000000004,43.77762900000001,Stonehill,10
76,Amherst,Loss 4-8,-10.92,Counts,0.09369999999999999,2023-04-30,New England D III College Womens Regionals 2022,0,4,8,-564.81,-4,1055.04,606.76,490.23,617.68,490.23,45.934551,Stonehill,11
133,Smith,Loss 5-7,-28.51,Counts,0.09369999999999999,2023-04-30,New England D III College Womens Regionals 2022,0,5,7,-328.14,-2,648.32,624.34,320.18000000000006,652.85,320.18000000000006,30.000866000000002,Stonehill,12
80,Mount Holyoke,Loss 3-9,-17.73,Counts,0.0975,2023-04-30,New England D III College Womens Regionals 2022,0,3,9,-600,-6,1031.85,613.56,431.8499999999999,631.29,431.8499999999999,42.105374999999995,Stonehill,13
28,Williams,Loss 1-10,0,Ignored,0,2023-04-30,New England D III College Womens Regionals 2022,0,1,10,-600,-9,1490.38,595.83,890.3800000000001,595.83,0,0,Stonehill,14
