OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
66,Arkansas,Win 10-9,10.15,Counts,0.0385,2023-02-19,Big D Lil D,1,10,9,125,1,1137.7,998.72,1262.7,988.57,1262.7,48.61395,Texas A&M,1
132,Trinity,Win 11-3,9.15,Counts,0.0353,2023-02-19,Big D Lil D,1,11,3,600,8,658.98,999.73,1258.98,990.58,1258.98,44.441994,Texas A&M,2
19,Texas,Loss 2-13,0,Ignored,0,2023-02-19,Big D Lil D,0,2,13,-600,-11,1614.63,1008.88,1014.6300000000001,1008.88,0,0,Texas A&M,3
66,Arkansas,Loss 6-7,0.13,Counts,0.0318,2023-02-20,Big D Lil D,0,6,7,-125,-1,1137.7,1008.75,1012.7,1008.62,1012.7,32.203860000000006,Texas A&M,4
68,Kansas,Loss 4-9,-16,Counts,0.0318,2023-02-20,Big D Lil D,0,4,9,-600,-5,1122.06,1024.87,522.06,1040.87,522.06,16.601508,Texas A&M,5
165,North Texas,Win 8-3,1.58,Counts,0.029900000000000003,2023-02-20,Big D Lil D,1,8,3,600,5,460,1007.3,1060,1005.7199999999999,1060,31.694000000000003,Texas A&M,6
64,Iowa,Win 11-10,13.11,Counts,0.048499999999999995,2023-03-19,Womens Centex,1,11,10,125,1,1141.3,995.77,1266.3,982.66,1266.3,61.41554999999999,Texas A&M,7
132,Trinity,Win 11-4,11.64,Counts,0.044500000000000005,2023-03-19,Womens Centex,1,11,4,600,7,658.98,997.24,1258.98,985.6,1258.98,56.02461000000001,Texas A&M,8
208,Texas-B,Win 11-4,0,Ignored,0,2023-03-19,Womens Centex,1,11,4,600,7,125.3,1008.88,725.3,1008.88,0,0,Texas A&M,9
219,Texas-San Antonio,Win 11-0,0,Ignored,0,2023-03-19,Womens Centex,1,11,0,600,11,42.6,1008.88,642.6,1008.88,0,0,Texas A&M,10
165,North Texas,Win 10-5,1.13,Counts,0.0431,2023-03-20,Womens Centex,1,10,5,573.9,5,460,1007.75,1033.9,1006.62,1033.9,44.56109,Texas A&M,11
62,Washington University,Win 10-8,21.04,Counts,0.0472,2023-03-20,Womens Centex,1,10,8,262.67,2,1171.36,987.83,1434.03,966.7900000000001,1434.03,67.686216,Texas A&M,12
79,MIT,Win 9-4,26.06,Counts,0.0401,2023-03-20,Womens Centex,1,9,4,600,5,1033.13,982.81,1633.13,956.75,1633.13,65.488513,Texas A&M,13
169,Houston,Win 9-2,0.66,Counts,0.050499999999999996,2023-04-16,Texas D I College Womens CC 2022,1,9,2,600,7,421.33,1008.21,1021.3299999999999,1007.5500000000001,1021.3299999999999,51.577164999999994,Texas A&M,14
126,Sam Houston State,Win 11-8,4.28,Counts,0.061,2023-04-16,Texas D I College Womens CC 2022,1,11,8,365.61,3,709.17,1004.59,1074.78,1000.3100000000001,1074.78,65.56157999999999,Texas A&M,15
165,North Texas,Win 12-6,1.92,Counts,0.0594,2023-04-16,Texas D I College Womens CC 2022,1,12,6,579.31,6,460,1006.95,1039.31,1005.0300000000001,1039.31,61.735014,Texas A&M,16
85,Texas-Dallas,Loss 7-9,-16.96,Counts,0.055999999999999994,2023-04-16,Texas D I College Womens CC 2022,0,7,9,-279.34,-2,1002.36,1025.84,723.02,1042.8,723.02,40.48911999999999,Texas A&M,17
169,Houston,Win 15-2,0.81,Counts,0.061,2023-04-17,Texas D I College Womens CC 2022,1,15,2,600,13,421.33,1008.07,1021.3299999999999,1007.2600000000001,1021.3299999999999,62.30112999999999,Texas A&M,18
19,Texas,Loss 6-15,0,Ignored,0,2023-04-17,Texas D I College Womens CC 2022,0,6,15,-600,-9,1614.63,1008.88,1014.6300000000001,1008.88,0,0,Texas A&M,19
77,Texas State,Loss 7-9,-13.99,Counts,0.055999999999999994,2023-04-17,Texas D I College Womens CC 2022,0,7,9,-279.34,-2,1052.55,1022.86,773.21,1036.85,773.21,43.29976,Texas A&M,20
62,Washington University,Loss 3-13,-32.19,Counts,0.06849999999999999,2023-04-30,South Central D I College Womens Regionals 2022,0,3,13,-600,-10,1171.36,1041.06,571.3599999999999,1073.25,571.3599999999999,39.138159999999985,Texas A&M,21
19,Texas,Loss 4-13,0,Ignored,0,2023-04-30,South Central D I College Womens Regionals 2022,0,4,13,-600,-9,1614.63,1008.88,1014.6300000000001,1008.88,0,0,Texas A&M,22
77,Texas State,Loss 8-13,-33.29,Counts,0.06849999999999999,2023-04-30,South Central D I College Womens Regionals 2022,0,8,13,-496.16,-5,1052.55,1042.16,556.3899999999999,1075.45,556.3899999999999,38.11271499999999,Texas A&M,23
121,Saint Louis,Win 10-4,21.76,Counts,0.0599,2023-05-01,South Central D I College Womens Regionals 2022,1,10,4,600,6,750.63,987.11,1350.63,965.35,1350.63,80.90273700000002,Texas A&M,24
126,Sam Houston State,Win 10-9,-12.85,Counts,0.06849999999999999,2023-05-01,South Central D I College Womens Regionals 2022,1,10,9,125,1,709.17,1021.73,834.17,1034.58,834.17,57.14064499999999,Texas A&M,25
