OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
134,Arizona State,Loss 1-11,-5.45,Counts,0.06509999999999999,2023-02-12,Antifreeze 2022,0,1,11,-600,-10,647.05,130.75,47.049999999999955,136.2,47.049999999999955,3.0629549999999965,Texas-B,1
169,Houston,Loss 3-6,-12.86,Counts,0.048799999999999996,2023-02-12,Antifreeze 2022,0,3,6,-546.69,-3,421.33,138.16,-125.36000000000007,151.01999999999998,-125.36000000000007,-6.117568000000003,Texas-B,2
132,Trinity,Loss 2-12,-4.84,Counts,0.0681,2023-02-12,Antifreeze 2022,0,2,12,-600,-10,658.98,130.14,58.98000000000002,134.98,58.98000000000002,4.016538000000001,Texas-B,3
219,Texas-San Antonio,Win 8-7,2.85,Counts,0.063,2023-02-12,Antifreeze 2022,1,8,7,125,1,42.6,122.45,167.6,119.60000000000001,167.6,10.5588,Texas-B,4
98,Rice,Loss 4-13,0,Ignored,0,2023-02-13,Antifreeze 2022,0,4,13,-600,-9,929.32,125.3,329.32000000000005,125.3,0,0,Texas-B,5
123,Tulane,Loss 4-8,2.19,Counts,0.0564,2023-02-13,Antifreeze 2022,0,4,8,-564.81,-4,726.7,123.11,161.8900000000001,120.92,161.8900000000001,9.130596000000006,Texas-B,6
165,North Texas,Loss 5-8,-10.1,Counts,0.0783,2023-03-19,Womens Centex,0,5,8,-453.6,-3,460,135.4,6.399999999999977,145.5,6.399999999999977,0.5011199999999982,Texas-B,7
132,Trinity,Loss 2-9,-5.64,Counts,0.0783,2023-03-19,Womens Centex,0,2,9,-600,-7,658.98,130.93,58.98000000000002,136.57,58.98000000000002,4.618134000000001,Texas-B,8
82,Texas A&M,Loss 4-11,0,Ignored,0,2023-03-19,Womens Centex,0,4,11,-600,-7,1008.88,125.3,408.88,125.3,0,0,Texas-B,9
219,Texas-San Antonio,Win 8-5,31.52,Counts,0.0783,2023-03-19,Womens Centex,1,8,5,453.6,3,42.6,93.78,496.20000000000005,62.260000000000005,496.20000000000005,38.85246,Texas-B,10
64,Iowa,Loss 2-11,0,Ignored,0,2023-03-20,Womens Centex,0,2,11,-600,-9,1141.3,125.3,541.3,125.3,0,0,Texas-B,11
85,Texas-Dallas,Loss 2-10,0,Ignored,0,2023-03-20,Womens Centex,0,2,10,-600,-8,1002.36,125.3,402.36,125.3,0,0,Texas-B,12
219,Texas-San Antonio,Win 8-2,41.13,Counts,0.0737,2023-03-20,Womens Centex,1,8,2,600,6,42.6,84.16,642.6,43.029999999999994,642.6,47.35962,Texas-B,13
165,North Texas,Loss 4-9,-29.04,Counts,0.0987,2023-04-16,Texas D I College Womens CC 2022,0,4,9,-600,-5,460,154.34,-140,183.38,-140,-13.818,Texas-B,14
19,Texas,Loss 1-13,0,Ignored,0,2023-04-16,Texas D I College Womens CC 2022,0,1,13,-600,-12,1614.63,125.3,1014.6300000000001,125.3,0,0,Texas-B,15
77,Texas State,Loss 2-11,0,Ignored,0,2023-04-16,Texas D I College Womens CC 2022,0,2,11,-600,-9,1052.55,125.3,452.54999999999995,125.3,0,0,Texas-B,16
85,Texas-Dallas,Loss 6-10,46.82,Counts,0.10949999999999999,2023-04-16,Texas D I College Womens CC 2022,0,6,10,-496.16,-4,1002.36,78.48,506.2,31.660000000000004,506.2,55.42889999999999,Texas-B,17
169,Houston,Loss 2-5,-23.73,Counts,0.0724,2023-04-17,Texas D I College Womens CC 2022,0,2,5,-600,-3,421.33,149.02,-178.67000000000002,172.75,-178.67000000000002,-12.935708000000002,Texas-B,18
165,North Texas,Loss 5-11,-32.61,Counts,0.10949999999999999,2023-04-17,Texas D I College Womens CC 2022,0,5,11,-600,-6,460,157.91,-140,190.51999999999998,-140,-15.329999999999998,Texas-B,19
