OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
134,Arizona State,Win 7-6,3.7,Counts,0.0316,2023-02-12,Antifreeze 2022,1,7,6,125,1,647.05,655.28,772.05,651.5799999999999,772.05,24.39678,Trinity,1
169,Houston,Win 9-4,11.84,Counts,0.0316,2023-02-12,Antifreeze 2022,1,9,4,600,5,421.33,647.14,1021.3299999999999,635.3,1021.3299999999999,32.274028,Trinity,2
219,Texas-San Antonio,Win 11-3,0,Ignored,0,2023-02-12,Antifreeze 2022,1,11,3,600,8,42.6,658.98,642.6,658.98,0,0,Trinity,3
208,Texas-B,Win 12-2,2.53,Counts,0.036699999999999997,2023-02-12,Antifreeze 2022,1,12,2,600,10,125.3,656.45,725.3,653.9200000000001,725.3,26.618509999999997,Trinity,4
134,Arizona State,Loss 4-10,-21.16,Counts,0.0334,2023-02-13,Antifreeze 2022,0,4,10,-600,-6,647.05,680.14,47.049999999999955,701.3,47.049999999999955,1.5714699999999984,Trinity,5
126,Sam Houston State,Loss 7-9,-8.34,Counts,0.0351,2023-02-13,Antifreeze 2022,0,7,9,-279.34,-2,709.17,667.32,429.83,675.6600000000001,429.83,15.087033,Trinity,6
165,North Texas,Win 9-6,7.73,Counts,0.034,2023-02-13,Antifreeze 2022,1,9,6,418.57,3,460,651.25,878.5699999999999,643.52,878.5699999999999,29.87138,Trinity,7
66,Arkansas,Loss 6-8,6.43,Counts,0.0348,2023-02-19,Big D Lil D,0,6,8,-300.49,-2,1137.7,652.55,837.21,646.12,837.21,29.134908,Trinity,8
82,Texas A&M,Loss 3-11,-9.66,Counts,0.037200000000000004,2023-02-19,Big D Lil D,0,3,11,-600,-8,1008.88,668.64,408.88,678.3,408.88,15.210336000000002,Trinity,9
19,Texas,Loss 3-12,0,Ignored,0,2023-02-19,Big D Lil D,0,3,12,-600,-9,1614.63,658.98,1014.6300000000001,658.98,0,0,Trinity,10
68,Kansas,Loss 3-8,-4.46,Counts,0.0315,2023-02-20,Big D Lil D,0,3,8,-600,-5,1122.06,663.44,522.06,667.9000000000001,522.06,16.444889999999997,Trinity,11
165,North Texas,Win 9-7,3.1,Counts,0.037200000000000004,2023-02-20,Big D Lil D,1,9,7,279.34,2,460,655.87,739.3399999999999,652.77,739.3399999999999,27.503448,Trinity,12
77,Texas State,Loss 4-9,-7.16,Counts,0.0335,2023-02-20,Big D Lil D,0,4,9,-600,-5,1052.55,666.14,452.54999999999995,673.3,452.54999999999995,15.160425,Trinity,13
64,Iowa,Loss 2-11,-5.79,Counts,0.046900000000000004,2023-03-19,Womens Centex,0,2,11,-600,-9,1141.3,664.76,541.3,670.55,541.3,25.38697,Trinity,14
165,North Texas,Win 11-3,19.72,Counts,0.046900000000000004,2023-03-19,Womens Centex,1,11,3,600,8,460,639.26,1060,619.54,1060,49.714000000000006,Trinity,15
208,Texas-B,Win 9-2,2.93,Counts,0.042199999999999994,2023-03-19,Womens Centex,1,9,2,600,7,125.3,656.05,725.3,653.12,725.3,30.607659999999996,Trinity,16
82,Texas A&M,Loss 4-11,-12.3,Counts,0.046900000000000004,2023-03-19,Womens Centex,0,4,11,-600,-7,1008.88,671.28,408.88,683.5799999999999,408.88,19.176472,Trinity,17
64,Iowa,Loss 2-10,-5.5,Counts,0.0446,2023-03-20,Womens Centex,0,2,10,-600,-8,1141.3,664.47,541.3,669.97,541.3,24.141979999999997,Trinity,18
219,Texas-San Antonio,Win 9-2,0,Ignored,0,2023-03-20,Womens Centex,1,9,2,600,7,42.6,658.98,642.6,658.98,0,0,Trinity,19
77,Texas State,Loss 4-8,-7.24,Counts,0.0406,2023-03-20,Womens Centex,0,4,8,-564.81,-4,1052.55,666.22,487.74,673.46,487.74,19.802243999999998,Trinity,20
174,Colorado School of Mines,Win 13-3,26.07,Counts,0.0722,2023-04-30,South Central D III College Womens Regionals 2022,1,13,3,600,10,393.93,632.9,993.9300000000001,606.8299999999999,993.9300000000001,71.761746,Trinity,21
98,Rice,Loss 4-14,-25.66,Counts,0.0722,2023-04-30,South Central D III College Womens Regionals 2022,0,4,14,-600,-10,929.32,684.64,329.32000000000005,710.3,329.32000000000005,23.776904000000005,Trinity,22
150,Truman State,Win 10-6,28.73,Counts,0.0663,2023-04-30,South Central D III College Womens Regionals 2022,1,10,6,496.16,4,567.5,630.25,1063.66,601.52,1063.66,70.520658,Trinity,23
98,Rice,Loss 8-11,-7.42,Counts,0.0722,2023-05-01,South Central D III College Womens Regionals 2022,0,8,11,-365.61,-3,929.32,666.39,563.71,673.81,563.71,40.699862,Trinity,24
150,Truman State,Win 12-11,2.61,Counts,0.0722,2023-05-01,South Central D III College Womens Regionals 2022,1,12,11,125,1,567.5,656.37,692.5,653.76,692.5,49.9985,Trinity,25
