OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
64,Iowa,Loss 3-10,-1.49,Counts,0.0537,2023-03-05,Midwest Throwdown 2022,0,3,10,-600,-7,1141.3,568.99,541.3,570.48,541.3,29.067809999999998,Truman State,1
106,Michigan Tech,Loss 4-6,-3.84,Counts,0.0446,2023-03-05,Midwest Throwdown 2022,0,4,6,-365.61,-2,850.86,571.35,485.25,575.19,485.25,21.64215,Truman State,2
33,Minnesota,Loss 0-11,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,0,0,11,-600,-11,1420.67,567.5,820.6700000000001,567.5,0,0,Truman State,3
162,Oklahoma,Win 8-4,24.55,Counts,0.0489,2023-03-05,Midwest Throwdown 2022,1,8,4,564.81,4,480.27,542.96,1045.08,518.4100000000001,1045.08,51.104411999999996,Truman State,4
121,Saint Louis,Win 7-5,26.28,Counts,0.0489,2023-03-06,Midwest Throwdown 2022,1,7,5,328.14,2,750.63,541.23,1078.77,514.95,1078.77,52.751853,Truman State,5
35,Colorado State,Loss 0-13,0,Ignored,0,2023-03-06,Midwest Throwdown 2022,0,0,13,-600,-13,1405.77,567.5,805.77,567.5,0,0,Truman State,6
71,Northwestern,Loss 6-10,1.37,Counts,0.0564,2023-03-06,Midwest Throwdown 2022,0,6,10,-496.16,-4,1086.61,566.13,590.4499999999998,564.76,590.4499999999998,33.30137999999999,Truman State,7
38,Wisconsin,Loss 2-13,0,Ignored,0,2023-03-06,Midwest Throwdown 2022,0,2,13,-600,-11,1365.5,567.5,765.5,567.5,0,0,Truman State,8
33,Minnesota,Loss 5-6,42.92,Counts,0.0557,2023-03-26,Old Capital Open 2022,0,5,6,-125,-1,1420.67,524.58,1295.67,481.66,1295.67,72.168819,Truman State,9
130,Nebraska,Win 6-5,14.14,Counts,0.0557,2023-03-26,Old Capital Open 2022,1,6,5,125,1,682.47,553.36,807.47,539.22,807.47,44.976079,Truman State,10
68,Kansas,Loss 4-5,22.77,Counts,0.050300000000000004,2023-03-27,Old Capital Open 2022,0,4,5,-125,-1,1122.06,544.73,997.06,521.96,997.06,50.152118,Truman State,11
121,Saint Louis,Loss 4-9,-26.85,Counts,0.0605,2023-03-27,Old Capital Open 2022,0,4,9,-600,-5,750.63,594.35,150.63,621.2,150.63,9.113114999999999,Truman State,12
200,Wisconsin-B,Win 7-3,14.02,Counts,0.053099999999999994,2023-03-27,Old Capital Open 2022,1,7,3,600,4,217.67,553.48,817.67,539.46,817.67,43.418276999999996,Truman State,13
174,Colorado School of Mines,Win 10-9,-5.26,Counts,0.09759999999999999,2023-04-30,South Central D III College Womens Regionals 2022,1,10,9,125,1,393.93,572.76,518.9300000000001,578.02,518.9300000000001,50.647568,Truman State,14
98,Rice,Loss 1-15,-25.78,Counts,0.09759999999999999,2023-04-30,South Central D III College Womens Regionals 2022,0,1,15,-600,-14,929.32,593.28,329.32000000000005,619.06,329.32000000000005,32.141632,Truman State,15
132,Trinity,Loss 6-10,-39.83,Counts,0.08960000000000001,2023-04-30,South Central D III College Womens Regionals 2022,0,6,10,-496.16,-4,658.98,607.34,162.82,647.1700000000001,162.82,14.588672,Truman State,16
174,Colorado School of Mines,Loss 7-9,-44.58,Counts,0.08960000000000001,2023-05-01,South Central D III College Womens Regionals 2022,0,7,9,-279.34,-2,393.93,612.08,114.59000000000003,656.6600000000001,114.59000000000003,10.267264000000004,Truman State,17
132,Trinity,Loss 11-12,-3.63,Counts,0.09759999999999999,2023-05-01,South Central D III College Womens Regionals 2022,0,11,12,-125,-1,658.98,571.13,533.98,574.76,533.98,52.116448,Truman State,18
