OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
100,Case Western Reserve,Win 13-0,0,Ignored,0,2023-02-12,Queen City Tune Up 2022,1,13,0,600,13,905.86,2009.18,1505.8600000000001,2009.18,0,0,Tufts,1
47,Florida,Win 13-0,0,Ignored,0,2023-02-12,Queen City Tune Up 2022,1,13,0,600,13,1288.97,2009.18,1888.97,2009.18,0,0,Tufts,2
20,Virginia,Win 13-4,5.26,Counts,0.028399999999999998,2023-02-12,Queen City Tune Up 2022,1,13,4,600,9,1589.46,2003.92,2189.46,1998.66,2189.46,62.180664,Tufts,3
1,North Carolina,Loss 8-11,-0.92,Counts,0.028399999999999998,2023-02-13,Queen City Tune Up 2022,0,8,11,-365.61,-3,2343.45,2010.1,1977.8399999999997,2011.02,1977.8399999999997,56.17065599999999,Tufts,4
61,Ohio State,Win 14-2,0,Ignored,0,2023-02-13,Queen City Tune Up 2022,1,14,2,600,12,1173.55,2009.18,1773.55,2009.18,0,0,Tufts,5
13,Pittsburgh,Win 13-6,9.06,Counts,0.028399999999999998,2023-02-13,Queen City Tune Up 2022,1,13,6,600,7,1719.32,2000.12,2319.3199999999997,1991.06,2319.3199999999997,65.86868799999999,Tufts,6
27,California,Win 13-2,3.18,Counts,0.0337,2023-03-05,Stanford Invite 2022,1,13,2,600,11,1500.15,2006.01,2100.15,2002.83,2100.15,70.77505500000001,Tufts,7
9,California-San Diego,Loss 8-9,-5.81,Counts,0.0319,2023-03-05,Stanford Invite 2022,0,8,9,-125,-1,1958.09,2014.99,1833.09,2020.8,1833.09,58.475570999999995,Tufts,8
19,Texas,Win 10-8,-4.48,Counts,0.032799999999999996,2023-03-05,Stanford Invite 2022,1,10,8,262.67,2,1614.63,2013.66,1877.3000000000002,2018.14,1877.3000000000002,61.57544,Tufts,9
3,Carleton College,Loss 7-13,-13.73,Counts,0.0337,2023-03-06,Stanford Invite 2022,0,7,13,-557.53,-6,2173.45,2022.92,1615.9199999999998,2036.65,1615.9199999999998,54.456503999999995,Tufts,10
2,Colorado,Loss 7-9,-1.57,Counts,0.031,2023-03-06,Stanford Invite 2022,0,7,9,-279.34,-2,2239.23,2010.76,1959.89,2012.33,1959.89,60.75659,Tufts,11
19,Texas,Win 11-8,-1.01,Counts,0.0337,2023-03-06,Stanford Invite 2022,1,11,8,365.61,3,1614.63,2010.19,1980.2400000000002,2011.2,1980.2400000000002,66.73408800000001,Tufts,12
51,Chicago,Win 13-5,0,Ignored,0,2023-03-19,Womens Centex,1,13,5,600,8,1242.24,2009.18,1842.24,2009.18,0,0,Tufts,13
30,Georgia Tech,Win 15-4,1.96,Counts,0.0379,2023-03-19,Womens Centex,1,15,4,600,11,1458.95,2007.22,2058.95,2005.26,2058.95,78.034205,Tufts,14
41,Colorado College,Win 13-5,0,Ignored,0,2023-03-20,Womens Centex,1,13,5,600,8,1332.86,2009.18,1932.86,2009.18,0,0,Tufts,15
14,Florida State,Loss 10-11,-16.77,Counts,0.0379,2023-03-20,Womens Centex,0,10,11,-125,-1,1708.29,2025.95,1583.29,2042.72,1583.29,60.006691000000004,Tufts,16
19,Texas,Win 11-2,7.4,Counts,0.0348,2023-03-20,Womens Centex,1,11,2,600,9,1614.63,2001.78,2214.63,1994.3799999999999,2214.63,77.069124,Tufts,17
157,Boston College,Win 13-0,0,Ignored,0,2023-04-23,Metro Boston D I College Womens CC 2022,1,13,0,600,13,507.98,2009.18,1107.98,2009.18,0,0,Tufts,18
154,Harvard,Win 13-2,0,Ignored,0,2023-04-23,Metro Boston D I College Womens CC 2022,1,13,2,600,11,537.68,2009.18,1137.6799999999998,2009.18,0,0,Tufts,19
