OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
9,California-San Diego,Loss 7-13,12.89,Counts,0.027999999999999997,2023-01-29,Santa Barbara Invite 2022,0,7,13,-557.53,-6,1958.09,940.53,1400.56,927.64,1400.56,39.21567999999999,UCSC,1
4,California-Santa Barbara,Loss 5-13,0,Ignored,0,2023-01-29,Santa Barbara Invite 2022,0,5,13,-600,-8,2159.38,953.42,1559.38,953.42,0,0,UCSC,2
18,UCLA,Loss 2-13,0,Ignored,0,2023-01-29,Santa Barbara Invite 2022,0,2,13,-600,-11,1618.64,953.42,1018.6400000000001,953.42,0,0,UCSC,3
60,Cal Poly-SLO,Loss 7-11,-6.84,Counts,0.0273,2023-01-30,Santa Barbara Invite 2022,0,7,11,-466.89,-4,1176.39,960.26,709.5000000000001,967.1,709.5000000000001,19.369350000000004,UCSC,4
78,Southern California,Win 7-4,12.69,Counts,0.0213,2023-01-30,Santa Barbara Invite 2022,1,7,4,496.16,3,1039.77,940.73,1535.93,928.04,1535.93,32.715309,UCSC,5
57,Santa Clara,Loss 5-8,-4.84,Counts,0.0246,2023-02-05,Stanford Open 2022,0,5,8,-453.6,-3,1214.91,958.26,761.3100000000001,963.1,761.3100000000001,18.728226000000003,UCSC,6
160,Sonoma State,Win 10-4,3.72,Counts,0.0259,2023-02-05,Stanford Open 2022,1,10,4,600,6,493.28,949.7,1093.28,945.98,1093.28,28.315952,UCSC,7
124,Occidental,Loss 6-7,-8.98,Counts,0.0246,2023-02-05,Stanford Open 2022,0,6,7,-125,-1,721.86,962.4,596.86,971.38,596.86,14.682756000000001,UCSC,8
129,Nevada-Reno,Win 10-2,8.81,Counts,0.0259,2023-02-05,Stanford Open 2022,1,10,2,600,8,684.23,944.61,1284.23,935.8000000000001,1284.23,33.261556999999996,UCSC,9
112,California-San Diego-B,Loss 6-7,-7.12,Counts,0.0246,2023-02-06,Stanford Open 2022,0,6,7,-125,-1,795.6,960.54,670.6,967.66,670.6,16.496760000000002,UCSC,10
78,Southern California,Loss 3-13,-15.71,Counts,0.0297,2023-02-06,Stanford Open 2022,0,3,13,-600,-10,1039.77,969.13,439.77,984.84,439.77,13.061169,UCSC,11
176,Chico State,Loss 5-7,-21.62,Counts,0.0236,2023-02-06,Stanford Open 2022,0,5,7,-328.14,-2,386.79,975.04,58.650000000000034,996.66,58.650000000000034,1.3841400000000008,UCSC,12
