OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
60,Cal Poly-SLO,Loss 7-9,-1.69,Counts,0.0449,2023-02-19,Presidents Day Invite 2022,0,7,9,-279.34,-2,1176.39,934.82,897.0500000000002,936.5100000000001,897.0500000000002,40.27754500000001,Utah,1
4,California-Santa Barbara,Loss 2-13,0,Ignored,0,2023-02-19,Presidents Day Invite 2022,0,2,13,-600,-11,2159.38,933.13,1559.38,933.13,0,0,Utah,2
112,California-San Diego-B,Win 8-5,13.32,Counts,0.0405,2023-02-20,Presidents Day Invite 2022,1,8,5,453.6,3,795.6,919.8,1249.2,906.4799999999999,1249.2,50.592600000000004,Utah,3
2,Colorado,Loss 1-14,0,Ignored,0,2023-02-20,Presidents Day Invite 2022,0,1,14,-600,-13,2239.23,933.13,1639.23,933.13,0,0,Utah,4
41,Colorado College,Loss 5-15,-10.3,Counts,0.0489,2023-02-20,Presidents Day Invite 2022,0,5,15,-600,-10,1332.86,943.42,732.8599999999999,953.7199999999999,732.8599999999999,35.836853999999995,Utah,5
78,Southern California,Win 8-7,10.52,Counts,0.0435,2023-02-21,Presidents Day Invite 2022,1,8,7,125,1,1039.77,922.6,1164.77,912.08,1164.77,50.667494999999995,Utah,6
8,Stanford,Loss 2-10,0,Ignored,0,2023-02-21,Presidents Day Invite 2022,0,2,10,-600,-8,1985.87,933.13,1385.87,933.13,0,0,Utah,7
95,Denver,Loss 4-6,-15.66,Counts,0.042199999999999994,2023-03-12,Big Sky Brawl,0,4,6,-365.61,-2,943.26,948.78,577.65,964.4399999999999,577.65,24.376829999999995,Utah,8
96,Montana,Loss 8-9,-7.04,Counts,0.055,2023-03-12,Big Sky Brawl,0,8,9,-125,-1,937.17,940.17,812.17,947.2099999999999,812.17,44.66935,Utah,9
104,Montana State,Loss 4-10,-34.61,Counts,0.0508,2023-03-12,Big Sky Brawl,0,4,10,-600,-6,886.47,967.74,286.47,1002.35,286.47,14.552676,Utah,10
52,Portland,Loss 6-7,8.85,Counts,0.0481,2023-03-12,Big Sky Brawl,0,6,7,-125,-1,1233.18,924.28,1108.18,915.43,1108.18,53.303458,Utah,11
179,Boise State,Win 10-2,2.41,Counts,0.0508,2023-03-13,Big Sky Brawl,1,10,2,600,8,378.1,930.72,978.1,928.3100000000001,978.1,49.68748,Utah,12
40,Whitman,Loss 4-15,-16.21,Counts,0.0776,2023-04-16,Big Sky D I College Womens CC 2022,0,4,15,-600,-11,1340.5,949.34,740.5,965.5500000000001,740.5,57.4628,Utah,13
104,Montana State,Win 10-9,6.59,Counts,0.0776,2023-04-16,Big Sky D I College Womens CC 2022,1,10,9,125,1,886.47,926.53,1011.47,919.9399999999999,1011.47,78.490072,Utah,14
NA,Utah State,Loss 11-12,-19.14,Counts,0.0776,2023-04-16,Big Sky D I College Womens CC 2022,0,11,12,-125,-1,830.72,952.26,705.72,971.4,705.72,54.763872000000006,Utah,15
96,Montana,Win 10-8,21.8,Counts,0.0756,2023-04-17,Big Sky D I College Womens CC 2022,1,10,8,262.67,2,937.17,911.33,1199.84,889.5300000000001,1199.84,90.707904,Utah,16
6,Washington,Loss 4-13,0,Ignored,0,2023-05-07,Northwest D I College Womens Regionals 2022,0,4,13,-600,-9,2068.65,933.13,1468.65,933.13,0,0,Utah,17
16,Western Washington,Loss 2-13,0,Ignored,0,2023-05-07,Northwest D I College Womens Regionals 2022,0,2,13,-600,-11,1700.37,933.13,1100.37,933.13,0,0,Utah,18
40,Whitman,Loss 8-9,27.02,Counts,0.0873,2023-05-07,Northwest D I College Womens Regionals 2022,0,8,9,-125,-1,1340.5,906.11,1215.5,879.09,1215.5,106.11315,Utah,19
104,Montana State,Win 9-8,7.5,Counts,0.0873,2023-05-07,Northwest D I College Womens Regionals 2022,1,9,8,125,1,886.47,925.63,1011.47,918.13,1011.47,88.301331,Utah,20
104,Montana State,Win 13-12,7.97,Counts,0.09230000000000001,2023-05-08,Northwest D I College Womens Regionals 2022,1,13,12,125,1,886.47,925.16,1011.47,917.1899999999999,1011.47,93.358681,Utah,21
