OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
86,Alabama,Loss 3-9,0,Ignored,0,2023-02-26,TOTS,0,3,9,-600,-6,997.55,43.69,397.54999999999995,43.69,0,0,Vanderbilt,1
127,Jacksonville State,Loss 3-7,8.92,Counts,0.1273,2023-02-26,TOTS,0,3,7,-600,-4,704.84,34.78,104.84000000000003,25.86,104.84000000000003,13.346132000000004,Vanderbilt,2
53,Central Florida,Loss 1-12,0,Ignored,0,2023-02-26,TOTS,0,1,12,-600,-11,1229.71,43.69,629.71,43.69,0,0,Vanderbilt,3
45,Tennessee,Loss 1-13,0,Ignored,0,2023-02-26,TOTS,0,1,13,-600,-12,1302.41,43.69,702.4100000000001,43.69,0,0,Vanderbilt,4
127,Jacksonville State,Loss 8-10,82.04,Counts,0.1707,2023-02-27,TOTS,0,8,10,-262.67,-2,704.84,38.35,442.17,-43.690000000000005,442.17,75.478419,Vanderbilt,5
237,Emory-B,Win 10-2,0,Ignored,0,2023-02-27,TOTS,1,10,2,600,8,634.24,43.69,1234.24,43.69,0,0,Vanderbilt,6
223,Purdue-B,Loss 6-7,-27.23,Counts,0.1451,2023-02-27,TOTS,0,6,7,-125,-1,8.23,70.93,-116.77,98.16000000000001,-116.77,-16.943327,Vanderbilt,7
86,Alabama,Loss 3-13,0,Ignored,0,2023-04-23,Gulf Coast D I College Womens CC 2022,0,3,13,-600,-10,997.55,43.69,397.54999999999995,43.69,0,0,Vanderbilt,8
139,Auburn,Loss 2-15,-1.31,Counts,0.2785,2023-04-23,Gulf Coast D I College Womens CC 2022,0,2,15,-600,-13,640.3,45,40.299999999999955,46.31,40.299999999999955,11.223549999999989,Vanderbilt,9
123,Tulane,Loss 1-13,0,Ignored,0,2023-04-23,Gulf Coast D I College Womens CC 2022,0,1,13,-600,-12,726.7,43.69,126.70000000000005,43.69,0,0,Vanderbilt,10
166,LSU,Loss 1-15,-71.5,Counts,0.2785,2023-04-24,Gulf Coast D I College Womens CC 2022,0,1,15,-600,-14,458.41,115.19,-141.58999999999997,186.69,-141.58999999999997,-39.432815,Vanderbilt,11
