OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
115,Georgetown,Win 7-4,24.37,Counts,0.0629,2023-03-26,Rodeo,1,7,4,496.16,3,775.98,884.95,1272.14,860.58,1272.14,80.017606,Vermont-B,1
63,Duke,Loss 2-13,-32.58,Counts,0.0827,2023-03-26,Rodeo,0,2,13,-600,-11,1147.99,941.9,547.99,974.48,547.99,45.318773,Vermont-B,2
42,North Carolina State,Loss 6-9,0.17,Counts,0.0735,2023-03-26,Rodeo,0,6,9,-418.57,-3,1329.97,909.15,911.4000000000001,908.98,911.4000000000001,66.9879,Vermont-B,3
189,Virginia-B,Win 8-3,0.74,Counts,0.0643,2023-03-26,Rodeo,1,8,3,600,5,320.06,908.58,920.06,907.84,920.06,59.15985799999999,Vermont-B,4
59,St. Olaf,Loss 5-6,9.7,Counts,0.0629,2023-03-27,Rodeo,0,5,6,-125,-1,NA,899.62,NA,889.92,NA,NA,Vermont-B,5
101,Massachusetts,Win 9-6,32.71,Counts,0.0735,2023-03-27,Rodeo,1,9,6,418.57,3,903.06,876.61,1321.6299999999999,843.9,1321.6299999999999,97.13980499999998,Vermont-B,6
NA,Colgate,Win 14-7,17.69,Counts,0.0876,2023-04-02,Northeast Classic,1,14,7,582.89,7,510.61,891.63,1093.5,873.9399999999999,1093.5,95.7906,Vermont-B,7
227,SUNY-Albany,Win 15-1,0,Ignored,0,2023-04-02,Northeast Classic,1,15,1,600,14,106.46,909.32,706.46,909.32,0,0,Vermont-B,8
224,Massachusetts-B,Win 8-4,-26.46,Counts,0.0696,2023-04-03,Northeast Classic,1,8,4,564.81,4,9.02,935.78,573.8299999999999,962.24,573.8299999999999,39.93856799999999,Vermont-B,9
31,SUNY-Binghamton,Loss 6-15,-5.52,Counts,0.0876,2023-04-03,Northeast Classic,0,6,15,-600,-9,1451.86,914.83,851.8599999999999,920.35,851.8599999999999,74.622936,Vermont-B,10
93,SUNY-Geneseo,Loss 9-11,-19.04,Counts,0.0876,2023-04-03,Northeast Classic,0,9,11,-249.21,-2,960.28,928.36,711.0699999999999,947.4,711.0699999999999,62.289731999999994,Vermont-B,11
188,Northeastern-B,Win 10-1,1.21,Counts,0.0859,2023-04-16,New England Dev College Womens CC 2022,1,10,1,600,9,322.17,908.11,922.1700000000001,906.9,922.1700000000001,79.214403,Vermont-B,12
197,Wellesley-B,Win 13-1,0,Ignored,0,2023-04-16,New England Dev College Womens CC 2022,1,13,1,600,12,230.18,909.32,830.1800000000001,909.32,0,0,Vermont-B,13
188,Northeastern-B,Win 11-5,1.27,Counts,0.09029999999999999,2023-04-17,New England Dev College Womens CC 2022,1,11,5,600,6,322.17,908.04,922.1700000000001,906.77,922.1700000000001,83.271951,Vermont-B,14
163,Tufts-B,Win 6-4,-4.91,Counts,0.07139999999999999,2023-04-17,New England Dev College Womens CC 2022,1,6,4,365.61,2,479.82,914.23,845.4300000000001,919.14,845.4300000000001,60.363701999999996,Vermont-B,15
