OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
15,Georgia,Win 11-4,10.79,Counts,0.0279,2023-02-12,Queen City Tune Up 2022,1,11,4,600,7,1707.34,1920.82,2307.34,1910.03,2307.34,64.374786,Vermont,1
73,Notre Dame,Win 11-8,-15.55,Counts,0.0304,2023-02-12,Queen City Tune Up 2022,1,11,8,365.61,3,1070.39,1947.15,1436,1962.7,1436,43.6544,Vermont,2
44,William & Mary,Win 9-4,-0.13,Counts,0.0252,2023-02-12,Queen City Tune Up 2022,1,9,4,600,5,1326.51,1931.74,1926.51,1931.8700000000001,1926.51,48.548052,Vermont,3
1,North Carolina,Loss 8-12,-0.92,Counts,0.0304,2023-02-13,Queen City Tune Up 2022,0,8,12,-441.15,-4,2343.45,1932.53,1902.2999999999997,1933.45,1902.2999999999997,57.829919999999994,Vermont,4
34,Michigan,Win 12-3,2.28,Counts,0.0292,2023-02-13,Queen City Tune Up 2022,1,12,3,600,9,1407.34,1929.33,2007.34,1927.05,2007.34,58.614328,Vermont,5
13,Pittsburgh,Win 13-6,12.16,Counts,0.0304,2023-02-13,Queen City Tune Up 2022,1,13,6,600,7,1719.32,1919.44,2319.3199999999997,1907.28,2319.3199999999997,70.50732799999999,Vermont,6
6,Washington,Win 15-12,19.66,Counts,0.043,2023-03-26,Northwest Challenge,1,15,12,300.49,3,2068.65,1911.94,2369.1400000000003,1892.28,2369.1400000000003,101.87302000000001,Vermont,7
16,Western Washington,Win 15-11,6.74,Counts,0.043,2023-03-26,Northwest Challenge,1,15,11,381.16,4,1700.37,1924.87,2081.5299999999997,1918.1299999999999,2081.5299999999997,89.50578999999998,Vermont,8
40,Whitman,Win 15-7,0.4,Counts,0.043,2023-03-26,Northwest Challenge,1,15,7,600,8,1340.5,1931.21,1940.5,1930.81,1940.5,83.44149999999999,Vermont,9
1,North Carolina,Loss 14-15,12.89,Counts,0.043,2023-03-27,Northwest Challenge,0,14,15,-125,-1,2343.45,1918.71,2218.45,1905.82,2218.45,95.39334999999998,Vermont,10
6,Washington,Loss 13-14,0.54,Counts,0.043,2023-03-27,Northwest Challenge,0,13,14,-125,-1,2068.65,1931.06,1943.65,1930.52,1943.65,83.57695,Vermont,11
26,Brown,Win 15-10,1.28,Counts,0.0512,2023-04-16,Greater New England D I College Womens CC 2022,1,15,10,453.6,5,1501.72,1930.33,1955.3200000000002,1929.05,1955.3200000000002,100.11238400000002,Vermont,12
74,McGill,Win 12-4,0,Ignored,0,2023-04-16,Greater New England D I College Womens CC 2022,1,12,4,600,8,1061,1931.61,1661,1931.61,0,0,Vermont,13
90,New Hampshire,Win 15-0,0,Ignored,0,2023-04-16,Greater New England D I College Womens CC 2022,1,15,0,600,15,987.85,1931.61,1587.85,1931.61,0,0,Vermont,14
26,Brown,Win 9-7,-8.9,Counts,0.0558,2023-05-07,New England D I College Womens Regionals 2022,1,9,7,279.34,2,1501.72,1940.51,1781.06,1949.41,1781.06,99.383148,Vermont,15
21,Northeastern,Win 8-5,3.71,Counts,0.050300000000000004,2023-05-07,New England D I College Womens Regionals 2022,1,8,5,453.6,3,1548.06,1927.89,2001.6599999999999,1924.18,2001.6599999999999,100.683498,Vermont,16
21,Northeastern,Win 7-2,9.99,Counts,0.0441,2023-05-08,New England D I College Womens Regionals 2022,1,7,2,600,5,1548.06,1921.61,2148.06,1911.62,2148.06,94.729446,Vermont,17
7,Tufts,Loss 4-8,-24.75,Counts,0.0483,2023-05-08,New England D I College Womens Regionals 2022,0,4,8,-564.81,-4,2009.18,1956.36,1444.3700000000001,1981.11,1444.3700000000001,69.76307100000001,Vermont,18
44,William & Mary,Win 15-2,0,Ignored,0,2023-05-27,2022 D I College Championships,1,15,2,600,13,1326.51,1931.61,1926.51,1931.61,0,0,Vermont,19
31,SUNY-Binghamton,Win 15-3,9.38,Counts,0.0723,2023-05-27,2022 D I College Championships,1,15,3,600,12,1451.86,1922.23,2051.8599999999997,1912.85,2051.8599999999997,148.34947799999998,Vermont,20
8,Stanford,Win 15-13,20.93,Counts,0.0723,2023-05-28,2022 D I College Championships,1,15,13,214.18,2,1985.87,1910.67,2200.0499999999997,1889.74,2200.0499999999997,159.063615,Vermont,21
4,California-Santa Barbara,Loss 7-15,-29.03,Counts,0.0723,2023-05-28,2022 D I College Championships,0,7,15,-600,-8,2159.38,1960.63,1559.38,1989.66,1559.38,112.74317400000001,Vermont,22
6,Washington,Loss 12-15,-12.75,Counts,0.0723,2023-05-28,2022 D I College Championships,0,12,15,-300.49,-3,2068.65,1944.35,1768.16,1957.1,1768.16,127.83796800000002,Vermont,23
2,Colorado,Loss 8-15,-20.05,Counts,0.0723,2023-05-29,2022 D I College Championships,0,8,15,-564.81,-7,2239.23,1951.66,1674.42,1971.71,1674.42,121.06056600000001,Vermont,24
