OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
120,Cedarville,Loss 2-12,-16.29,Counts,0.0926,2023-02-19,Commonwealth Cup Weekend 1,0,2,12,-600,-10,760.52,336.34,160.51999999999998,352.63,160.51999999999998,14.864151999999999,Virginia-B,1
183,Florida-B,Win 3-2,7.67,Counts,0.0495,2023-02-19,Commonwealth Cup Weekend 1,1,3,2,125,1,342.29,312.38,467.29,304.71,467.29,23.130855,Virginia-B,2
107,Mary Washington,Loss 4-6,11.92,Counts,0.07,2023-02-19,Commonwealth Cup Weekend 1,0,4,6,-365.61,-2,843.9,308.14,478.28999999999996,296.21999999999997,478.28999999999996,33.4803,Virginia-B,3
173,Michigan-B,Win 6-5,15.93,Counts,0.07339999999999999,2023-02-19,Commonwealth Cup Weekend 1,1,6,5,125,1,395.97,304.13,520.97,288.2,520.97,38.239198,Virginia-B,4
152,North Carolina-B,Win 8-7,33.16,Counts,0.0858,2023-02-20,Commonwealth Cup Weekend 1,1,8,7,125,1,548.48,286.9,673.48,253.73999999999998,673.48,57.784584,Virginia-B,5
61,Ohio State,Loss 8-10,61.27,Counts,0.094,2023-02-20,Commonwealth Cup Weekend 1,0,8,10,-262.67,-2,1173.55,258.79,910.8799999999999,197.52,910.8799999999999,85.62271999999999,Virginia-B,6
115,Georgetown,Loss 3-9,-17.19,Counts,0.1066,2023-03-26,Rodeo,0,3,9,-600,-6,775.98,337.24,175.98000000000002,354.43,175.98000000000002,18.759468000000002,Virginia-B,7
63,Duke,Loss 2-12,0,Ignored,0,2023-03-26,Rodeo,0,2,12,-600,-10,1147.99,320.06,547.99,320.06,0,0,Virginia-B,8
99,Vermont-B,Loss 3-8,-1.2,Counts,0.1002,2023-03-26,Rodeo,0,3,8,-600,-5,909.32,321.25,309.32000000000005,322.45,309.32000000000005,30.993864000000006,Virginia-B,9
115,Georgetown,Loss 5-9,-9.1,Counts,0.1106,2023-03-27,Rodeo,0,5,9,-529.06,-4,775.98,329.15,246.92000000000007,338.25,246.92000000000007,27.309352000000008,Virginia-B,10
230,Georgetown-B,Win 7-6,-47.24,Counts,0.1066,2023-03-27,Rodeo,1,7,6,125,1,200.93,367.3,325.93,414.54,325.93,34.744138,Virginia-B,11
193,Wake Forest,Loss 6-8,-42.1,Counts,0.1106,2023-03-27,Rodeo,0,6,8,-300.49,-2,282,362.16,-18.49000000000001,404.26000000000005,-18.49000000000001,-2.044994000000001,Virginia-B,12
