OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
69,Charleston,Loss 2-13,0,Ignored,0,2023-02-26,Cutlass Classic 2022,0,2,13,-600,-11,1109.51,282,509.51,282,0,0,Wake Forest,1
128,George Washington,Loss 5-12,-17.44,Counts,0.08689999999999999,2023-02-26,Cutlass Classic 2022,0,5,12,-600,-7,698.73,299.44,98.73000000000002,316.88,98.73000000000002,8.579637,Wake Forest,2
137,East Carolina,Loss 3-12,-22.75,Counts,0.08689999999999999,2023-02-26,Cutlass Classic 2022,0,3,12,-600,-9,643.02,304.75,43.01999999999998,327.5,43.01999999999998,3.738437999999998,Wake Forest,3
138,Navy,Loss 3-10,-20.76,Counts,0.0791,2023-02-26,Cutlass Classic 2022,0,3,10,-600,-7,640.35,302.76,40.35000000000002,323.52,40.35000000000002,3.191685000000002,Wake Forest,4
56,Liberty,Loss 2-10,0,Ignored,0,2023-02-27,Cutlass Classic 2022,0,2,10,-600,-8,1220.56,282,620.56,282,0,0,Wake Forest,5
230,Georgetown-B,Win 10-4,12.96,Counts,0.09970000000000001,2023-03-26,Rodeo,1,10,4,600,6,200.93,269.04,800.9300000000001,256.08000000000004,800.9300000000001,79.85272100000002,Wake Forest,6
152,North Carolina-B,Loss 1-9,-34.76,Counts,0.0944,2023-03-26,Rodeo,0,1,9,-600,-8,548.48,316.76,-51.51999999999998,351.52,-51.51999999999998,-4.8634879999999985,Wake Forest,7
56,Liberty,Loss 1-10,0,Ignored,0,2023-03-26,Rodeo,0,1,10,-600,-9,1220.56,282,620.56,282,0,0,Wake Forest,8
115,Georgetown,Win 7-6,64.5,Counts,0.0944,2023-03-27,Rodeo,1,7,6,125,1,775.98,217.5,900.98,153,900.98,85.052512,Wake Forest,9
230,Georgetown-B,Win 6-5,-34.03,Counts,0.0868,2023-03-27,Rodeo,1,6,5,125,1,200.93,316.03,325.93,350.05999999999995,325.93,28.290724,Wake Forest,10
189,Virginia-B,Win 8-6,36.76,Counts,0.09789999999999999,2023-03-27,Rodeo,1,8,6,300.49,2,320.06,245.25,620.55,208.49,620.55,60.75184499999999,Wake Forest,11
25,Appalachian State,Loss 1-13,0,Ignored,0,2023-04-23,Carolina D I College Womens CC 2022,0,1,13,-600,-12,1504.18,282,904.1800000000001,282,0,0,Wake Forest,12
69,Charleston,Loss 2-13,0,Ignored,0,2023-04-23,Carolina D I College Womens CC 2022,0,2,13,-600,-11,1109.51,282,509.51,282,0,0,Wake Forest,13
63,Duke,Loss 2-13,0,Ignored,0,2023-04-23,Carolina D I College Womens CC 2022,0,2,13,-600,-11,1147.99,282,547.99,282,0,0,Wake Forest,14
149,North Carolina-Wilmington,Loss 8-9,28.56,Counts,0.136,2023-04-23,Carolina D I College Womens CC 2022,0,8,9,-125,-1,588.46,253.44,463.46000000000004,224.88,463.46000000000004,63.03056000000001,Wake Forest,15
88,South Carolina,Loss 3-9,0,Ignored,0,2023-04-24,Carolina D I College Womens CC 2022,0,3,9,-600,-6,994.19,282,394.19000000000005,282,0,0,Wake Forest,16
109,Clemson,Loss 5-12,-11.08,Counts,0.138,2023-04-24,Carolina D I College Womens CC 2022,0,5,12,-600,-7,812.78,293.08,212.77999999999997,304.15999999999997,212.77999999999997,29.36364,Wake Forest,17
