OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
12,Brigham Young,Win 11-10,-4.61,Counts,0.033,2023-03-05,Stanford Invite 2022,1,11,10,125,1,1808.7,2073.26,1933.7,2077.8700000000003,1933.7,63.81210000000001,Washington,1
27,California,Win 13-3,1.08,Counts,0.033,2023-03-05,Stanford Invite 2022,1,13,3,600,10,1500.15,2067.57,2100.15,2066.4900000000002,2100.15,69.30495,Washington,2
18,UCLA,Win 13-7,3.67,Counts,0.033,2023-03-05,Stanford Invite 2022,1,13,7,557.53,6,1618.64,2064.97,2176.17,2061.2999999999997,2176.17,71.81361000000001,Washington,3
9,California-San Diego,Loss 8-11,-16.27,Counts,0.033,2023-03-06,Stanford Invite 2022,0,8,11,-365.61,-3,1958.09,2084.91,1592.48,2101.18,1592.48,52.551840000000006,Washington,4
4,California-Santa Barbara,Loss 6-9,-9.91,Counts,0.029300000000000003,2023-03-06,Stanford Invite 2022,0,6,9,-418.57,-3,2159.38,2078.56,1740.8100000000002,2088.47,1740.8100000000002,51.00573300000001,Washington,5
17,Oregon,Win 13-3,6.21,Counts,0.033,2023-03-06,Stanford Invite 2022,1,13,3,600,10,1650.51,2062.43,2250.51,2056.22,2250.51,74.26683000000001,Washington,6
40,Whitman,Win 15-8,-6.68,Counts,0.0393,2023-03-26,Northwest Challenge,1,15,8,564.81,7,1340.5,2075.32,1905.31,2082,1905.31,74.878683,Washington,7
10,Vermont,Loss 12-15,-17.89,Counts,0.0393,2023-03-26,Northwest Challenge,0,12,15,-300.49,-3,1931.61,2086.54,1631.12,2104.43,1631.12,64.103016,Washington,8
18,UCLA,Win 15-13,-9.64,Counts,0.0393,2023-03-26,Northwest Challenge,1,15,13,214.18,2,1618.64,2078.29,1832.8200000000002,2087.93,1832.8200000000002,72.02982600000001,Washington,9
9,California-San Diego,Win 15-13,4.24,Counts,0.0393,2023-03-27,Northwest Challenge,1,15,13,214.18,2,1958.09,2064.41,2172.27,2060.17,2172.27,85.370211,Washington,10
2,Colorado,Loss 7-15,-17.56,Counts,0.0393,2023-03-27,Northwest Challenge,0,7,15,-600,-8,2239.23,2086.2,1639.23,2103.7599999999998,1639.23,64.421739,Washington,11
10,Vermont,Win 14-13,-0.49,Counts,0.0393,2023-03-27,Northwest Challenge,1,14,13,125,1,1931.61,2069.14,2056.6099999999997,2069.6299999999997,2056.6099999999997,80.824773,Washington,12
NA,Washington-B,Win 13-2,0,Ignored,0,2023-04-16,Cascadia D I College Womens CC 2022,1,13,2,600,11,NA,2068.65,NA,2068.65,0,NA,Washington,13
16,Western Washington,Win 12-8,3.57,Counts,0.0467,2023-04-16,Cascadia D I College Womens CC 2022,1,12,8,441.15,4,1700.37,2065.07,2141.52,2061.5,2141.52,100.008984,Washington,14
5,British Columbia,Win 13-8,26.18,Counts,0.0467,2023-04-17,Cascadia D I College Womens CC 2022,1,13,8,496.16,5,2106.72,2042.47,2602.8799999999997,2016.29,2602.8799999999997,121.55449599999999,Washington,15
17,Oregon,Win 10-8,-7.41,Counts,0.0455,2023-04-17,Cascadia D I College Womens CC 2022,1,10,8,262.67,2,1650.51,2076.05,1913.18,2083.46,1913.18,87.04969,Washington,16
97,Utah,Win 13-4,0,Ignored,0,2023-05-07,Northwest D I College Womens Regionals 2022,1,13,4,600,9,933.13,2068.65,1533.13,2068.65,0,0,Washington,17
104,Montana State,Win 13-2,0,Ignored,0,2023-05-07,Northwest D I College Womens Regionals 2022,1,13,2,600,11,886.47,2068.65,1486.47,2068.65,0,0,Washington,18
16,Western Washington,Win 13-8,7.52,Counts,0.0556,2023-05-07,Northwest D I College Womens Regionals 2022,1,13,8,496.16,5,1700.37,2061.12,2196.5299999999997,2053.6,2196.5299999999997,122.12706799999998,Washington,19
17,Oregon,Win 13-5,10.7,Counts,0.0556,2023-05-07,Northwest D I College Womens Regionals 2022,1,13,5,600,8,1650.51,2057.95,2250.51,2047.2499999999998,2250.51,125.12835600000001,Washington,20
5,British Columbia,Win 12-9,22.55,Counts,0.0556,2023-05-08,Northwest D I College Womens Regionals 2022,1,12,9,345.37,3,2106.72,2046.09,2452.0899999999997,2023.54,2452.0899999999997,136.33620399999998,Washington,21
4,California-Santa Barbara,Loss 13-15,-8.73,Counts,0.0661,2023-05-27,2022 D I College Championships,0,13,15,-214.18,-2,2159.38,2077.38,1945.2,2086.11,1945.2,128.57772000000003,Washington,22
31,SUNY-Binghamton,Win 15-2,0,Ignored,0,2023-05-27,2022 D I College Championships,1,15,2,600,13,1451.86,2068.65,2051.8599999999997,2068.65,0,0,Washington,23
14,Florida State,Win 15-1,16.95,Counts,0.0661,2023-05-28,2022 D I College Championships,1,15,1,600,14,1708.29,2051.69,2308.29,2034.74,2308.29,152.57796900000002,Washington,24
10,Vermont,Win 15-12,11.56,Counts,0.0661,2023-05-28,2022 D I College Championships,1,15,12,300.49,3,1931.61,2057.08,2232.1,2045.52,2232.1,147.54181,Washington,25
44,William & Mary,Win 15-1,0,Ignored,0,2023-05-28,2022 D I College Championships,1,15,1,600,14,1326.51,2068.65,1926.51,2068.65,0,0,Washington,26
3,Carleton College,Loss 12-15,-13.84,Counts,0.0661,2023-05-29,2022 D I College Championships,0,12,15,-300.49,-3,2173.45,2082.49,1872.9599999999998,2096.33,1872.9599999999998,123.802656,Washington,27
