OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
122,Colby,Win 13-8,-5.02,Counts,0.038599999999999995,2023-03-05,No Sleep Till Brooklyn 2022,1,13,8,496.16,5,747.13,1373.32,1243.29,1378.34,1243.29,47.99099399999999,Wellesley,1
185,Princeton,Win 13-1,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,1,13,1,600,12,334.9,1368.3,934.9,1368.3,0,0,Wellesley,2
49,Columbia,Loss 9-10,-8.9,Counts,0.038599999999999995,2023-03-06,No Sleep Till Brooklyn 2022,0,9,10,-125,-1,1271.44,1377.21,1146.44,1386.1100000000001,1146.44,44.252584,Wellesley,3
31,SUNY-Binghamton,Loss 6-8,-7.43,Counts,0.0331,2023-03-06,No Sleep Till Brooklyn 2022,0,6,8,-300.49,-2,1451.86,1375.74,1151.37,1383.17,1151.37,38.11034699999999,Wellesley,4
28,Williams,Loss 5-8,-10.93,Counts,0.0319,2023-03-06,No Sleep Till Brooklyn 2022,0,5,8,-453.6,-3,1490.38,1379.23,1036.7800000000002,1390.16,1036.7800000000002,33.073282000000006,Wellesley,5
65,Haverford,Loss 7-9,-21.06,Counts,0.0397,2023-03-19,Jersey Devil,0,7,9,-279.34,-2,1138.76,1389.37,859.4200000000001,1410.4299999999998,859.4200000000001,34.118974,Wellesley,6
147,Swarthmore,Win 13-0,0,Ignored,0,2023-03-19,Jersey Devil,1,13,0,600,13,594.68,1368.3,1194.6799999999998,1368.3,0,0,Wellesley,7
136,Rochester,Win 13-3,0,Ignored,0,2023-03-19,Jersey Devil,1,13,3,600,10,645.42,1368.3,1245.42,1368.3,0,0,Wellesley,8
26,Brown,Loss 11-12,0.38,Counts,0.0433,2023-03-20,Jersey Devil,0,11,12,-125,-1,1501.72,1367.92,1376.72,1367.54,1376.72,59.611976,Wellesley,9
122,Colby,Win 11-2,0,Ignored,0,2023-04-02,New England Open,1,11,2,600,9,747.13,1368.3,1347.13,1368.3,0,0,Wellesley,10
188,Northeastern-B,Win 15-3,0,Ignored,0,2023-04-02,New England Open,1,15,3,600,12,322.17,1368.3,922.1700000000001,1368.3,0,0,Wellesley,11
163,Tufts-B,Win 15-3,0,Ignored,0,2023-04-02,New England Open,1,15,3,600,12,479.82,1368.3,1079.82,1368.3,0,0,Wellesley,12
