OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
8,Stanford,Loss 3-7,-9.94,Counts,0.030600000000000002,2023-03-05,Stanford Invite 2022,0,3,7,-600,-4,1985.87,1710.31,1385.87,1720.25,1385.87,42.407621999999996,Western Washington,1
4,California-Santa Barbara,Loss 6-11,-3.65,Counts,0.04,2023-03-05,Stanford Invite 2022,0,6,11,-546.69,-5,2159.38,1704.02,1612.69,1707.67,1612.69,64.5076,Western Washington,2
2,Colorado,Loss 3-13,-2.7,Counts,0.042199999999999994,2023-03-05,Stanford Invite 2022,0,3,13,-600,-10,2239.23,1703.06,1639.23,1705.76,1639.23,69.175506,Western Washington,3
27,California,Win 9-8,-3.13,Counts,0.04,2023-03-06,Stanford Invite 2022,1,9,8,125,1,1500.15,1703.5,1625.15,1706.63,1625.15,65.006,Western Washington,4
40,Whitman,Win 10-8,-4.17,Counts,0.041100000000000005,2023-03-06,Stanford Invite 2022,1,10,8,262.67,2,1340.5,1704.54,1603.17,1708.71,1603.17,65.89028700000001,Western Washington,5
18,UCLA,Win 10-6,16.71,Counts,0.0388,2023-03-06,Stanford Invite 2022,1,10,6,496.16,4,1618.64,1683.66,2114.8,1666.95,2114.8,82.05424000000001,Western Washington,6
5,British Columbia,Loss 3-15,-10.24,Counts,0.050199999999999995,2023-03-26,Northwest Challenge,0,3,15,-600,-12,2106.72,1710.61,1506.7199999999998,1720.85,1506.7199999999998,75.63734399999998,Western Washington,7
9,California-San Diego,Loss 7-15,-18.1,Counts,0.050199999999999995,2023-03-26,Northwest Challenge,0,7,15,-600,-8,1958.09,1718.47,1358.09,1736.57,1358.09,68.17611799999999,Western Washington,8
8,Stanford,Win 13-12,21.71,Counts,0.050199999999999995,2023-03-26,Northwest Challenge,1,13,12,125,1,1985.87,1678.66,2110.87,1656.95,2110.87,105.96567399999998,Western Washington,9
20,Virginia,Win 15-9,21.39,Counts,0.050199999999999995,2023-03-26,Northwest Challenge,1,15,9,515.48,6,1589.46,1678.97,2104.94,1657.58,2104.94,105.667988,Western Washington,10
10,Vermont,Loss 11-15,-7.93,Counts,0.050199999999999995,2023-03-26,Northwest Challenge,0,11,15,-381.16,-4,1931.61,1708.3,1550.4499999999998,1716.23,1550.4499999999998,77.83258999999998,Western Washington,11
46,Victoria,Win 10-6,5.32,Counts,0.0548,2023-04-16,Cascadia D I College Womens CC 2022,1,10,6,496.16,4,1296.01,1695.04,1792.17,1689.72,1792.17,98.21091600000001,Western Washington,12
6,Washington,Loss 8-12,-4.63,Counts,0.059699999999999996,2023-04-16,Cascadia D I College Womens CC 2022,0,8,12,-441.15,-4,2068.65,1705,1627.5,1709.63,1627.5,97.16175,Western Washington,13
NA,Washington-B,Win 13-2,0,Ignored,0,2023-04-16,Cascadia D I College Womens CC 2022,1,13,2,600,11,NA,1700.37,NA,1700.37,0,NA,Western Washington,14
5,British Columbia,Loss 2-13,-12.3,Counts,0.059699999999999996,2023-04-17,Cascadia D I College Womens CC 2022,0,2,13,-600,-11,2106.72,1712.67,1506.7199999999998,1724.97,1506.7199999999998,89.95118399999998,Western Washington,15
17,Oregon,Win 13-7,32.25,Counts,0.059699999999999996,2023-04-17,Cascadia D I College Womens CC 2022,1,13,7,557.53,6,1650.51,1668.12,2208.04,1635.87,2208.04,131.819988,Western Washington,16
5,British Columbia,Loss 8-12,-2.66,Counts,0.071,2023-05-07,Northwest D I College Womens Regionals 2022,0,8,12,-441.15,-4,2106.72,1703.03,1665.5699999999997,1705.69,1665.5699999999997,118.25546999999997,Western Washington,17
6,Washington,Loss 8-13,-9.78,Counts,0.071,2023-05-07,Northwest D I College Womens Regionals 2022,0,8,13,-496.16,-5,2068.65,1710.15,1572.49,1719.93,1572.49,111.64679,Western Washington,18
104,Montana State,Win 13-5,0,Ignored,0,2023-05-07,Northwest D I College Womens Regionals 2022,1,13,5,600,8,886.47,1700.37,1486.47,1700.37,0,0,Western Washington,19
97,Utah,Win 13-2,0,Ignored,0,2023-05-07,Northwest D I College Womens Regionals 2022,1,13,2,600,11,933.13,1700.37,1533.13,1700.37,0,0,Western Washington,20
46,Victoria,Win 14-5,14.96,Counts,0.071,2023-05-08,Northwest D I College Womens Regionals 2022,1,14,5,600,9,1296.01,1685.41,1896.01,1670.45,1896.01,134.61670999999998,Western Washington,21
17,Oregon,Loss 8-10,-23.21,Counts,0.0691,2023-05-08,Northwest D I College Womens Regionals 2022,0,8,10,-262.67,-2,1650.51,1723.58,1387.84,1746.79,1387.84,95.89974399999998,Western Washington,22
