OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
89,Brandeis,Win 13-7,11.17,Counts,0.059500000000000004,2023-03-05,Philly Special,1,13,7,557.53,6,993.33,1363.12,1550.8600000000001,1351.9499999999998,1550.8600000000001,92.27617000000001,Yale,1
108,Connecticut,Win 14-4,4.2,Counts,0.059500000000000004,2023-03-05,Philly Special,1,14,4,600,10,840.71,1370.09,1440.71,1365.8899999999999,1440.71,85.72224500000002,Yale,2
87,Lehigh,Win 14-7,12.84,Counts,0.059500000000000004,2023-03-05,Philly Special,1,14,7,582.89,7,994.47,1361.45,1577.3600000000001,1348.6100000000001,1577.3600000000001,93.85292000000001,Yale,3
108,Connecticut,Win 15-4,4.2,Counts,0.059500000000000004,2023-03-06,Philly Special,1,15,4,600,11,840.71,1370.09,1440.71,1365.8899999999999,1440.71,85.72224500000002,Yale,4
87,Lehigh,Win 15-2,13.93,Counts,0.059500000000000004,2023-03-06,Philly Special,1,15,2,600,13,994.47,1360.36,1594.47,1346.4299999999998,1594.47,94.87096500000001,Yale,5
235,Temple -B,Win 15-1,0,Ignored,0,2023-03-06,Philly Special,1,15,1,600,14,351.94,1374.29,951.94,1374.29,0,0,Yale,6
26,Brown,Win 10-9,18.06,Counts,0.0668,2023-03-19,Jersey Devil,1,10,9,125,1,1501.72,1356.23,1626.72,1338.17,1626.72,108.664896,Yale,7
70,Cornell,Loss 6-10,-49.79,Counts,0.0613,2023-03-19,Jersey Devil,0,6,10,-496.16,-4,1107.62,1424.08,611.4599999999998,1473.87,611.4599999999998,37.482497999999985,Yale,8
28,Williams,Win 10-9,17.25,Counts,0.0668,2023-03-19,Jersey Devil,1,10,9,125,1,1490.38,1357.04,1615.38,1339.79,1615.38,107.90738400000001,Yale,9
26,Brown,Loss 7-9,-9.92,Counts,0.0613,2023-03-20,Jersey Devil,0,7,9,-279.34,-2,1501.72,1384.21,1222.38,1394.13,1222.38,74.93189400000001,Yale,10
202,Rutgers,Win 13-2,0,Ignored,0,2023-04-16,Eastern Metro East D I College Womens CC 2022,1,13,2,600,11,201.83,1374.29,801.83,1374.29,0,0,Yale,11
49,Columbia,Win 13-12,2.03,Counts,0.08410000000000001,2023-04-16,Eastern Metro East D I College Womens CC 2022,1,13,12,125,1,1271.44,1372.26,1396.44,1370.23,1396.44,117.44060400000002,Yale,12
151,NYU,Win 13-6,-20.51,Counts,0.08410000000000001,2023-04-16,Eastern Metro East D I College Womens CC 2022,1,13,6,600,7,550.99,1394.8,1150.99,1415.31,1150.99,96.79825900000002,Yale,13
49,Columbia,Win 12-10,14.11,Counts,0.0944,2023-04-30,Metro East D I College Womens Regionals 2022,1,12,10,238.12,2,1271.44,1360.18,1509.56,1346.0700000000002,1509.56,142.502464,Yale,14
151,NYU,Win 15-2,0,Ignored,0,2023-04-30,Metro East D I College Womens Regionals 2022,1,15,2,600,13,550.99,1374.29,1150.99,1374.29,0,0,Yale,15
70,Cornell,Win 11-6,27.47,Counts,0.08929999999999999,2023-05-01,Metro East D I College Womens Regionals 2022,1,11,6,546.69,5,1107.62,1346.82,1654.31,1319.35,1654.31,147.72988299999997,Yale,16
31,SUNY-Binghamton,Loss 9-15,-45.67,Counts,0.0944,2023-05-01,Metro East D I College Womens Regionals 2022,0,9,15,-515.48,-6,1451.86,1419.96,936.3799999999999,1465.63,936.3799999999999,88.39427199999999,Yale,17
